target,roi,batch_size,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,lh_Ca,1,6.709013e-05,0.7411524057388306,False,11,19,neither
vim,lh_GPe,1,0.00085819856,0.0047977458452805,True,15,19,fdr_significant
vim,lh_GPi,1,0.00036137414,0.2428339299033669,False,12,19,neither
vim,lh_Pu,1,0.0004250117,0.1998717529433114,False,11,19,neither
vim,lh_STH,1,0.0002697173,0.223258376121521,False,10,19,neither
vim,lh_cerebellum_dentate,1,0.000102282946,0.6337191954902981,False,10,19,neither
vim,lh_cerebellum_motor,1,0.0006794353,0.0310547724366188,True,16,19,fdr_significant
vim,lh_paracentral_smooth3mm,1,-0.000121586076,0.4612893299622969,False,14,19,neither
vim,lh_postcentral_smooth3mm,1,0.00028161204,0.2806409418582916,False,11,19,neither
vim,lh_precentral_smooth3mm,1,0.0007511614,0.0050742430612444,True,11,19,fdr_significant
vim,lh_superiorfrontal_smooth3mm,1,0.0006625338,0.0063129477202892,True,14,19,fdr_significant
vim,lh_vim,1,0.00030297876,0.2641900181770324,False,10,19,neither
vim,lh_zi,1,0.00017291318,0.4200109073093959,False,13,19,neither
vim,rh_Ca,1,0.00032029423,0.0896939228881489,False,16,19,consistency_threshold
vim,rh_GPe,1,0.00040743136,0.0689474612474441,False,11,19,neither
vim,rh_GPi,1,0.00082353054,0.0310547724366188,True,12,19,fdr_significant
vim,rh_Pu,1,0.00037215435,0.1998717529433114,False,14,19,neither
vim,rh_STH,1,0.0014262139,0.0032877973280847,True,14,19,fdr_significant
vim,rh_cerebellum_dentate,1,0.00048299762,0.0310547724366188,True,15,19,fdr_significant
vim,rh_cerebellum_motor,1,0.0006167002,0.0310547724366188,True,11,19,fdr_significant
vim,rh_paracentral_smooth3mm,1,0.00028065412,0.2806409418582916,False,11,19,neither
vim,rh_postcentral_smooth3mm,1,0.000407366,0.1644187718629837,False,15,19,consistency_threshold
vim,rh_precentral_smooth3mm,1,0.00026520746,0.2428339299033669,False,14,19,neither
vim,rh_superiorfrontal_smooth3mm,1,0.0007299753,0.0063129477202892,True,18,19,fdr_significant
zi,lh_Ca,1,-0.00044322622,0.5734725147485733,False,11,19,neither
zi,lh_GPe,1,0.0002951867,0.7476760625839233,False,13,19,neither
zi,lh_GPi,1,-0.00021089672,0.800352954864502,False,12,19,neither
zi,lh_Pu,1,-3.75174e-05,0.9758468503537384,False,12,19,neither
zi,lh_STH,1,-0.00026920103,0.7476760625839233,False,11,19,neither
zi,lh_cerebellum_dentate,1,-0.00047011953,0.5639266669750214,False,14,19,neither
zi,lh_cerebellum_motor,1,0.0003716038,0.7476760625839233,False,16,19,consistency_threshold
zi,lh_paracentral_smooth3mm,1,-0.00023447958,0.7476760625839233,False,13,19,neither
zi,lh_postcentral_smooth3mm,1,0.00017759763,0.800352954864502,False,13,19,neither
zi,lh_precentral_smooth3mm,1,0.0004322619,0.7476760625839233,False,13,19,neither
zi,lh_superiorfrontal_smooth3mm,1,-2.4817198e-05,0.9758468503537384,False,12,19,neither
zi,lh_vim,1,-0.00017334822,0.800352954864502,False,11,19,neither
zi,lh_zi,1,-3.6615683e-07,0.9984745383262634,False,14,19,neither
zi,rh_Ca,1,-7.337704e-05,0.9619682629903158,False,10,19,neither
zi,rh_GPe,1,-0.00016247353,0.7476760625839233,False,14,19,neither
zi,rh_GPi,1,-0.00017550607,0.8920983426711138,False,11,19,neither
zi,rh_Pu,1,0.00015660787,0.8920983426711138,False,15,19,consistency_threshold
zi,rh_STH,1,0.0005541185,0.7476760625839233,False,11,19,neither
zi,rh_cerebellum_dentate,1,0.00032214477,0.7476760625839233,False,12,19,neither
zi,rh_cerebellum_motor,1,0.00028061532,0.7971173524856567,False,13,19,neither
zi,rh_paracentral_smooth3mm,1,1.8711216e-05,0.9758468503537384,False,11,19,neither
zi,rh_postcentral_smooth3mm,1,0.00020713324,0.7971173524856567,False,11,19,neither
zi,rh_precentral_smooth3mm,1,1.7824264e-05,0.9758468503537384,False,13,19,neither
zi,rh_superiorfrontal_smooth3mm,1,-2.2023572e-05,0.9758468503537384,False,11,19,neither
vim,lh_Ca,2,-0.00032847314,0.5239065885543823,False,15,19,consistency_threshold
vim,lh_GPe,2,-4.3587366e-05,0.9666040539741516,False,10,19,neither
vim,lh_GPi,2,-0.0003445716,0.7126738071441651,False,15,19,consistency_threshold
vim,lh_Pu,2,-0.00023559119,0.759526789188385,False,11,19,neither
vim,lh_STH,2,-0.00038712638,0.5239065885543823,False,10,19,neither
vim,lh_cerebellum_dentate,2,0.00034458112,0.5239065885543823,False,13,19,neither
vim,lh_cerebellum_motor,2,-0.00019603227,0.7878831624984741,False,10,19,neither
vim,lh_paracentral_smooth3mm,2,-0.00019988143,0.8340550422668457,False,12,19,neither
vim,lh_postcentral_smooth3mm,2,1.4725092e-05,0.9666040539741516,False,12,19,neither
vim,lh_precentral_smooth3mm,2,-0.00023108681,0.91283118724823,False,12,19,neither
vim,lh_superiorfrontal_smooth3mm,2,-0.00040784548,0.5239065885543823,False,10,19,neither
vim,lh_vim,2,3.0077896e-05,0.9666040539741516,False,10,19,neither
vim,lh_zi,2,-0.00054321834,0.5239065885543823,False,15,19,consistency_threshold
vim,rh_Ca,2,-2.7271184e-05,0.9666040539741516,False,10,19,neither
vim,rh_GPe,2,-8.1239756e-05,0.9666040539741516,False,10,19,neither
vim,rh_GPi,2,0.00025092674,0.7878831624984741,False,10,19,neither
vim,rh_Pu,2,-6.584313e-05,0.9666040539741516,False,10,19,neither
vim,rh_STH,2,-0.00025902715,0.5846385558446249,False,14,19,neither
vim,rh_cerebellum_dentate,2,-1.904192e-05,0.9666040539741516,False,10,19,neither
vim,rh_cerebellum_motor,2,-0.00028487647,0.759526789188385,False,12,19,neither
vim,rh_paracentral_smooth3mm,2,-0.0005883595,0.5239065885543823,False,11,19,neither
vim,rh_postcentral_smooth3mm,2,-0.0005293266,0.5239065885543823,False,12,19,neither
vim,rh_precentral_smooth3mm,2,-0.00010358023,0.9666040539741516,False,10,19,neither
vim,rh_superiorfrontal_smooth3mm,2,-0.00042593313,0.5846385558446249,False,11,19,neither
zi,lh_Ca,2,-0.0002151622,0.9694851311770352,False,11,19,neither
zi,lh_GPe,2,4.812433e-05,0.9694851311770352,False,13,19,neither
zi,lh_GPi,2,7.932363e-05,0.9694851311770352,False,10,19,neither
zi,lh_Pu,2,9.124275e-05,0.9694851311770352,False,10,19,neither
zi,lh_STH,2,4.7423633e-05,0.9694851311770352,False,11,19,neither
zi,lh_cerebellum_dentate,2,-0.000109735236,0.9694851311770352,False,10,19,neither
zi,lh_cerebellum_motor,2,3.7704103e-05,0.9694851311770352,False,10,19,neither
zi,lh_paracentral_smooth3mm,2,0.0003484817,0.9694851311770352,False,10,19,neither
zi,lh_postcentral_smooth3mm,2,0.00033556533,0.9694851311770352,False,11,19,neither
zi,lh_precentral_smooth3mm,2,0.00041536614,0.9694851311770352,False,13,19,neither
zi,lh_superiorfrontal_smooth3mm,2,-3.458236e-05,0.9694851311770352,False,12,19,neither
zi,lh_vim,2,-0.000116965195,0.9694851311770352,False,10,19,neither
zi,lh_zi,2,7.3771043e-06,0.9780704975128174,False,10,19,neither
zi,rh_Ca,2,-0.00020631206,0.9694851311770352,False,13,19,neither
zi,rh_GPe,2,0.00019069134,0.9694851311770352,False,12,19,neither
zi,rh_GPi,2,-0.00042825937,0.9694851311770352,False,13,19,neither
