roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.03225347,-0.032186378,6.709013e-05,-0.33546507358551025,0.7411524057388306,0.7411524057388306,0.7982521057128906,False
1,lh_GPe,-0.025132632,-0.024274435,0.00085819856,-4.333994388580322,0.0003998121537733823,0.004797745845280588,0.0016937255859375,True
2,lh_GPi,-0.053073443,-0.05271207,0.00036137414,-1.4310555458068848,0.16954748332500458,0.24283392990336697,0.1956329345703125,False
3,lh_Pu,-0.033855207,-0.03343019,0.0004250117,-1.655365228652954,0.11518062651157379,0.19987175294331141,0.1336212158203125,False
4,lh_STH,-0.026296621,-0.026026903,0.0002697173,-1.5458699464797974,0.13953648507595062,0.223258376121521,0.156402587890625,False
5,lh_cerebellum_dentate,-0.015455117,-0.015352834,0.000102282946,-0.5230563879013062,0.6073142290115356,0.6337191954902981,0.7982521057128906,False
6,lh_cerebellum_motor,-0.041134402,-0.040454973,0.0006794353,-2.8075966835021973,0.011645539663732052,0.031054772436618805,0.00823211669921875,True
7,lh_paracentral_smooth3mm,-0.004859282,-0.004980868,-0.000121586076,0.820168137550354,0.42284855246543884,0.46128932996229693,0.37359619140625,False
8,lh_postcentral_smooth3mm,0.01980315,0.02008476,0.00028161204,-1.2411668300628662,0.2304767370223999,0.28064094185829164,0.24125289916992188,False
9,lh_precentral_smooth3mm,0.017168505,0.017919665,0.0007511614,-4.126116752624512,0.000634280382655561,0.005074243061244488,0.000335693359375,True
10,lh_superiorfrontal_smooth3mm,-0.015945042,-0.015282505,0.0006625338,-3.867281675338745,0.0011287917150184512,0.00631294772028923,0.00202178955078125,True
11,lh_vim,0.0020025081,0.002305487,0.00030297876,-1.3361666202545166,0.19814251363277435,0.26419001817703247,0.2934989929199219,False
12,lh_zi,-0.023468697,-0.023295784,0.00017291318,-0.9243913292884827,0.36750954389572144,0.42001090730939594,0.76800537109375,False
13,rh_Ca,-0.014580282,-0.014259989,0.00032029423,-2.199986219406128,0.04110971465706825,0.08969392288814892,0.06628799438476562,False
14,rh_GPe,-0.02555291,-0.025145477,0.00040743136,-2.3773820400238037,0.02872810885310173,0.06894746124744415,0.040130615234375,False
15,rh_GPi,-0.04149931,-0.040675785,0.00082353054,-2.852799892425537,0.010567886754870415,0.031054772436618805,0.014068603515625,True
16,rh_Pu,-0.042616755,-0.042244602,0.00037215435,-1.64850914478302,0.11659185588359833,0.19987175294331141,0.07987594604492188,False
17,rh_STH,-0.053859692,-0.052433472,0.0014262139,-4.820948123931885,0.0001369915553368628,0.0032877973280847073,0.000209808349609375,True
18,rh_cerebellum_dentate,0.014682831,0.015165828,0.00048299762,-2.8534393310546875,0.010553359985351562,0.031054772436618805,0.00945281982421875,True
19,rh_cerebellum_motor,-0.039557707,-0.038941003,0.0006167002,-2.8663976192474365,0.010262963362038136,0.031054772436618805,0.014068603515625,True
20,rh_paracentral_smooth3mm,-0.002083075,-0.0018024207,0.00028065412,-1.2318183183670044,0.23386745154857635,0.28064094185829164,0.08742904663085938,False
21,rh_postcentral_smooth3mm,0.003877905,0.0042852713,0.000407366,-1.8407142162322998,0.08220938593149185,0.1644187718629837,0.014068603515625,False
22,rh_precentral_smooth3mm,-0.009327772,-0.009062566,0.00026520746,-1.422405481338501,0.17200736701488495,0.24283392990336697,0.044559478759765625,False
23,rh_superiorfrontal_smooth3mm,-0.012292986,-0.011563012,0.0007299753,-3.798699140548706,0.001315197441726923,0.00631294772028923,0.000965118408203125,True
