roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_Ca,5,14,14,decrease,0.7368421052631579,-8.5859545e-05
lh_GPi,5,14,14,decrease,0.7368421052631579,-0.00010543655
rh_precentral_smooth3mm,5,14,14,decrease,0.7368421052631579,-7.5606455e-05
lh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-3.299481e-05
rh_Ca,6,13,13,decrease,0.6842105263157895,-8.227703e-05
lh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-1.7696286e-05
lh_precentral_smooth3mm,7,12,12,decrease,0.631578947368421,-8.76543e-05
lh_cerebellum_dentate,12,7,12,increase,0.631578947368421,9.912578e-05
rh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,-0.00010392201
rh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-8.3533385e-05
lh_cerebellum_motor,8,11,11,decrease,0.5789473684210527,-3.084935e-05
lh_STH,11,8,11,increase,0.5789473684210527,1.4313319e-05
rh_STH,8,11,11,decrease,0.5789473684210527,2.0476224e-05
lh_Pu,9,10,10,decrease,0.5263157894736842,2.9208328e-05
lh_GPe,10,9,10,increase,0.5263157894736842,-1.5108754e-05
lh_postcentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-1.8583836e-05
rh_GPi,10,9,10,increase,0.5263157894736842,5.8879672e-05
rh_GPe,9,10,10,decrease,0.5263157894736842,-1.8813153e-05
lh_zi,9,10,10,decrease,0.5263157894736842,-7.464318e-05
lh_vim,10,9,10,increase,0.5263157894736842,-7.779828e-05
rh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-3.5296533e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,3.968696e-05
rh_Pu,9,10,10,decrease,0.5263157894736842,0.00011952572
rh_paracentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-9.61171e-05
