roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_vim,3,16,16,decrease,0.8421052631578947,-0.000112292604
lh_cerebellum_motor,4,15,15,decrease,0.7894736842105263,-8.353893e-05
rh_superiorfrontal_smooth3mm,4,15,15,decrease,0.7894736842105263,-0.00016526236
rh_postcentral_smooth3mm,14,5,14,increase,0.7368421052631579,8.981528e-05
rh_Ca,5,14,14,decrease,0.7368421052631579,-8.899092e-05
lh_GPi,6,13,13,decrease,0.6842105263157895,-0.000115345145
lh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-6.185167e-05
rh_GPe,6,13,13,decrease,0.6842105263157895,-0.000106612344
lh_precentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-2.8308365e-05
rh_paracentral_smooth3mm,13,6,13,increase,0.6842105263157895,5.377545e-05
rh_precentral_smooth3mm,7,12,12,decrease,0.631578947368421,-6.524576e-05
rh_Pu,12,7,12,increase,0.631578947368421,2.5952017e-05
lh_Pu,12,7,12,increase,0.631578947368421,3.6759695e-05
rh_cerebellum_motor,11,8,11,increase,0.5789473684210527,-5.875748e-06
rh_GPi,8,11,11,decrease,0.5789473684210527,-0.00014364044
lh_Ca,8,11,11,decrease,0.5789473684210527,-7.959617e-05
lh_zi,11,8,11,increase,0.5789473684210527,-4.10758e-05
lh_STH,10,9,10,increase,0.5263157894736842,-4.8635447e-05
lh_GPe,9,10,10,decrease,0.5263157894736842,-2.301922e-05
lh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,-0.00011548851
lh_postcentral_smooth3mm,10,9,10,increase,0.5263157894736842,5.95777e-06
lh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,-3.5590514e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,-1.9354047e-05
rh_STH,9,10,10,decrease,0.5263157894736842,-0.0001397464
