roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.017850911,-0.01810886,-0.00025794527,0.5361302495002747,0.5984320640563965,0.9424892989071934,0.5948867797851562,False
1,lh_GPe,-0.045152906,-0.045000408,0.00015249652,-0.21827763319015503,0.8296682834625244,0.9424892989071934,0.7380905151367188,False
2,lh_GPi,-0.007606755,-0.007482727,0.00012402721,-0.3662184774875641,0.7184709906578064,0.9424892989071934,0.76800537109375,False
3,lh_Pu,-0.0048674243,-0.0041924706,0.0006749533,-1.5843329429626465,0.13052935898303986,0.9424892989071934,0.104156494140625,False
4,lh_STH,-0.019707518,-0.0200172,-0.00030968103,0.7702704071998596,0.4511312246322632,0.9424892989071934,0.4413337707519531,False
5,lh_cerebellum_dentate,-0.0063199587,-0.006228729,9.123003e-05,-0.2855442762374878,0.7784870266914368,0.9424892989071934,0.7982521057128906,False
6,lh_cerebellum_motor,-0.005625239,-0.005742119,-0.000116879804,0.31446510553359985,0.7567834854125977,0.9424892989071934,0.7380905151367188,False
7,lh_paracentral_smooth3mm,0.005257674,0.0056404457,0.00038277212,-0.9827445149421692,0.3387586772441864,0.9424892989071934,0.4180412292480469,False
8,lh_postcentral_smooth3mm,0.03885238,0.039694246,0.00084186543,-2.0467755794525146,0.05556746572256088,0.9424892989071934,0.06628799438476562,False
9,lh_precentral_smooth3mm,0.06559229,0.06566774,7.544948e-05,-0.1738177388906479,0.8639485239982605,0.9424892989071934,0.7380905151367188,False
10,lh_superiorfrontal_smooth3mm,0.008674445,0.008677111,2.6664256e-06,-0.009082471951842308,0.9928532242774963,0.9928532242774963,0.9843215942382812,False
11,lh_vim,0.010943341,0.010645498,-0.00029784438,0.8830039501190186,0.388874888420105,0.9424892989071934,0.3954620361328125,False
12,lh_zi,0.0045310007,0.00443154,-9.9460434e-05,0.25113624334335327,0.804553210735321,0.9424892989071934,0.8595733642578125,False
13,rh_Ca,-0.011406012,-0.011534006,-0.00012799317,0.2929559350013733,0.7729061841964722,0.9424892989071934,0.76800537109375,False
14,rh_GPe,0.019099033,0.019291617,0.00019258956,-0.4931091368198395,0.6278971433639526,0.9424892989071934,0.5948867797851562,False
15,rh_GPi,-0.018482732,-0.018524436,-4.170379e-05,0.07092996686697006,0.9442356824874878,0.9852894078130306,1.0,False
16,rh_Pu,0.005150771,0.0056873816,0.0005366112,-1.3644334077835083,0.18924811482429504,0.9424892989071934,0.1956329345703125,False
17,rh_STH,-0.06683757,-0.06725452,-0.00041695527,0.7379925847053528,0.47003158926963806,0.9424892989071934,0.6507492065429688,False
18,rh_cerebellum_dentate,0.02775803,0.0278359,7.7867684e-05,-0.2093389928340912,0.8365345001220703,0.9424892989071934,0.8287849426269531,False
19,rh_cerebellum_motor,-0.049327195,-0.049554,-0.00022680273,0.42205363512039185,0.677983820438385,0.9424892989071934,0.8595733642578125,False
20,rh_paracentral_smooth3mm,0.030689685,0.030858906,0.0001692221,-0.430307000875473,0.6720802187919617,0.9424892989071934,0.5677604675292969,False
21,rh_postcentral_smooth3mm,0.022074772,0.021950021,-0.00012474752,0.334043025970459,0.7422073483467102,0.9424892989071934,0.70855712890625,False
22,rh_precentral_smooth3mm,0.01224506,0.011777684,-0.00046737827,1.4800820350646973,0.1561419665813446,0.9424892989071934,0.168792724609375,False
23,rh_superiorfrontal_smooth3mm,0.010734538,0.010935043,0.00020050733,-0.4136052429676056,0.6840491890907288,0.9424892989071934,0.6794281005859375,False
