roi,direction,t_statistic,p_value,p_value_fdr,significant
lh_Ca,outgoing,-0.27420428581100537,0.7854527681993922,0.8976603065135912,False
lh_GPe,outgoing,0.8907368931812596,0.37882605796175955,0.6061216927388153,False
lh_GPi,outgoing,0.6746629051864131,0.5040840389144376,0.7561260583716565,False
lh_Pu,outgoing,1.2724613889203862,0.21114786407916386,0.5067548737899933,False
lh_STH,outgoing,-1.6574582237417086,0.1058833253772333,0.5067548737899933,False
lh_cerebellum_dentate,outgoing,0.28167616795822736,0.7797612928906592,0.8976603065135912,False
lh_cerebellum_motor,outgoing,0.9628736662946332,0.3418619650064046,0.5860490828681221,False
lh_paracentral_smooth3mm,outgoing,1.2086992253550775,0.23444638061956202,0.5115193758972263,False
lh_postcentral_smooth3mm,outgoing,1.3924132322982186,0.17210960704579778,0.5067548737899933,False
lh_precentral_smooth3mm,outgoing,1.463049881960991,0.15189745199660087,0.5067548737899933,False
lh_superiorfrontal_smooth3mm,outgoing,1.0760313557352161,0.28887976317779046,0.5777595263555809,False
lh_vim,outgoing,-0.09904242702577493,0.9216392471685544,0.9871073027544507,False
lh_zi,outgoing,0.05828541928417821,0.9538349357604338,0.9871073027544507,False
rh_Ca,outgoing,-0.44421571203799126,0.6594740147357565,0.879298686314342,False
rh_GPe,outgoing,-1.5835759248646102,0.1218015729366656,0.5067548737899933,False
rh_GPi,outgoing,0.3511780013944158,0.7274467029012418,0.8976603065135912,False
rh_Pu,outgoing,-0.01626887279477732,0.9871073027544507,0.9871073027544507,False
rh_STH,outgoing,0.48588435306864897,0.6299143778507755,0.879298686314342,False
rh_cerebellum_dentate,outgoing,0.9648523704550596,0.34088302469034754,0.5860490828681221,False
rh_cerebellum_motor,outgoing,1.692163710035777,0.09902115502119391,0.5067548737899933,False
rh_paracentral_smooth3mm,outgoing,1.7199268408072657,0.09380130844358298,0.5067548737899933,False
rh_postcentral_smooth3mm,outgoing,1.5348527428112666,0.13332776364076587,0.5067548737899933,False
rh_precentral_smooth3mm,outgoing,1.2793540477929615,0.20873742258004663,0.5067548737899933,False
rh_superiorfrontal_smooth3mm,outgoing,1.2735320416796283,0.210772075956631,0.5067548737899933,False
lh_Ca,incoming,-0.6258305118898642,0.53526782721504,0.8995936220597468,False
lh_GPe,incoming,0.46875885607469,0.6419922329926732,0.8995936220597468,False
lh_GPi,incoming,-0.9881756487546104,0.32948508689205347,0.8995936220597468,False
lh_Pu,incoming,0.5798741364699243,0.5655141476679881,0.8995936220597468,False
lh_STH,incoming,-0.2809888522487291,0.7802843267904431,0.9283996918115052,False
lh_cerebellum_dentate,incoming,1.40878040726611,0.16724885736541598,0.8027945153539966,False
lh_cerebellum_motor,incoming,0.5514759935568987,0.5846228174809491,0.8995936220597468,False
lh_paracentral_smooth3mm,incoming,0.38337990704080843,0.703632153416612,0.8995936220597468,False
lh_postcentral_smooth3mm,incoming,1.0093295447992556,0.3193720263022105,0.8995936220597468,False
lh_precentral_smooth3mm,incoming,0.3717788090299668,0.7121782841306329,0.8995936220597468,False
lh_superiorfrontal_smooth3mm,incoming,-0.4014829273195604,0.6903741466466675,0.8995936220597468,False
lh_vim,incoming,-0.09904242702577493,0.9216392471685544,0.9283996918115052,False
lh_zi,incoming,-0.7049622079257345,0.4852481269337286,0.8995936220597468,False
rh_Ca,incoming,0.728957721053119,0.47061682510941855,0.8995936220597468,False
rh_GPe,incoming,2.114941183680136,0.04123177422441391,0.6085610944003289,False
rh_GPi,incoming,-0.973322401914744,0.3367137193700661,0.8995936220597468,False
rh_Pu,incoming,-1.6936649793319842,0.09873284792381469,0.6949087077517276,False
rh_STH,incoming,0.09047258470674514,0.9283996918115052,0.9283996918115052,False
rh_cerebellum_dentate,incoming,-0.6585923056510684,0.5142352855810071,0.8995936220597468,False
rh_cerebellum_motor,incoming,-1.6103640407612698,0.11581811795862126,0.6949087077517276,False
rh_paracentral_smooth3mm,incoming,0.12072682972342773,0.9045606403434291,0.9283996918115052,False
rh_postcentral_smooth3mm,incoming,-2.0195868671063453,0.05071342453336074,0.6085610944003289,False
rh_precentral_smooth3mm,incoming,0.569170804230724,0.5726795036733032,0.8995936220597468,False
rh_superiorfrontal_smooth3mm,incoming,-0.18092315523250485,0.8574153099132149,0.9283996918115052,False
