roi,direction,t_statistic,p_value,p_value_fdr,significant
lh_Ca,outgoing,1.6591285982189272,0.1144121547547735,0.598188705358161,False
lh_GPe,outgoing,-0.21211332650370093,0.8344019949899315,0.9201894126864552,False
lh_GPi,outgoing,0.389243781935306,0.7016623772785052,0.8863103712991646,False
lh_Pu,outgoing,0.16663373354036753,0.8695158256046706,0.9201894126864552,False
lh_STH,outgoing,1.9739816382392823,0.0639334151296676,0.598188705358161,False
lh_cerebellum_dentate,outgoing,0.8085673718423029,0.4293220366829337,0.6348856253667768,False
lh_cerebellum_motor,outgoing,-0.918565188101906,0.3704686460521008,0.6348856253667768,False
lh_paracentral_smooth3mm,outgoing,-1.0744749433124945,0.29680285606545526,0.6203075104116631,False
lh_postcentral_smooth3mm,outgoing,-0.7727299252830117,0.4497106513014669,0.6348856253667768,False
lh_precentral_smooth3mm,outgoing,-0.9885218991809194,0.33599990147298414,0.6203075104116631,False
lh_superiorfrontal_smooth3mm,outgoing,-0.8338706051525383,0.415283240303461,0.6348856253667768,False
lh_vim,outgoing,0.223698501334664,0.8255111677863564,0.9201894126864552,False
lh_zi,outgoing,1.4776751701128565,0.15677905597139138,0.598188705358161,False
rh_Ca,outgoing,1.628251260965306,0.12084802201502039,0.598188705358161,False
rh_GPe,outgoing,1.2120339056694382,0.2411697143335394,0.6203075104116631,False
rh_GPi,outgoing,0.150751634358013,0.8818481871578528,0.9201894126864552,False
rh_Pu,outgoing,1.4239760412935218,0.1715585389319842,0.598188705358161,False
rh_STH,outgoing,0.5824663330079872,0.5674779820412782,0.7566373093883709,False
rh_cerebellum_dentate,outgoing,-0.09958159300118484,0.9217772010776369,0.9217772010776369,False
rh_cerebellum_motor,outgoing,-1.413839475421536,0.17447170572946363,0.598188705358161,False
rh_paracentral_smooth3mm,outgoing,-1.1092065092196635,0.28194131591880156,0.6203075104116631,False
rh_postcentral_smooth3mm,outgoing,-1.4624815720116686,0.16085074210171893,0.598188705358161,False
rh_precentral_smooth3mm,outgoing,-1.035925531716649,0.31395439253253693,0.6203075104116631,False
rh_superiorfrontal_smooth3mm,outgoing,-1.1377235670903705,0.2701541347439931,0.6203075104116631,False
lh_Ca,incoming,-0.6514137565512503,0.5230099916973076,0.8684822920750626,False
lh_GPe,incoming,-0.6044755144759222,0.5530714466703351,0.8684822920750626,False
lh_GPi,incoming,1.3344787312761783,0.19868385973599922,0.8684822920750626,False
lh_Pu,incoming,-1.4529681699031836,0.16344405371642654,0.8684822920750626,False
lh_STH,incoming,-0.3590495446244198,0.7237352433958855,0.8684822920750626,False
lh_cerebellum_dentate,incoming,-2.055834686796755,0.05459853437124005,0.8684822920750626,False
lh_cerebellum_motor,incoming,-1.44450888390837,0.16577864111834406,0.8684822920750626,False
lh_paracentral_smooth3mm,incoming,0.5503825156873594,0.5888228531105798,0.8684822920750626,False
lh_postcentral_smooth3mm,incoming,0.6414443716486148,0.5293180111715504,0.8684822920750626,False
lh_precentral_smooth3mm,incoming,0.029139997986478924,0.9770735965881376,0.9770735965881376,False
lh_superiorfrontal_smooth3mm,incoming,0.2190322509731572,0.8290893483389341,0.9044611072788372,False
lh_vim,incoming,0.223698501334664,0.8255111677863564,0.9044611072788372,False
lh_zi,incoming,0.40249521515292724,0.6920593841763444,0.8684822920750626,False
rh_Ca,incoming,0.712340663007514,0.4853857384304577,0.8684822920750626,False
rh_GPe,incoming,-0.7518948743808018,0.46183361800456574,0.8684822920750626,False
rh_GPi,incoming,-0.6607571719776373,0.517136262660556,0.8684822920750626,False
rh_Pu,incoming,1.2723839626806073,0.21942840538929245,0.8684822920750626,False
rh_STH,incoming,0.02957473574098849,0.976731663524513,0.9770735965881376,False
rh_cerebellum_dentate,incoming,0.3591811887281209,0.723638447229395,0.8684822920750626,False
rh_cerebellum_motor,incoming,1.1313118451932467,0.2727719120001339,0.8684822920750626,False
rh_paracentral_smooth3mm,incoming,-0.5689650256177876,0.5764111261323951,0.8684822920750626,False
rh_postcentral_smooth3mm,incoming,0.4356095502392543,0.6682988997477903,0.8684822920750626,False
rh_precentral_smooth3mm,incoming,-0.6317512483983884,0.535491277425945,0.8684822920750626,False
rh_superiorfrontal_smooth3mm,incoming,0.4637507111244972,0.6483852448892502,0.8684822920750626,False
