roi,direction,t_statistic,p_value,p_value_fdr,significant
lh_Ca,outgoing,-0.3941819813081101,0.6980776288680248,0.95221940512404,False
lh_GPe,outgoing,0.22953935587093094,0.821037822365745,0.9689235562356185,False
lh_GPi,outgoing,0.4481765127243276,0.6593736079724017,0.95221940512404,False
lh_Pu,outgoing,0.6969062302726071,0.4947643668106974,0.95221940512404,False
lh_STH,outgoing,-0.27985430701512826,0.782779889747462,0.9689235562356185,False
lh_cerebellum_dentate,outgoing,0.6005104794073102,0.5556524163989044,0.95221940512404,False
lh_cerebellum_motor,outgoing,-0.37209785308317644,0.71416455384303,0.95221940512404,False
lh_paracentral_smooth3mm,outgoing,0.5432425633841842,0.5936271958345444,0.95221940512404,False
lh_postcentral_smooth3mm,outgoing,-1.1580149666227135,0.26199283508164717,0.95221940512404,False
lh_precentral_smooth3mm,outgoing,-0.9154187483355499,0.3720732191481258,0.95221940512404,False
lh_superiorfrontal_smooth3mm,outgoing,-0.7515252248399813,0.4620504748236883,0.95221940512404,False
lh_vim,outgoing,0.5964889187643134,0.5582766843804492,0.95221940512404,False
lh_zi,outgoing,0.1632884393845019,0.8721106786922991,0.9689235562356185,False
rh_Ca,outgoing,0.5358980412786204,0.598589421111108,0.95221940512404,False
rh_GPe,outgoing,-0.02786052003668939,0.9780799670560014,0.9896008482642729,False
rh_GPi,outgoing,-0.1426131848302572,0.888179926549317,0.9689235562356185,False
rh_Pu,outgoing,0.8650130832534736,0.39841373230433286,0.95221940512404,False
rh_STH,outgoing,0.5158570285463067,0.6122327437490749,0.95221940512404,False
rh_cerebellum_dentate,outgoing,0.5398317640587555,0.5959291147768223,0.95221940512404,False
rh_cerebellum_motor,outgoing,-0.4949181338673502,0.626644814803791,0.95221940512404,False
rh_paracentral_smooth3mm,outgoing,0.6568638186389952,0.5195793034715059,0.95221940512404,False
rh_postcentral_smooth3mm,outgoing,-0.6172737835368897,0.5447843737505967,0.95221940512404,False
rh_precentral_smooth3mm,outgoing,0.013215998316878492,0.9896008482642729,0.9896008482642729,False
rh_superiorfrontal_smooth3mm,outgoing,-0.7226265662593119,0.47919396851694546,0.95221940512404,False
lh_Ca,incoming,1.1423726079591074,0.2682677458000785,0.6438425899201884,False
lh_GPe,incoming,-0.2627793438832399,0.7957047998004796,0.9421417443265133,False
lh_GPi,incoming,1.9693243435660657,0.06450527173871295,0.614993489726899,False
lh_Pu,incoming,1.3792332690452214,0.18472004164944858,0.614993489726899,False
lh_STH,incoming,0.12374844308570995,0.9028858383129086,0.9421417443265133,False
lh_cerebellum_dentate,incoming,1.705638863581475,0.10527134222670763,0.614993489726899,False
lh_cerebellum_motor,incoming,-0.05379230365019159,0.9576931781682395,0.9576931781682395,False
lh_paracentral_smooth3mm,incoming,-1.3903330363212367,0.18138147907967625,0.614993489726899,False
lh_postcentral_smooth3mm,incoming,0.3827667117658679,0.7063751593792371,0.9268187602230384,False
lh_precentral_smooth3mm,incoming,-1.8147606235184204,0.0862621367237705,0.614993489726899,False
lh_superiorfrontal_smooth3mm,incoming,0.35576724100394475,0.726150224205536,0.9268187602230384,False
lh_vim,incoming,-1.743828890471738,0.09824245990047507,0.614993489726899,False
lh_zi,incoming,0.1632884393845019,0.8721106786922991,0.9421417443265133,False
rh_Ca,incoming,-1.3156938555378328,0.20478911210605644,0.614993489726899,False
rh_GPe,incoming,-0.452977288819429,0.6559777574486821,0.9268187602230384,False
rh_GPi,incoming,0.4569009661048956,0.6532080410445512,0.9268187602230384,False
rh_Pu,incoming,0.7600356899308424,0.45707342136914425,0.9141468427382885,False
rh_STH,incoming,1.2407623681204076,0.23062255864758713,0.614993489726899,False
rh_cerebellum_dentate,incoming,-0.5433105318686993,0.5935813694024838,0.9268187602230384,False
rh_cerebellum_motor,incoming,0.3454890375033835,0.7337315185099054,0.9268187602230384,False
rh_paracentral_smooth3mm,incoming,1.2989703721740584,0.21034806105558912,0.614993489726899,False
rh_postcentral_smooth3mm,incoming,-0.1739055809020247,0.8638805497248796,0.9421417443265133,False
rh_precentral_smooth3mm,incoming,0.8354182323701307,0.4144342270383819,0.904220131720106,False
rh_superiorfrontal_smooth3mm,incoming,0.5276373097484408,0.6041949580238596,0.9268187602230384,False
