mode_index,eigenvalue_mag,eigenvalue_phase,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
0,0.97810256,-0.28826123,0.00037345194,-0.00028707727,0.0011497707,0.0010301373,-0.00070703065,0.00080278504,-0.00049385894,-0.00060754316,-0.00014693847,-0.00028081154,-0.00017328026,0.00023658201,-0.00040700746,0.0014100614,0.0004749666,-0.00026121605,-0.0015894268,-0.0011889827,0.0004179542,-0.0009425815,-0.0011103138,0.0001646804,-0.0003136083,0.0003947833
1,0.98309916,2.1053798,-0.0003173433,0.00036566594,0.0010110697,0.00014101394,-9.4561205e-05,-0.0001576276,-0.0015750255,-0.00013543719,-0.0004404246,-0.0020977105,0.0006411191,0.0012997082,0.0026249865,0.00024412516,-0.00017214107,-0.00057522894,-0.0007997945,0.0013584492,0.0008132431,-0.00015231619,0.00080157514,0.0008533148,-0.000719494,0.00038428564
2,0.86101466,1.9499351,-0.007147258,-0.02637379,-0.011317696,-0.005843212,-0.008784495,0.0062900307,0.0053072083,-0.009962538,0.00088269747,-0.0046572606,-0.0074057765,0.009585844,0.008939901,0.008142148,-0.01245993,-0.026445119,0.012115344,0.010043471,-0.0072944495,0.0021768955,-0.00636614,0.014063003,0.008513059,-6.362566e-05
3,0.99141735,0.11614651,-0.00028248702,0.00026686257,0.00028383665,-2.1379608e-05,4.4187735e-05,-0.0007125614,0.00010825906,-0.0005773789,-0.0003192095,-0.0003291156,0.00032897154,-0.00049462303,0.00031911064,-0.00020880527,0.00019636305,-0.00044130496,0.0005559655,-2.9927258e-05,-0.0010228828,-0.001095368,-0.00017434808,-0.00029104066,0.00010823593,0.0006268141
4,0.86460954,1.2881616,-0.008976356,-0.011298059,-0.01058131,-0.009154537,-0.011477535,-0.014549958,-0.00020657861,0.020923954,-0.008442802,-0.0107217515,-0.011096959,0.010182749,-0.020045865,0.011938414,-0.011792761,0.00956621,-0.01410018,-0.00049198145,-0.0029154972,0.0073279757,0.022184502,0.0020812198,0.0039717997,-0.0019450899
5,0.91288966,-2.388293,0.0062941024,0.004562266,0.011576594,0.008428617,0.007651879,0.0031132952,-0.003176444,0.0025116361,-0.00607662,-0.00030279154,0.0032165088,0.008637819,0.002807551,-0.0019291141,-0.006747286,-0.0008528251,-0.0006374264,-0.008698648,-0.0014538108,0.0018396898,-0.0016311548,-0.005991916,0.003597505,0.015965259
6,0.8315364,2.7971754,0.033703167,-0.012895193,-0.01602377,0.0073878057,-0.019208275,-0.00036486864,0.027221905,0.01636021,0.01226241,0.014278834,0.024240494,0.034572154,-0.009154827,-0.0100941295,-0.02458375,0.00846845,0.004861197,0.0061846394,0.005831342,0.017771546,0.014563306,0.010349168,0.011125389,0.018139541
7,0.95658237,0.8899949,0.004362871,0.00022458586,0.0015117415,0.002071162,-0.0007672463,0.0031791937,0.0030997687,-0.0028404996,-0.0018935101,-0.0017359032,0.001779723,0.0015695237,0.0019284214,0.0045059463,-0.0026065002,0.0015542231,0.0002865458,0.0015572353,-0.0012530574,-0.00014823415,-0.0027802042,-0.00041627925,-0.00013259483,0.0007640575
8,0.98900795,-3.1137195,-0.00015863503,-0.00067187386,-0.0002805295,-0.00035403794,0.0011988964,-0.00091829605,-0.0012504376,0.00038004344,3.0190418e-05,0.0006920361,0.0020301829,0.0005490632,-0.0014455933,0.00011900025,-0.0010813067,0.00031362113,0.0012516245,-0.0012346582,-0.0016554461,-0.00038930494,0.00012122789,-0.0007460661,-3.9070415e-05,0.00059903524
9,0.81255037,0.98039526,-0.007777485,0.0068667205,0.0047315364,0.016430601,-0.0017662263,0.011471848,-0.007153721,0.022636872,0.024881316,0.030407958,0.014096371,0.015198735,0.02839112,-0.008197533,-0.0003351729,0.009036953,-0.009606146,-0.0146933915,0.0041148984,-0.0059161717,0.020197991,0.02623623,0.029222202,0.018459715
10,0.9870561,0.4673723,-0.0009025223,0.0005811116,0.00026991087,-0.00033003834,0.00033205506,-0.00040286384,-0.0006897264,1.3675981e-05,-0.0008202089,0.0002388697,0.00024614102,-0.0015022621,-0.00095161673,0.00066279253,-5.0439125e-05,0.00046349686,0.0003113881,-0.0008234008,-0.00037716952,-9.63889e-05,4.465087e-05,-0.00056466204,4.927954e-05,-8.645694e-05
11,0.91118914,1.2470446,-0.011450226,-0.0062554944,-0.006966589,-0.0043845777,-0.012641369,-0.001025457,0.0043509314,-0.0040776664,-0.0031989221,-0.012341476,-0.0011249216,-0.006667585,-0.010563119,-0.0039476827,-0.0010116235,-0.0034970737,0.004354918,-0.0035369208,0.0014681304,0.0036864132,-0.001586917,0.006984421,-0.0029443537,-0.0038427655
12,0.9731902,0.37718526,0.0010334272,-0.0016331717,-7.0173235e-05,0.0006986879,0.0016393887,0.001264173,0.0020610814,-0.00014740384,-5.0767576e-06,0.0005844923,-0.00055579824,0.0022028459,0.0007413454,0.00048252387,-0.000723153,0.0016428725,-0.00068656774,-0.0009756846,-0.0005670861,-0.00011799298,0.000560141,-0.00017116914,0.0010794309,-0.0010330448
13,0.90483725,1.0989082,-0.0026763214,0.0010414638,0.0014969305,-0.006855317,0.009566236,0.0066479445,-0.011791179,-0.0017432929,0.0028749977,-0.0026795599,-0.0077040684,-0.010987105,-0.0060015526,0.00035764909,0.0061890953,0.0013681693,-0.00044888354,-0.0011096268,0.001570228,0.002888909,-0.0040999237,-0.0025418734,-0.0037870884,-0.0070817997
14,0.94655657,-0.059756104,-0.005719272,-0.003066094,0.0009621786,0.0013419677,-0.0017778922,0.00086324906,0.0057942653,-0.00011482067,-0.0009947842,-0.0004077154,0.0040849736,0.0027193627,0.0008738857,0.004172747,0.00039176972,-0.0025935504,-0.00630452,-0.0022866058,0.0055330526,0.0008374524,0.0016874892,0.002536751,0.0008057288,0.0007023529
15,0.8714668,-2.5819104,0.01678269,0.0001948638,0.01432703,-0.004056074,-0.0056607467,0.00054319564,0.0029358233,-0.003576938,0.008819719,0.0033109062,0.01578507,0.014954191,0.0075100325,-0.014396179,-0.010968077,0.02121067,0.0054009706,0.010983808,-0.010882326,0.0086526675,-0.0061864913,0.0015426734,-0.0018785528,0.018656056
16,0.97603637,-2.1844656,-0.0006412804,0.0011193221,0.000517421,-0.0009342776,-0.0013417394,0.0022518935,-0.0025407288,-0.0020391864,-0.00040665863,0.000622077,-8.146313e-05,-0.0030462295,0.0011178931,-0.00055868085,0.00018831418,-0.0008267162,-0.000843242,-0.0019910294,-0.002197324,0.00039865708,-0.0016499929,0.0010520385,0.0008442698,-0.00041699893
17,0.9101689,0.22029307,2.1190393e-05,-0.0040845303,-0.0063524432,-0.005583257,0.004516485,0.002272147,-0.0010261299,-0.0049986634,-0.0008337743,-0.0027084171,0.0066116927,-0.00632783,0.0017458028,-0.005607709,0.0019498578,0.004287146,-0.0019942299,-0.0056265485,0.0063253925,0.001362284,-0.002366439,0.0012189626,-0.002930844,-0.0030250833
18,0.8360363,1.0259546,-0.008839816,-0.005979345,-0.02617539,0.010078518,-0.012609461,-0.0073157493,0.013575699,-0.013040457,-0.011273166,0.00058198883,0.00071634713,0.0052277185,-0.007372114,0.0036050056,-0.016300526,-0.0060260277,-0.008107948,0.010896477,-0.0026395214,0.014097071,-0.009862868,-0.00992024,-0.004073306,-0.0134914145
19,0.9225203,2.0918148,-0.008841549,0.0035136922,-0.0018351349,-0.0011266838,0.009964317,0.0062976223,-0.012739124,0.0012997958,-0.009466289,-0.006831805,0.0028787965,0.011201365,0.0011730179,-0.0016786904,-0.0031288292,-0.004392297,-4.608164e-06,0.0025035173,-0.000302804,-0.00530657,0.00089231477,-0.0034599397,-0.0018408025,0.0050018625
20,0.84090346,-2.8129168,0.015434993,0.00026825382,-0.02134301,-0.0055624796,0.004037157,-0.02015167,-0.022431228,-0.009432622,-0.0043164156,-0.0007489788,0.0075871423,0.0055076526,0.016233407,0.0011364261,-0.015430415,-0.008163238,0.019127788,0.007256426,0.011034538,-0.0007196791,-0.012285326,-0.0030989738,0.0010714864,0.010537001
21,0.8825924,0.37175053,-0.0011988769,0.0073651904,-0.0024466915,0.004407028,-0.0021671962,0.0034151908,0.00020554522,-0.0013439343,-0.0030567162,-0.0010008943,-0.0006633741,-0.009592637,0.0049342513,0.0028069795,-0.0018051037,-0.000960739,0.0015839402,0.01202273,-0.008455254,0.0049094837,-0.0006772683,-0.0038379084,-0.0009825978,0.003832063
22,0.8433181,1.6431376,0.006634739,-0.006557807,0.004154708,-0.004688461,-0.008129215,0.03576238,0.014251887,-0.010735482,-0.006010125,-0.0061429497,-0.0062152063,-0.013629982,0.0004375883,0.021335391,-0.017195573,0.0043512033,-0.01603859,-0.009468922,0.019859968,0.017744353,-0.011033802,-0.0043643047,-0.0040798145,-0.00082287827
23,0.96385777,1.2504714,-0.001369539,-0.0016506565,-0.0008957612,0.00077044545,-0.00288117,0.0027360918,-0.0005812572,0.000839791,-0.0008362637,-0.001682199,-0.0035783546,-0.0005993184,-0.0007639062,-0.0018576736,0.0031561926,-0.0033705453,0.00011987561,0.00065706717,-0.00019005108,-0.0010000351,0.0013729462,0.0020470114,0.0026417137,0.0021466345
24,0.8024246,-3.070415,-0.025651116,0.0035525584,-0.006987098,0.027570162,-0.010418821,-0.013624708,0.0028702465,-0.0034459138,0.016313817,0.012774596,0.008684479,0.03893772,0.00046979915,-0.02729912,0.01943808,0.0013616506,0.043697067,-0.00459866,-0.009477631,0.01471094,-0.010644101,-0.0007004372,0.0035682,0.008692841
25,0.83696336,1.8860801,-0.021163305,0.0006831195,-0.008262277,-0.006753041,0.01033046,-0.007859623,0.0032095565,-0.0040269117,-0.004948502,-0.004382859,-0.0089345975,0.010159266,0.014226757,-0.00481581,0.020783525,-0.0041004564,0.006014572,-0.019584076,-0.01749765,0.015162739,0.0020829518,0.0042738235,0.0043605827,-0.005897366
26,0.8588039,3.0071762,0.033083454,0.0061898124,-0.007821782,0.010182668,-0.0076444945,-0.0056260894,0.0031790892,-0.011158423,-0.0023598871,0.00084443006,-0.0012603945,0.0015604577,-0.01996136,-0.020678183,0.0009234649,0.009555882,0.011575256,0.0016039386,0.011658211,-0.009792019,-0.01001439,-0.0060038045,-0.0010559536,-0.0066690994
27,0.82595783,0.92678624,0.0072373273,0.003432898,-0.011374208,0.009771704,-0.013118209,0.0017303582,0.0037276938,-0.0028493288,-0.01605138,0.00018937183,0.01085432,-3.598554e-05,0.0033067777,0.014756556,0.00036422774,-0.015109489,0.021415746,-0.013377062,0.0069908076,-0.0009723892,-0.0036784413,-0.024724629,-0.01592719,-0.0038434397
28,0.9004291,0.89455587,0.0067654504,0.0009269396,-0.00052288896,0.003483423,0.0032496995,-0.0028317156,0.004822808,-0.00023135524,-0.0044401153,0.00023437658,0.0071824957,0.004902583,-0.008575185,0.0074315583,0.004853814,0.0061080456,0.002008426,0.004289521,0.0033435174,0.0073091155,-0.00038167837,-0.0070184274,-0.0012992107,0.0074317968
29,0.7840306,1.3278735,0.011827237,0.013988496,-0.002769395,-0.0096379975,-0.011624022,0.011065181,0.03830629,-0.00079359213,0.012981264,0.005465427,0.022513619,0.031675845,0.017997246,0.023961121,0.014661736,-0.0013546513,0.024723792,0.021476658,-0.012080401,0.014357572,0.0040957257,0.0162126,0.0067144027,0.013000708
30,0.9906658,2.0428255,0.00015932777,-0.0013090675,0.00040424181,0.0016332824,0.0014585126,0.0009710726,0.00048972614,0.00031493383,0.00067003735,5.4743396e-05,0.00023537298,0.0005061216,-8.340288e-06,-4.0766285e-05,-0.00027120986,-0.00034089925,0.00029084302,0.0003634092,0.00018261769,-0.00031872888,0.000785074,0.0006281978,5.011242e-05,-0.0007402797
31,0.8001532,0.6051597,-0.006793714,-0.0017592318,-0.0007162756,-0.019916365,-0.0052029337,0.019442184,0.0011662889,-0.0073569263,-0.0017618783,-4.9825914e-05,-0.016181335,-0.016763208,-0.01503702,0.0025861622,-0.016414497,-0.0020032674,-0.008856086,-0.01053396,0.0019119264,-0.013332331,-0.009736484,-0.021129755,-0.01332754,-0.008003059
32,0.97732836,-0.44603187,0.0002963523,0.00025903812,0.0010656958,0.00028935922,-0.0005223363,0.0011368535,0.0011651451,-0.00024731003,-0.0008656342,-0.00035116306,0.00056834595,0.0006258444,0.0007345065,0.0006946167,-0.00031345716,0.00018974028,-0.002398961,-0.0015291,-0.00030893987,-0.0025002358,0.0007130932,0.00092958374,0.00034794465,-0.00080914487
33,0.90817994,2.5567238,0.0120252725,-0.0015093125,-0.0027876473,-0.004576118,0.01759686,-0.014816875,0.0017887715,-0.005404381,0.0015347034,-4.4413424e-05,-0.0049646446,0.0046281917,-0.005900489,-0.0113925245,0.0009854065,-0.0029300433,0.005428405,0.0053010443,0.0072231195,0.006509148,-0.007480658,-0.00055819727,-0.00074479985,-0.0061011566
34,0.85712594,-0.63048005,-0.0003372878,-0.003223698,-0.0010831291,-0.0011578227,-0.01503883,0.011822843,-0.011592906,-0.010034965,-0.0030182393,-0.0004978866,0.012151853,0.0025420946,0.001112126,-0.00551171,-0.007100841,-0.00811169,-0.00030897028,-0.0028861973,0.011103877,-0.003121623,-0.003582692,0.009842717,-0.0017824745,-0.017493093
35,0.9614583,-2.2413785,-0.0002302512,-0.00028246848,-0.0024780182,0.0033007867,0.00456824,6.864094e-05,0.0035293961,0.0009401075,8.589724e-05,0.0017889331,0.00027717842,-0.0015181939,0.0029045185,0.00033303536,-0.0022369244,-0.003222957,0.0037061896,0.003876772,0.0007904538,-0.0019967062,0.00036015545,0.00039851322,0.0013617836,0.0009996034
36,0.9101764,0.49317467,0.002630711,0.005841189,0.00030854906,-0.007091694,0.0052013937,-0.0008976729,0.002834209,0.0029709719,0.002136018,-0.003915341,0.0024081413,0.006236439,-0.0046906876,0.002511767,0.0036679956,-0.00048250792,0.010025331,-0.0010823369,0.0040818057,0.009386897,-0.0016414939,-0.0102216285,-0.011191763,0.0017640679
37,0.9812606,-0.9463871,0.0003965709,0.0003409784,0.000668805,-0.00024498624,-0.00092109555,-0.00054052187,-0.00021385738,0.00045283258,-0.00016197204,-0.00037448385,0.00057293463,0.0006798497,0.0020362851,0.0018607691,-0.0014466299,0.002083736,-0.0013364783,0.002395983,0.00013873502,0.0009156808,0.00028810292,0.00027787336,0.00022556151,0.0009857827
38,0.9027044,2.2524784,-0.0012698268,0.010574936,0.007505656,-0.0042046504,0.0036977485,-0.01279458,-0.0011326954,-0.0037400834,0.004492382,0.009683031,0.0103779435,0.011194291,-0.0020747366,0.0013683123,0.013059681,-0.005555805,0.004547425,-0.0063165743,0.0042573498,0.0035342413,-0.0059053567,-0.000280457,0.005153446,0.01509415
39,0.85428244,1.8658421,-0.008941208,-0.008051359,-0.0034617274,-0.0260444,-0.0017078323,0.017476797,0.002111966,-0.006132639,0.015515269,0.005667606,0.014828972,0.0060120416,0.004219166,0.004665562,-0.0062543014,0.0068156356,-0.0017745437,-0.016610261,-0.022474555,-0.016753882,-0.009807363,0.0032369262,-0.002836419,0.017083298
40,0.9217002,0.5323075,-0.0023976676,0.0012689815,0.001515815,-0.0057821088,0.0011294369,-0.00039730183,0.00056221854,-0.0021609636,0.0049754973,0.007396207,-0.005150886,-0.0058289007,0.0008838073,-0.0020913752,-0.0043461947,0.0009392395,0.00069587823,-0.0017737831,0.002546427,0.0017402653,-0.0045983065,-0.0014500265,0.0064855963,0.003204158
41,0.86426055,0.026798896,-0.0054634963,-0.0038289886,0.00501793,-0.013793656,0.003431307,-0.012443655,0.0041806116,-0.006138927,-0.0015292586,-0.007515903,-0.009371595,-0.0008193344,0.0045192074,-0.011821516,-0.0012922396,0.0050798417,0.0044974107,-0.0006584585,0.0044549718,-0.0041011726,-0.009245845,-0.0058994708,-0.005647541,-0.007076981
42,0.93903214,-2.1616786,-0.0029640237,-0.005890508,-0.0021306553,0.002072869,0.0017472742,-0.0036923361,-0.0010952653,-0.006015279,-0.003972349,-0.001732614,0.004584697,-0.0028684721,-0.008755079,0.003469466,-0.0011080052,-0.0011710841,0.001887905,-0.004820196,0.005643904,0.004618092,-0.0057629314,-0.00591635,-0.0047102785,-6.619245e-05
43,0.9885069,2.4683414,-0.00017194319,0.0016793892,4.2250584e-05,-0.0013979913,-0.00060512876,-0.0002228054,-0.0010269213,0.00022970221,-0.00012845191,-0.00046000406,0.000390535,5.615966e-07,-0.0009935455,0.0008253678,-0.0012061244,0.0003526644,0.0012682028,-0.0014723353,-0.0009908943,0.00082405383,0.00022877412,3.131795e-05,-0.00047809054,-0.0005011683
44,0.95597696,-1.9622085,0.0015562538,-0.0018850968,-0.0013107205,-0.0005182428,0.00022586377,0.00010391559,-0.0022916459,0.0013611927,4.810056e-05,-0.0012010357,-0.0031084984,-0.004849801,0.001345899,0.0003701718,0.0019527883,0.0038473427,0.005568013,-0.0047985986,0.0027012532,-0.0025740424,0.0010627739,0.001079654,0.0005917316,-0.0011028856
45,0.84185094,0.5841501,-0.008612266,0.012268067,0.0015934651,0.0043419786,0.0005283034,0.0072242916,-0.015152511,0.005718348,0.0064044264,0.009545687,-0.0051144417,0.009404273,0.0012937962,-0.0057633896,0.014152136,0.0047265952,0.020833818,-0.005044548,-0.010248475,-0.006147571,-0.00063703995,-0.018460067,-0.011998387,-0.0051860157
46,0.9570168,-0.86712533,0.002360916,-4.1374213e-05,0.0028556066,0.0024395823,-0.00069735595,0.0023063468,-0.00038926964,0.0011127155,-0.0036302977,0.0007916259,0.0020149755,0.0014237674,0.0010851582,0.0016287498,-0.0054339054,-0.0020662583,0.0005178785,-0.0019268447,0.0042198235,-0.00022540739,0.0003042493,-0.0037123025,-0.00055944535,0.00094708253
