roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
rh_paracentral_smooth3mm,4,15,15,decrease,0.7894736842105263,-0.00030799452
lh_GPe,5,14,14,decrease,0.7368421052631579,-0.00010777181
lh_paracentral_smooth3mm,5,14,14,decrease,0.7368421052631579,-2.3086975e-05
lh_cerebellum_dentate,6,13,13,decrease,0.6842105263157895,-0.0002595728
rh_precentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-0.00046542293
rh_STH,6,13,13,decrease,0.6842105263157895,-0.00015783355
rh_GPi,6,13,13,decrease,0.6842105263157895,-9.463047e-05
lh_Pu,7,12,12,decrease,0.631578947368421,-0.00021124484
rh_cerebellum_dentate,7,12,12,decrease,0.631578947368421,-0.0002909161
lh_zi,7,12,12,decrease,0.631578947368421,1.368986e-06
rh_postcentral_smooth3mm,7,12,12,decrease,0.631578947368421,-0.00024531502
lh_STH,8,11,11,decrease,0.5789473684210527,-0.00018655568
lh_superiorfrontal_smooth3mm,11,8,11,increase,0.5789473684210527,0.0001088376
rh_Pu,8,11,11,decrease,0.5789473684210527,-0.00020365913
lh_GPi,11,8,11,increase,0.5789473684210527,8.134512e-05
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,1.781983e-05
rh_GPe,8,11,11,decrease,0.5789473684210527,1.7926222e-05
lh_Ca,9,10,10,decrease,0.5263157894736842,6.011029e-05
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-0.00014587151
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-6.992219e-05
rh_Ca,9,10,10,decrease,0.5263157894736842,-0.00015364357
lh_vim,10,9,10,increase,0.5263157894736842,-6.278595e-05
rh_cerebellum_motor,10,9,10,increase,0.5263157894736842,-2.5995278e-05
rh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,2.5742818e-05
