roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_paracentral_smooth3mm,3,16,16,decrease,0.8421052631578947,-6.670668e-05
lh_postcentral_smooth3mm,3,16,16,decrease,0.8421052631578947,-0.00035494106
lh_vim,4,15,15,decrease,0.7894736842105263,-0.000518297
rh_cerebellum_motor,5,14,14,decrease,0.7368421052631579,-0.00047399002
rh_Pu,5,14,14,decrease,0.7368421052631579,-0.0003300985
lh_GPe,6,13,13,decrease,0.6842105263157895,-4.9709968e-05
lh_cerebellum_dentate,6,13,13,decrease,0.6842105263157895,-3.2601172e-05
rh_GPe,6,13,13,decrease,0.6842105263157895,-0.00016831064
rh_cerebellum_dentate,6,13,13,decrease,0.6842105263157895,-0.00014178436
rh_STH,6,13,13,decrease,0.6842105263157895,-0.00032715555
lh_precentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-9.268851e-05
rh_Ca,6,13,13,decrease,0.6842105263157895,-0.00015197946
lh_Pu,7,12,12,decrease,0.631578947368421,-0.0002071265
lh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-0.00011992354
lh_STH,7,12,12,decrease,0.631578947368421,-7.932173e-05
lh_GPi,8,11,11,decrease,0.5789473684210527,-5.8386137e-05
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,7.8489415e-05
lh_cerebellum_motor,8,11,11,decrease,0.5789473684210527,-0.0001681472
rh_GPi,8,11,11,decrease,0.5789473684210527,-0.00016739628
lh_zi,11,8,11,increase,0.5789473684210527,-7.295406e-06
rh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-0.00011485423
lh_Ca,10,9,10,increase,0.5263157894736842,1.4071273e-06
rh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,1.7597027e-05
rh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,-0.000117912765
