mode_index,eigenvalue_mag,phase_rad,freq_hz,period_s,tau_s
72,0.99205375,-2.4581552,0.19561377,5.1121144,250.68964
3,0.9859679,0.1106016,0.008801395,113.61835,141.52773
30,0.9840729,2.0739071,0.16503628,6.0592737,124.56966
70,0.9830643,1.6983759,0.13515246,7.3990517,117.09085
43,0.98118025,2.487769,0.19797035,5.0512614,105.26817
8,0.9801823,-3.1126451,0.24769643,4.0372,99.916504
10,0.9789598,0.46505055,0.037007544,27.021517,94.05258
53,0.9717714,0.63775027,0.050750554,19.70422,69.845406
1,0.97109675,2.1061225,0.1675999,5.966591,68.19149
79,0.97070754,2.0659313,0.16440159,6.0826664,67.271996
66,0.9705604,-2.8140278,0.2239332,4.465617,66.930664
37,0.96883637,-1.0438015,0.08306309,12.039042,63.17209
58,0.9658717,-0.3007191,0.023930466,41.787735,57.596584
0,0.9650865,-0.27349073,0.0217637,45.94807,56.278538
32,0.96294814,-0.60947496,0.048500475,20.618355,52.97211
16,0.9609808,-2.2191198,0.17659193,5.6627727,50.25015
12,0.95865005,0.40249968,0.032029904,31.220823,47.36062
93,0.94757223,-2.8802354,0.22920185,4.3629665,37.13875
23,0.9441684,1.2483954,0.09934415,10.066018,34.812428
35,0.9384648,-2.208104,0.17571533,5.6910233,31.491148
84,0.93484366,-2.4160032,0.19225942,5.2013054,29.684172
46,0.9341708,-0.92047626,0.07324917,13.652032,29.370298
92,0.9334136,2.2627466,0.18006365,5.5535917,29.024693
7,0.9314437,0.90563244,0.07206794,13.875796,28.161264
44,0.9282125,-1.8788365,0.14951305,6.6883793,26.847599
86,0.92761797,-2.6227548,0.20871219,4.791287,26.618647
82,0.9272764,-0.7529686,0.059919335,16.689104,26.488794
14,0.92273635,-0.100677796,0.008011684,124.8177,24.871992
48,0.9183764,2.7102594,0.21567559,4.6365933,23.488523
42,0.9045947,-2.2432034,0.17850845,5.601976,19.946491
55,0.90181243,1.8304834,0.14566524,6.865056,19.351955
77,0.89768904,2.3390307,0.18613414,5.3724694,18.530264
71,0.89638877,-0.45926413,0.036547076,27.361969,18.2847
64,0.894901,-0.2635997,0.020976597,47.672176,18.01117
78,0.89479935,1.2971998,0.10322788,9.687305,17.992765
56,0.8881292,2.6585927,0.21156408,4.7267003,16.857994
89,0.88607794,-1.590062,0.1265331,7.9030695,16.53571
54,0.8821584,-2.254454,0.17940374,5.57402,15.951044
40,0.881503,0.5546066,0.044134192,22.65817,15.857047
62,0.880612,-2.1301377,0.16951096,5.8993235,15.730919
90,0.8757003,-1.9753945,0.1571969,6.361449,15.0680275
19,0.8751647,2.0552914,0.16355489,6.1141553,14.99889
17,0.87221986,0.25416464,0.020225778,49.441856,14.629107
47,0.8691098,0.83908975,0.06677264,14.976194,14.25661
11,0.8688319,1.2779628,0.10169704,9.833127,14.22418
5,0.86623573,-2.4665678,0.19628322,5.094679,13.927752
36,0.86557376,0.4253028,0.03384452,29.54688,13.853996
33,0.8611936,2.519254,0.20047586,4.988132,13.38366
13,0.85851485,1.0363035,0.08246641,12.126149,13.110343
28,0.8515766,0.9604521,0.07643034,13.083808,12.4482
38,0.8515504,2.308414,0.18369775,5.443725,12.445814
60,0.84413016,-1.4667248,0.11671825,8.567641,11.802989
57,0.8399122,0.83147633,0.06616678,15.113324,11.464082
21,0.82785517,0.34826112,0.027713738,36.083187,10.586657
15,0.8056642,-2.8556917,0.22724871,4.400465,9.255478
91,0.8040888,2.5970018,0.20666283,4.8387995,9.172393
83,0.80287534,0.20909369,0.016639147,60.099236,9.109302
41,0.8027,0.024909893,0.0019822663,504.4731,9.100247
65,0.802118,-2.5584319,0.20359354,4.9117475,9.070313
85,0.80143446,-1.5523647,0.12353326,8.094986,9.035379
4,0.80037516,1.3232412,0.10530019,9.496659,8.981712
34,0.7926964,-0.6512426,0.05182424,19.29599,8.609003
26,0.7915566,3.0999498,0.24668616,4.053734,8.556007
2,0.7870602,2.167608,0.17249276,5.7973447,8.352456
63,0.78337383,1.4389246,0.11450598,8.733169,8.191845
51,0.7821701,-0.5523136,0.04395172,22.752237,8.140571
39,0.77778614,1.8041161,0.143567,6.9653893,7.958499
22,0.7707719,1.6254083,0.12934588,7.731209,7.6815906
45,0.76908207,0.5769005,0.04590828,21.782562,7.6173763
80,0.7661785,0.7431452,0.059137616,16.909712,7.5091968
20,0.76076406,-2.5776157,0.20512013,4.8751917,7.3144317
18,0.7573184,0.9950797,0.079185925,12.628507,7.194982
25,0.7572479,1.9862615,0.15806167,6.326645,7.1925735
67,0.7555286,0.372904,0.029674757,33.698677,7.1342554
88,0.7555004,-1.238817,0.09858192,10.143847,7.133304
6,0.7521281,2.6688907,0.21238357,4.708462,7.0212736
95,0.7472169,2.2918978,0.18238342,5.4829545,6.8634224
27,0.7428957,0.88686997,0.070574865,14.16935,6.7294846
68,0.7409952,-1.7810434,0.14173093,7.055623,6.67198
59,0.7371811,0.7481042,0.05953224,16.79762,6.559062
69,0.7370834,2.7821996,0.22140041,4.5167036,6.556211
52,0.73524606,-0.34215385,0.027227737,36.727253,6.503006
49,0.7307948,-2.3687153,0.18849637,5.305142,6.3770914
9,0.72906697,0.96382874,0.076699056,13.037971,6.3293214
76,0.7269603,-1.0917639,0.086879805,11.510155,6.2718854
61,0.7248846,-1.8901328,0.15041198,6.6484065,6.2161465
81,0.72416496,-1.9701726,0.15678136,6.3783097,6.197014
94,0.71713567,2.88274,0.22940116,4.359176,6.0152144
31,0.71423495,0.6071502,0.048315477,20.697302,5.942771
75,0.71046525,3.0573199,0.24329378,4.110257,5.8507714
87,0.7085453,1.6973096,0.1350676,7.4037,5.80482
24,0.7077227,-3.0202909,0.2403471,4.1606493,5.7853146
73,0.70181596,1.4083331,0.11207158,8.922869,5.6483755
29,0.68608004,1.2165687,0.09681146,10.329356,5.3084054
50,0.67478126,-1.7082914,0.1359415,7.356105,5.0843143
74,0.67270917,1.5572901,0.1239252,8.069384,5.044872
