coord_index,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,0.0010647258,-0.0005432864,-0.0016080122,-1.5398333072662354,0.14099624752998352,0.4511879920959473,0.07987594604492188,False
1,0.26029363,0.26024207,-5.1570565e-05,-0.02882991172373295,0.9773175120353699,0.9844984412193298,0.9529838562011719,False
2,0.0015051155,0.00096696813,-0.0005381474,-0.3611460328102112,0.7221941351890564,0.8939596269188858,0.5152778625488281,False
3,-0.0034077724,0.00043722364,0.003844996,2.331984043121338,0.031515538692474365,0.3023632287979126,0.015972137451171875,False
4,0.0020720968,0.001204507,-0.00086759,-0.7369749546051025,0.4706351161003113,0.7731010146060232,0.156402587890625,False
5,-0.0018956057,-0.0028148151,-0.0009192095,-1.100545048713684,0.28559550642967224,0.6511309941609701,0.2753410339355469,False
6,-0.00023581256,0.0010293141,0.0012651267,0.8128086924552917,0.4269479215145111,0.7731010146060232,0.7982521057128906,False
7,0.0034479103,0.0037872102,0.00033929938,0.3276327848434448,0.7469691038131714,0.8939596269188858,0.8905677795410156,False
8,-0.008046963,-0.0076599075,0.00038705688,0.2926846444606781,0.7731102705001831,0.8941998309399708,0.7380905151367188,False
9,-0.001530484,0.0009819991,0.002512483,2.5649590492248535,0.019480327144265175,0.2671587722642081,0.044559478759765625,False
10,-0.0008198019,0.0023094057,0.0031292075,2.1535494327545166,0.04507950320839882,0.3023632287979126,0.104156494140625,False
11,0.32051742,0.32129592,0.0007785794,0.34610292315483093,0.7332777976989746,0.8939596269188858,0.7982521057128906,False
12,-0.19052212,-0.18601555,0.004506596,2.4148998260498047,0.026599999517202377,0.283733328183492,0.060207366943359375,False
13,0.0014314388,-0.0010415273,-0.0024729662,-2.034531593322754,0.056901659816503525,0.3090488283257736,0.07987594604492188,False
14,-0.0029746704,-0.002925381,4.9289414e-05,0.051388949155807495,0.9595815539360046,0.9844984412193298,0.5412178039550781,False
15,0.27251992,0.27182853,-0.00069137936,-0.30621084570884705,0.7629575133323669,0.8939596269188858,0.7982521057128906,False
16,0.0070174416,0.0009316871,-0.0060857553,-3.060328722000122,0.006738859228789806,0.2156434953212738,0.000335693359375,False
17,-0.00011322882,-0.0010298542,-0.0009166253,-0.8954887390136719,0.38234493136405945,0.734102268218994,0.4180412292480469,False
18,0.0008550152,0.0013376565,0.00048264125,0.3385150134563446,0.7388916611671448,0.8939596269188858,0.9529838562011719,False
19,0.0028202627,0.003524716,0.00070445304,0.43608346581459045,0.6679612398147583,0.8665443111110378,0.6507492065429688,False
20,-0.0002643375,-0.0009392157,-0.0006748785,-0.4576350748538971,0.6526901721954346,0.8583322812433113,0.8287849426269531,False
21,-0.0041175666,-0.0017179366,0.0023996304,2.5999183654785156,0.018102487549185753,0.2671587722642081,0.007144927978515625,False
22,0.2583629,0.25420126,-0.00416164,-2.8297746181488037,0.011104222387075424,0.2665013372898102,0.014068603515625,False
23,-0.0035357033,-0.0015658954,0.0019698075,2.1692304611206055,0.04370131716132164,0.3023632287979126,0.049365997314453125,False
24,0.0002393106,-0.00012510388,-0.00036441442,-0.4887683391571045,0.6309074759483337,0.8572443572568221,0.5948867797851562,False
25,0.00073424465,0.0019162429,0.0011819983,1.2742888927459717,0.21876788139343262,0.5385055541992188,0.4180412292480469,False
26,0.0001709292,-3.629477e-05,-0.00020722393,-0.15747562050819397,0.8766230344772339,0.944978273831881,0.8595733642578125,False
27,0.0050435183,0.006518168,0.0014746493,0.9466205835342407,0.3563675880432129,0.7127351760864258,0.4413337707519531,False
28,0.0009814155,0.00084050774,-0.00014090782,-0.11411964148283005,0.910406231880188,0.9499891115271526,0.2753410339355469,False
29,0.0006840365,0.0002458251,-0.0004382115,-0.7905290722846985,0.4395104944705963,0.7731010146060232,0.12318801879882812,False
30,0.25050566,0.24897134,-0.0015343027,-0.6638117432594299,0.5152238011360168,0.7905713944208055,0.48996734619140625,False
31,0.0003541302,0.00037425375,2.0123529e-05,0.019701270386576653,0.9844984412193298,0.9844984412193298,0.3320655822753906,False
32,0.0018994871,0.0005854289,-0.0013140582,-1.4134916067123413,0.17457246780395508,0.5042017698287964,0.2753410339355469,False
33,0.0007897756,0.00074592914,-4.3846543e-05,-0.033609431236982346,0.9735584855079651,0.9844984412193298,0.70855712890625,False
34,-0.0006329647,0.0015897002,0.002222665,1.3900632858276367,0.1814620941877365,0.5042017698287964,0.036067962646484375,False
35,-0.20678613,-0.20931979,-0.0025336593,-1.3054380416870117,0.2081843465566635,0.5259394018273604,0.1956329345703125,False
36,0.0060725952,0.0053273467,-0.00074524886,-0.9073047637939453,0.3762323260307312,0.734102268218994,0.5677604675292969,False
37,-0.3191206,-0.3178569,0.0012636796,0.5467110276222229,0.5912907719612122,0.844168704489003,0.76800537109375,False
38,-0.0014301111,2.8204173e-05,0.0014583153,1.6483792066574097,0.11661878228187561,0.43059242688692534,0.07283401489257812,False
39,0.00083917583,-0.00035123952,-0.0011904154,-0.7990981340408325,0.4346516728401184,0.7731010146060232,0.7380905151367188,False
40,-0.15487166,-0.15753733,-0.0026656436,-1.8741499185562134,0.07723560929298401,0.33661511540412903,0.07987594604492188,False
41,-0.29870918,-0.3000194,-0.0013102026,-0.7324433922767639,0.473328173160553,0.7731010146060232,0.5412178039550781,False
42,0.006964609,0.0035134978,-0.0034511106,-3.6361258029937744,0.0018890798091888428,0.09067583084106445,0.000789642333984375,False
43,0.30539328,0.30135503,-0.0040382226,-1.87899649143219,0.07653716206550598,0.33661511540412903,0.12318801879882812,False
44,-0.26269597,-0.2616765,0.001019481,0.3770389258861542,0.7105528116226196,0.8939596269188858,1.0,False
45,0.0012601424,0.0010206654,-0.00023947685,-0.13288234174251556,0.8957606554031372,0.944978273831881,0.8287849426269531,False
46,0.0053521125,0.0015110292,-0.0038410837,-2.0150625705718994,0.059082768857479095,0.3090488283257736,0.05457305908203125,False
47,0.003816235,0.0021364123,-0.0016798228,-1.3818074464797974,0.1839415431022644,0.5042017698287964,0.48996734619140625,False
48,0.2602431,0.26074007,0.0004970055,0.24564127624034882,0.8087388873100281,0.9133992139030905,0.9529838562011719,False
49,-0.0015996157,-0.0009360157,0.00066359993,0.6580844521522522,0.5188124775886536,0.7905713944208055,0.5677604675292969,False
50,-0.21864331,-0.21779339,0.00084994343,0.3781391680240631,0.7097495794296265,0.8939596269188858,0.7380905151367188,False
51,0.0015576411,-8.404387e-05,-0.001641685,-1.224182367324829,0.2366655319929123,0.5679972767829895,0.3320655822753906,False
52,0.17321149,0.17780569,0.0045941905,2.6292507648468018,0.017018252983689308,0.2671587722642081,0.0289306640625,False
53,-0.0019208901,-0.001098811,0.000822079,0.5522806644439697,0.5875487923622131,0.844168704489003,0.8287849426269531,False
54,0.0026251639,0.0021537899,-0.00047137364,-0.5358914136886597,0.5985937118530273,0.844168704489003,1.0,False
55,0.22609465,0.22651984,0.00042521482,0.21471628546714783,0.8324022889137268,0.9291932527409043,0.7380905151367188,False
56,0.0013203822,0.0027808875,0.0014605052,1.3649917840957642,0.18907566368579865,0.5042017698287964,0.2934989929199219,False
57,-0.0050524813,-0.0061091143,-0.0010566326,-0.8253193497657776,0.41999414563179016,0.7731010146060232,0.03234100341796875,False
58,-0.0012072751,0.00021092035,0.0014181955,1.1451424360275269,0.2671486437320709,0.6255187755677758,0.25792694091796875,False
59,0.0014018218,0.00064528105,-0.0007565407,-0.5238896608352661,0.606746256351471,0.844168704489003,0.4180412292480469,False
60,0.0017441582,0.001361901,-0.00038225728,-0.48431360721588135,0.6340036392211914,0.8572443572568221,0.9843215942382812,False
61,-0.1825888,-0.18301134,-0.00042254673,-0.1956530213356018,0.8470734357833862,0.9299943013624712,0.76800537109375,False
62,-0.003242164,-0.0039827446,-0.00074058044,-0.7116660475730896,0.48579317331314087,0.7772690773010253,0.8287849426269531,False
63,-0.002143504,-0.0018682635,0.00027524092,0.1886279582977295,0.8524947762489319,0.9299943013624712,0.6507492065429688,False
64,-0.0024158626,-0.005155739,-0.0027398765,-1.6118886470794678,0.12438144534826279,0.4381215654570481,0.104156494140625,False
65,0.00069424097,-0.00076462544,-0.0014588665,-1.0088024139404297,0.3264386057853699,0.6670765369496447,0.12318801879882812,False
66,0.0014758206,0.002826782,0.0013509622,2.159327745437622,0.04456714540719986,0.3023632287979126,0.00823211669921875,False
67,-0.2638762,-0.26788542,-0.004009256,-1.828126072883606,0.08415377885103226,0.33661511540412903,0.08742904663085938,False
68,0.24973015,0.2462671,-0.0034630902,-1.9317976236343384,0.06928256154060364,0.33255629539489745,0.08742904663085938,False
69,-0.0038777597,-0.0014166328,0.002461127,1.7850297689437866,0.09111884236335754,0.34989635467529295,0.05457305908203125,False
70,0.00090635,0.001083131,0.00017678083,0.14076881110668182,0.8896158933639526,0.944978273831881,0.5412178039550781,False
71,0.003477111,0.0027390253,-0.00073808647,-0.7338581085205078,0.4724864065647125,0.7731010146060232,0.08742904663085938,False
72,-0.20072274,-0.19792183,0.0028009478,1.4644083976745605,0.1603296399116516,0.4965046913393082,0.312408447265625,False
73,0.00096376316,0.000373684,-0.00059007923,-0.6832888722419739,0.5031251907348633,0.7905713944208055,0.6507492065429688,False
74,0.0035658795,-0.0005338812,-0.00409976,-2.4920148849487305,0.0226812195032835,0.272174634039402,0.00823211669921875,False
75,-0.0056210775,-0.0046716062,0.0009494712,1.5914978981018066,0.12890666723251343,0.4381215654570481,0.11337661743164062,False
76,-0.0019239519,-0.0025209417,-0.00059698947,-0.30536577105522156,0.7635905146598816,0.8939596269188858,0.6794281005859375,False
77,-0.0013964131,-0.002071508,-0.00067509507,-0.5671716332435608,0.5776029229164124,0.844168704489003,0.8595733642578125,False
78,0.14649588,0.14342344,-0.0030724425,-1.328873634338379,0.2004903256893158,0.5201911153020086,0.3320655822753906,False
79,-0.0045368974,-0.0026740197,0.0018628776,1.0553674697875977,0.3052176535129547,0.6511309941609701,0.9217147827148438,False
80,-0.0033052857,-0.0016282095,0.0016770761,1.0582653284072876,0.3039305508136749,0.6511309941609701,0.4180412292480469,False
81,0.0021736328,0.0051588044,0.0029851713,2.0376946926116943,0.05655420199036598,0.3090488283257736,0.044559478759765625,False
82,0.0024636397,-0.00028710088,-0.0027507406,-2.129782199859619,0.04724425449967384,0.3023632287979126,0.08742904663085938,False
83,-0.0008789093,-0.0018055076,-0.0009265983,-0.781955361366272,0.4444056749343872,0.7731010146060232,0.9529838562011719,False
84,-0.0065955794,-0.0036861508,0.0029094287,1.997062087059021,0.06116591393947601,0.3090488283257736,0.049365997314453125,False
85,-0.0042331847,-0.0050367606,-0.0008035764,-0.465324729681015,0.6472790837287903,0.8583322812433113,0.312408447265625,False
86,-0.004829278,-0.00743511,-0.0026058333,-2.1399497985839844,0.04630683735013008,0.3023632287979126,0.03234100341796875,False
87,-0.0022967313,-0.00087871717,0.0014180142,1.0721298456192017,0.2978265881538391,0.6511309941609701,0.8287849426269531,False
88,-0.0032498823,-0.0047997073,-0.0015498248,-1.5763858556747437,0.13234922289848328,0.4381215654570481,0.24125289916992188,False
89,-0.0075015794,-0.007752743,-0.00025116332,-0.27663490176200867,0.7852118611335754,0.8973849841526577,0.5152778625488281,False
90,0.0013812414,7.582809e-05,-0.0013054134,-1.0084792375564575,0.32658955454826355,0.6670765369496447,0.12318801879882812,False
91,0.00075519906,0.0020198226,0.001264624,0.729411780834198,0.4751349985599518,0.7731010146060232,0.37359619140625,False
92,0.22631226,0.2251229,-0.0011893762,-0.5307071805000305,0.6021086573600769,0.844168704489003,0.7982521057128906,False
93,-0.0021046267,0.0010690545,0.003173681,3.6592936515808105,0.0017941284459084272,0.09067583084106445,9.5367431640625e-05,False
94,-0.18468608,-0.18683343,-0.002147357,-1.430774211883545,0.1696271300315857,0.5042017698287964,0.18186569213867188,False
95,0.0020425236,-0.000563195,-0.0026057183,-1.8390777111053467,0.08245991170406342,0.33661511540412903,0.09551239013671875,False
