roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,0.000433606,4.2910426e-05,-0.00039069558,-2.4035956859588623,0.027225155383348465,0.13068074584007264,0.0180816650390625,False
1,lh_GPe,0.0011898987,0.00041412053,-0.0007757783,-3.5253520011901855,0.0024167473893612623,0.02150450088083744,0.001171112060546875,True
2,lh_GPi,-0.015849676,-0.015857095,-7.4179843e-06,-0.030650857836008072,0.975885272026062,0.975885272026062,1.0,False
3,lh_Pu,-0.012655632,-0.012769443,-0.00011381213,-0.3708224296569824,0.7150978446006775,0.8172546795436314,0.4653167724609375,False
4,lh_STH,0.00627648,0.0059936084,-0.00028287183,-1.0132445096969604,0.3243703246116638,0.6171924386705671,0.2934989929199219,False
5,lh_cerebellum_dentate,0.0145478705,0.014368555,-0.0001793147,-0.9392642974853516,0.3600289225578308,0.6171924386705671,0.156402587890625,False
6,lh_cerebellum_motor,-0.0143968435,-0.014683841,-0.00028699846,-0.9963802099227905,0.33227187395095825,0.6171924386705671,0.4413337707519531,False
7,lh_paracentral_smooth3mm,-0.0058919257,-0.006165248,-0.00027332324,-1.1369322538375854,0.2704762816429138,0.6171924386705671,0.24125289916992188,False
8,lh_postcentral_smooth3mm,-0.009620982,-0.0099876365,-0.0003666537,-1.4070032835006714,0.17645901441574097,0.5293770432472229,0.11337661743164062,False
9,lh_precentral_smooth3mm,-0.020339811,-0.020538038,-0.00019822858,-0.8412125110626221,0.41126516461372375,0.658024263381958,0.4653167724609375,False
10,lh_superiorfrontal_smooth3mm,-0.02409707,-0.024109531,-1.2460312e-05,-0.040454618632793427,0.968176007270813,0.975885272026062,0.7380905151367188,False
11,lh_vim,-0.015014738,-0.015177474,-0.0001627371,-0.6474977135658264,0.5254825353622437,0.7006433804829916,0.6225624084472656,False
12,lh_zi,0.0027461147,0.002807866,6.175148e-05,0.3204919695854187,0.7522860169410706,0.8206756548448043,0.3954620361328125,False
13,rh_Ca,0.017771931,0.016900323,-0.0008716083,-3.5573229789733887,0.002251001074910164,0.02150450088083744,0.002399444580078125,True
14,rh_GPe,0.0031601104,0.0032811232,0.000121012854,0.4881141781806946,0.6313616633415222,0.7843045949935913,0.5412178039550781,False
15,rh_GPi,-0.020040773,-0.020231254,-0.00019048566,-0.7429959774017334,0.4670710563659668,0.7006065845489502,0.4413337707519531,False
16,rh_Pu,-0.024875283,-0.02508105,-0.00020576523,-0.6685116291046143,0.5122895240783691,0.7006433804829916,0.5948867797851562,False
17,rh_STH,-0.015633956,-0.015822828,-0.00018887168,-0.9603862762451172,0.34958481788635254,0.6171924386705671,0.3954620361328125,False
18,rh_cerebellum_dentate,-0.022866404,-0.023531597,-0.0006651934,-1.7176108360290527,0.10302270948886871,0.35322071824754986,0.1336212158203125,False
19,rh_cerebellum_motor,-0.023424106,-0.023566626,-0.00014251862,-0.4563632011413574,0.6535871624946594,0.7843045949935913,0.6794281005859375,False
20,rh_paracentral_smooth3mm,0.014608799,0.014007532,-0.0006012674,-2.282005786895752,0.03487372398376465,0.1394948959350586,0.044559478759765625,False
21,rh_postcentral_smooth3mm,0.012349518,0.011410234,-0.0009392838,-2.738992929458618,0.013485192321240902,0.08091115392744541,0.007144927978515625,False
22,rh_precentral_smooth3mm,0.003951883,0.0028188664,-0.0011330163,-3.477433681488037,0.00268806261010468,0.02150450088083744,0.000125885009765625,True
23,rh_superiorfrontal_smooth3mm,-0.019239515,-0.019001035,0.00023848201,0.9755369424819946,0.34222298860549927,0.6171924386705671,0.4180412292480469,False
