roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,0.0002024406,0.00025593946,5.3498883e-05,0.3409702479839325,0.7370734214782715,0.7691200919773268,0.9217147827148438,False
1,lh_GPe,0.0011811483,0.00072028406,-0.00046086428,-3.6146745681762695,0.001981443725526333,0.04755464941263199,0.00202178955078125,True
2,lh_GPi,-0.015517457,-0.015613799,-9.634086e-05,-0.42253512144088745,0.6776387691497803,0.7691200919773268,0.7380905151367188,False
3,lh_Pu,-0.012397003,-0.01273083,-0.00033382708,-1.4875128269195557,0.15418821573257446,0.3083764314651489,0.1336212158203125,False
4,lh_STH,0.006556979,0.006328129,-0.00022884959,-1.662500262260437,0.11372746527194977,0.24813265150243588,0.11337661743164062,False
5,lh_cerebellum_dentate,0.014413141,0.014543852,0.00013071048,0.5279203057289124,0.6040022969245911,0.7691200919773268,0.7982521057128906,False
6,lh_cerebellum_motor,-0.013981214,-0.014364884,-0.00038367015,-2.0361578464508057,0.05672276392579079,0.1851065196096897,0.07283401489257812,False
7,lh_paracentral_smooth3mm,-0.0055607096,-0.0059036864,-0.0003429761,-1.1548471450805664,0.26325473189353943,0.4212075710296631,0.08742904663085938,False
8,lh_postcentral_smooth3mm,-0.009165585,-0.009739794,-0.0005742085,-2.524613380432129,0.02119382843375206,0.12716297060251236,0.005329132080078125,False
9,lh_precentral_smooth3mm,-0.019936299,-0.020408131,-0.00047183243,-2.084522247314453,0.05163034424185753,0.1851065196096897,0.049365997314453125,False
10,lh_superiorfrontal_smooth3mm,-0.023525398,-0.02397208,-0.0004466779,-1.3004965782165527,0.2098359763622284,0.379965100969587,0.156402587890625,False
11,lh_vim,-0.014230964,-0.014925974,-0.00069501146,-3.145139455795288,0.005597681272774935,0.06717217527329922,0.002399444580078125,False
12,lh_zi,0.0030411081,0.002858928,-0.00018218042,-0.9309738874435425,0.3641858994960785,0.5462788492441177,0.08742904663085938,False
13,rh_Ca,0.017424267,0.017302008,-0.00012226001,-0.42108970880508423,0.6786746978759766,0.7691200919773268,0.25792694091796875,False
14,rh_GPe,0.0035353098,0.0035806957,4.538532e-05,0.3958370089530945,0.6968777775764465,0.7691200919773268,0.70855712890625,False
15,rh_GPi,-0.019502452,-0.019866046,-0.00036359226,-1.7163949012756348,0.10324912518262863,0.24813265150243588,0.11337661743164062,False
16,rh_Pu,-0.024368197,-0.024927445,-0.00055924716,-1.992517352104187,0.061702173203229904,0.1851065196096897,0.14468765258789062,False
17,rh_STH,-0.015013409,-0.015462518,-0.00044910982,-2.2204065322875977,0.03946778178215027,0.1851065196096897,0.05457305908203125,False
18,rh_cerebellum_dentate,-0.022295367,-0.022840953,-0.0005455878,-2.7394747734069824,0.013471357524394989,0.10777086019515991,0.020412445068359375,False
19,rh_cerebellum_motor,-0.02279119,-0.023146516,-0.00035532741,-1.6734145879745483,0.11153489351272583,0.24813265150243588,0.18186569213867188,False
20,rh_paracentral_smooth3mm,0.014542657,0.014614819,7.216206e-05,0.36087244749069214,0.722395122051239,0.7691200919773268,0.7982521057128906,False
21,rh_postcentral_smooth3mm,0.012002441,0.011924771,-7.76698e-05,-0.25906217098236084,0.7985265851020813,0.7985265851020813,0.4413337707519531,False
22,rh_precentral_smooth3mm,0.0036966216,0.0034394856,-0.00025713528,-1.2660211324691772,0.22164630889892578,0.379965100969587,0.312408447265625,False
23,rh_superiorfrontal_smooth3mm,-0.018887354,-0.01912424,-0.0002368863,-0.7331370711326599,0.47291532158851624,0.66764515988967,0.2934989929199219,False
