roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
rh_precentral_smooth3mm,16,3,16,increase,0.8421052631578947,0.0002119869
lh_paracentral_smooth3mm,15,4,15,increase,0.7894736842105263,9.633321e-05
lh_precentral_smooth3mm,14,5,14,increase,0.7368421052631579,5.734704e-05
rh_paracentral_smooth3mm,14,5,14,increase,0.7368421052631579,0.00022127623
rh_GPe,13,6,13,increase,0.6842105263157895,6.851498e-05
lh_Ca,6,13,13,decrease,0.6842105263157895,-7.893918e-05
rh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,8.369566e-06
rh_GPi,7,12,12,decrease,0.631578947368421,-2.0053076e-05
rh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,5.918624e-05
lh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-2.935457e-05
rh_Ca,12,7,12,increase,0.631578947368421,6.0227172e-05
lh_zi,8,11,11,decrease,0.5789473684210527,3.8701477e-05
lh_GPi,11,8,11,increase,0.5789473684210527,7.052736e-05
lh_STH,8,11,11,decrease,0.5789473684210527,-5.6681794e-05
lh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,-1.7610928e-05
lh_vim,11,8,11,increase,0.5789473684210527,5.54587e-05
rh_STH,11,8,11,increase,0.5789473684210527,2.8683244e-05
rh_Pu,11,8,11,increase,0.5789473684210527,7.0460366e-05
lh_GPe,9,10,10,decrease,0.5263157894736842,-4.690363e-05
lh_Pu,10,9,10,increase,0.5263157894736842,-1.3193405e-05
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-2.176216e-06
lh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,-6.753601e-05
rh_cerebellum_motor,10,9,10,increase,0.5263157894736842,8.821196e-06
rh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,1.9546811e-05
