target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_Ca,5.451450347900391,7.389618873596191,3.9748945236206055,3.113316059112549,8.628942489624023,7.128927707672119,6.218204021453857,4.521468162536621,3.8343863487243652,8.285009384155273,4.163045406341553,6.633233070373535,7.29892110824585,5.749691963195801,5.841187477111816,5.82982063293457,5.756710052490234,4.062583923339844,8.05980110168457,6.810234069824219,6.780073642730713,5.672507286071777,6.399262428283691,6.341324329376221
lh_GPe,5.639277935028076,7.166141033172607,4.304781436920166,3.889650583267212,8.281641960144043,6.650042533874512,6.205972671508789,3.431929349899292,4.215033531188965,8.008320808410645,4.293317794799805,6.971108436584473,7.444892883300781,5.2387309074401855,5.248926162719727,5.830235481262207,6.065826892852783,3.7527198791503906,8.609281539916992,7.5681562423706055,7.278855800628662,6.190329551696777,6.388771057128906,6.662566661834717
lh_GPi,3.714324951171875,4.662876605987549,3.271191358566284,3.2572038173675537,5.146778583526611,4.338038921356201,4.556258678436279,3.8537676334381104,2.818966865539551,5.4033331871032715,3.202392101287842,4.595868110656738,4.781329154968262,4.036105632781982,4.1289873123168945,4.602815628051758,4.082685947418213,2.8760476112365723,5.494973659515381,4.981466293334961,4.538256645202637,3.743830442428589,4.228507041931152,4.311276912689209
lh_Pu,1.9635279178619385,2.8712151050567627,1.9588909149169922,1.835245966911316,2.7027201652526855,2.503791570663452,2.597646713256836,1.9772316217422485,2.1240944862365723,2.9805426597595215,2.0225555896759033,2.782409429550171,2.5315773487091064,2.7967944145202637,2.8847877979278564,2.2947018146514893,2.4892361164093018,2.1104979515075684,3.3008716106414795,2.825143814086914,3.2868103981018066,2.3535163402557373,2.3635737895965576,2.660717725753784
lh_STH,4.074626922607422,4.7745771408081055,3.450805902481079,3.174372434616089,6.984081268310547,5.008402347564697,5.483097076416016,2.8950703144073486,3.886303424835205,5.3447418212890625,2.72381591796875,6.010399341583252,5.582745552062988,4.885906219482422,5.196645259857178,5.833325386047363,5.313165187835693,3.3144073486328125,6.908802509307861,6.3861565589904785,5.612041473388672,3.8954720497131348,4.752761363983154,4.824731349945068
lh_cerebellum_dentate,3.8833603858947754,4.9109907150268555,3.3938941955566406,3.5032973289489746,4.769525051116943,4.382527828216553,3.913891315460205,3.8474924564361572,3.068479299545288,4.853998184204102,3.6207385063171387,4.216960906982422,4.707891941070557,4.4817280769348145,4.037491321563721,3.697050094604492,3.1535749435424805,3.701575994491577,4.972350597381592,4.0975446701049805,4.812678813934326,4.3727593421936035,4.218527317047119,4.502094268798828
lh_cerebellum_motor,3.413756847381592,4.407917022705078,3.0363268852233887,2.8738086223602295,5.1703619956970215,4.696707248687744,4.204421520233154,2.5854897499084473,2.6359264850616455,4.934403419494629,3.169029712677002,4.5910444259643555,5.053836822509766,3.5398809909820557,4.231057643890381,4.666917324066162,4.466745853424072,2.314699411392212,6.014124393463135,4.866915702819824,4.359434604644775,3.416370391845703,4.343479633331299,4.35967493057251
lh_paracentral_smooth3mm,4.511269569396973,5.969764709472656,4.0728960037231445,3.9572665691375732,7.305078029632568,5.98918342590332,5.72874641418457,3.5554463863372803,3.5409653186798096,6.821082592010498,3.333254098892212,6.619510173797607,6.671210765838623,5.024314880371094,5.2425408363342285,5.531195640563965,5.717248916625977,3.682690382003784,7.803472518920898,6.746993064880371,6.321009159088135,5.037441253662109,5.218632698059082,5.664475917816162
lh_postcentral_smooth3mm,3.3702664375305176,4.861103057861328,2.82195782661438,2.7995166778564453,5.190280437469482,4.093590259552002,3.672623634338379,2.7443957328796387,2.7426652908325195,5.1432342529296875,2.677114486694336,4.215083122253418,4.3952460289001465,3.6224629878997803,3.7064404487609863,4.018621444702148,4.028722286224365,2.9890358448028564,5.1097331047058105,4.705179691314697,4.558558464050293,3.794235944747925,4.115133285522461,4.579695701599121
lh_precentral_smooth3mm,4.401488304138184,6.021651744842529,3.2833752632141113,2.6872124671936035,7.612584590911865,6.347261905670166,5.686928749084473,4.3094048500061035,3.396629571914673,7.107600688934326,3.5799245834350586,5.753823280334473,6.156540393829346,5.070736885070801,5.37057638168335,5.785187244415283,5.664617538452148,3.7942636013031006,6.713473320007324,5.835378646850586,5.64485502243042,3.7170937061309814,5.459097385406494,5.500507354736328
