roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_postcentral_smooth3mm,4,15,15,decrease,0.7894736842105263,-9.429707e-05
lh_GPe,5,14,14,decrease,0.7368421052631579,-0.000106137035
lh_superiorfrontal_smooth3mm,5,14,14,decrease,0.7368421052631579,-6.862082e-05
lh_Pu,5,14,14,decrease,0.7368421052631579,-0.00011879899
lh_Ca,6,13,13,decrease,0.6842105263157895,-0.00010570493
rh_superiorfrontal_smooth3mm,6,13,13,decrease,0.6842105263157895,-9.214671e-05
lh_STH,6,13,13,decrease,0.6842105263157895,-0.000109399596
lh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-6.256062e-05
rh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,9.9476114e-05
rh_postcentral_smooth3mm,7,12,12,decrease,0.631578947368421,-3.5262394e-05
lh_cerebellum_dentate,7,12,12,decrease,0.631578947368421,-4.9993483e-05
lh_zi,7,12,12,decrease,0.631578947368421,-9.318581e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-6.569358e-05
lh_GPi,8,11,11,decrease,0.5789473684210527,-3.4640063e-05
lh_vim,8,11,11,decrease,0.5789473684210527,-5.9167298e-05
lh_paracentral_smooth3mm,10,9,10,increase,0.5263157894736842,-2.2718048e-05
rh_GPi,10,9,10,increase,0.5263157894736842,-2.5236355e-05
rh_GPe,10,9,10,increase,0.5263157894736842,2.127896e-05
rh_Ca,10,9,10,increase,0.5263157894736842,-5.028209e-05
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-3.9609327e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,-4.7441034e-05
rh_STH,9,10,10,decrease,0.5263157894736842,-8.98873e-05
rh_Pu,9,10,10,decrease,0.5263157894736842,-3.745012e-05
rh_paracentral_smooth3mm,10,9,10,increase,0.5263157894736842,4.2434756e-05
