,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M72,0.0032779025,0.001630332,0.0015850756,0.00044223625,0.0017465084,0.0010527066,0.0011940155,0.001784293,0.0020893377,0.00039218928,0.0014026833,0.00022148705,0.0025120412,0.001521458,0.0015248433,0.0024456687,0.0012129741,0.0015964091,0.0014490326,0.00067100255,0.0014106794,0.0011783111,0.0032487744,0.0018576115
M3,0.0010100661,0.0012654307,0.00060506206,0.0005210316,0.00065171276,0.0018223121,0.00024420803,0.0018745217,0.000694408,0.0011800239,0.0003279997,0.00051828515,0.00039364188,0.0005271486,0.0006291957,0.00054486725,0.00012792504,0.0012267764,0.00026073185,0.00094777526,0.00030825372,0.0018998424,0.0016591972,0.0004607426
M30,0.0017225744,0.0011130994,0.0023361938,0.0010300435,0.002511095,0.0028230613,0.0015136256,0.0033291692,0.0022768772,0.0016622233,0.002364122,0.0019702974,0.0015164181,0.0020626015,0.00288058,0.002453098,0.0035561745,0.00092664384,0.0008229449,0.00041616696,0.0021743367,0.0031525916,0.00084266724,0.0042091766
M70,0.0018262306,0.0011149796,0.0033707598,0.002216051,0.00066890346,0.003938256,0.0008885307,0.0040176627,0.00063598546,0.002329562,0.0025598875,0.002219158,0.0018438991,0.002521166,0.0036539412,0.0034505615,0.002397158,0.0029740573,0.0029334016,0.0030506365,0.00027936333,0.00043467924,0.0038676793,0.0030465273
M8,0.003086131,0.003993553,0.0014812502,0.0022490446,0.0037544484,0.007358465,0.0042166836,0.005780849,0.0038912364,0.001982813,0.006015991,0.004308635,0.0036692969,0.0012001159,0.0011890235,0.0029690394,0.0025669136,0.0036340673,0.0037610068,0.0042849444,0.0037730685,0.0032053085,0.0039246385,0.001187183
M43,0.0017935534,0.002343425,0.00027439964,0.0034197134,0.0027542524,0.0017175212,0.0021176687,0.004201804,0.0008991299,0.0011824963,0.0019015583,0.0020314485,0.003678024,0.0028671722,0.002821274,0.0040685097,0.0035580876,0.00018653274,0.0040919287,0.0033089388,0.0009051888,0.0025577815,0.0024284765,0.004689634
M10,0.00055659283,0.0010457975,0.002062593,0.00121624,0.0011989184,0.0014747435,0.0030592121,0.0013599676,0.0011621855,0.0002486964,0.0014433742,0.0011193844,0.0013951552,0.0012228407,0.0024157937,0.0022695274,0.0022643656,0.0023526165,0.0019965477,0.0011523927,0.0007952598,0.00087974884,0.0010109042,0.003224272
M53,0.0016125903,0.0013086925,0.0008346449,0.0012656245,0.0018122033,0.003037996,0.0034799986,0.0030611265,0.0015683034,0.0034931835,0.004085819,0.0043954886,0.0021724382,0.0031564576,0.0049277963,0.0010110167,0.0032522883,0.0021145695,0.00035009763,0.0014543189,0.00011728336,0.0017731363,0.0018786815,0.003489268
M1,0.0057698223,0.0018943608,0.0030663637,0.004461107,0.00792092,0.0020694556,0.0019626801,0.004399876,0.0025059192,0.0038167923,0.005244771,0.0063711707,0.007004093,0.00069573836,0.0016301102,0.0036510958,0.002528313,0.0006397871,0.003110138,0.0033764993,0.0018650797,0.001692368,0.0017570645,0.0025409902
M66,0.010439767,0.0032620095,0.006652643,0.0033364359,0.0047832574,0.0037497748,0.0074972296,0.008959242,0.0044321497,0.0021258406,0.0034163627,0.0038535914,0.007464986,0.006354365,0.0044252262,0.0036843566,0.0021675886,0.005539857,0.006502977,0.004339974,0.0026480113,0.0038365484,0.0071324473,0.005212124
