coord_index,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,0.002192749,0.0033123598,0.0011196107,1.182791829109192,0.2522799074649811,0.8160820484161376,0.156402587890625,False
1,0.2466852,0.25288668,0.006201457,2.831134557723999,0.011071838438510895,0.48099441826343536,0.0180816650390625,False
2,-0.36422938,-0.36457607,-0.0003466669,-0.13263408839702606,0.8959542512893677,0.9608962509658311,0.9843215942382812,False
3,-0.00024760293,0.0004462892,0.0006938921,0.4133712351322174,0.6842175126075745,0.92048326257157,0.4653167724609375,False
4,-0.31767344,-0.3180538,-0.00038042822,-0.17540805041790009,0.8627170324325562,0.9608962509658311,0.7380905151367188,False
5,-0.0026881588,-0.0024327603,0.0002553988,0.22827109694480896,0.8220086097717285,0.9560093017945807,0.5412178039550781,False
6,0.0021092393,-5.810206e-06,-0.0021150503,-1.6053391695022583,0.12582005560398102,0.8160820484161376,0.1956329345703125,False
7,-0.0015216155,-0.0026968198,-0.0011752044,-0.7274057865142822,0.47633275389671326,0.8328560552289409,0.3954620361328125,False
8,-0.34500688,-0.34538746,-0.00038052234,-0.14096635580062866,0.8894620537757874,0.9608962509658311,0.48996734619140625,False
9,0.3666229,0.36469424,-0.0019286871,-1.3934192657470703,0.18046195805072784,0.8160820484161376,0.21011734008789062,False
10,-0.3465442,-0.34626603,0.00027822977,0.11377272009849548,0.9106773138046265,0.9608962509658311,0.8287849426269531,False
11,-0.386329,-0.38897255,-0.0026435256,-1.2127108573913574,0.24091705679893494,0.8160820484161376,0.2753410339355469,False
12,-0.3611787,-0.35917097,0.00200769,0.9800849556922913,0.3400341868400574,0.8160820484161376,0.3954620361328125,False
13,0.0050725616,0.004686448,-0.000386113,-0.4366515576839447,0.6675567030906677,0.92048326257157,0.9217147827148438,False
14,-0.36439946,-0.36013713,0.004262319,2.636019706726074,0.016776973381638527,0.48099441826343536,0.020412445068359375,False
15,0.26078746,0.2618164,0.0010289667,0.6444607973098755,0.52740478515625,0.8328560552289409,0.48996734619140625,False
16,-0.0043484373,-0.0038201166,0.0005283205,0.2849173843860626,0.7789595723152161,0.9560093017945807,0.7982521057128906,False
17,0.3051502,0.3084015,0.0032512436,1.4357621669769287,0.16822119057178497,0.8160820484161376,0.168792724609375,False
18,0.0009538359,0.0004872308,-0.00046660515,-0.5394293665885925,0.5962008237838745,0.8759626908735796,0.4653167724609375,False
19,-0.0053965286,-0.0053655636,3.096464e-05,0.03340587764978409,0.9737185835838318,0.9737185835838318,0.8595733642578125,False
20,0.2505027,0.2489088,-0.0015938925,-0.6394187808036804,0.5306045413017273,0.8328560552289409,0.6794281005859375,False
21,-0.39945212,-0.39713198,0.002320136,0.8096489906311035,0.42871561646461487,0.8252696073972262,0.4413337707519531,False
22,0.35229564,0.3541937,0.0018980205,1.4825679063796997,0.1554861217737198,0.8160820484161376,0.18186569213867188,False
23,-0.0029941956,-9.579734e-05,0.002898398,1.9146922826766968,0.07156285643577576,0.7227262854576111,0.08742904663085938,False
24,-0.0066853156,-0.0070003704,-0.00031505377,-0.2223435491323471,0.8265497088432312,0.9560093017945807,0.70855712890625,False
25,-0.356243,-0.35673752,-0.000494466,-0.2809520959854126,0.7819510102272034,0.9560093017945807,0.8287849426269531,False
26,0.0017753942,0.0021962828,0.0004208886,0.4199325442314148,0.6795045137405396,0.92048326257157,0.3524589538574219,False
27,-0.001787831,-0.0014309576,0.0003568736,0.2883744537830353,0.7763544321060181,0.9560093017945807,0.9217147827148438,False
28,-0.003737221,-0.0036872728,4.99483e-05,0.041965942829847336,0.9669878482818604,0.9737185835838318,0.9843215942382812,False
29,-0.0016991362,-0.00047881965,0.0012203167,1.8167943954467773,0.08593836426734924,0.7227262854576111,0.12318801879882812,False
30,0.3410355,0.34247848,0.0014429579,0.8364142179489136,0.41388824582099915,0.8252696073972262,0.4653167724609375,False
31,0.0070634224,0.006745156,-0.00031826601,-0.24617382884025574,0.8083328604698181,0.9560093017945807,0.8595733642578125,False
32,-0.008579588,-0.0091793565,-0.0005997684,-0.569837212562561,0.5758317112922668,0.8759626908735796,0.3954620361328125,False
33,-0.006120842,-0.004880731,0.0012401115,0.7051731944084167,0.48972776532173157,0.8328560552289409,0.9529838562011719,False
34,0.003033142,0.0043619266,0.0013287845,0.8348225951194763,0.41476061940193176,0.8252696073972262,0.37359619140625,False
35,0.40953487,0.40496498,-0.0045699165,-2.1177659034729004,0.048374373465776443,0.7227262854576111,0.060207366943359375,False
36,0.0020574694,0.0022833294,0.00022585967,0.23464487493038177,0.8171327710151672,0.9560093017945807,0.5412178039550781,False
37,-0.33844116,-0.33829764,0.00014356563,0.0832752212882042,0.9345518350601196,0.9646986684491557,0.9217147827148438,False
38,-0.004359795,-0.005702892,-0.0013430974,-0.8250985741615295,0.42011624574661255,0.8252696073972262,0.104156494140625,False
39,0.003087959,0.0021322053,-0.0009557539,-0.8612806797027588,0.40041136741638184,0.8252696073972262,0.48996734619140625,False
40,0.008393315,0.010261027,0.0018677139,1.9082179069519043,0.07244320213794708,0.7227262854576111,0.012359619140625,False
41,-0.41466913,-0.41668835,-0.002019305,-1.0900574922561646,0.2900662422180176,0.8160820484161376,0.3320655822753906,False
42,-0.0034556433,-0.0026864388,0.0007692044,0.4399271309375763,0.6652264595031738,0.92048326257157,0.9217147827148438,False
43,0.37400118,0.37388277,-0.00011835914,-0.052634067833423615,0.9586032032966614,0.9737185835838318,0.9843215942382812,False
44,-0.3660963,-0.3676269,-0.0015305625,-0.6994725465774536,0.4931974709033966,0.8328560552289409,0.6225624084472656,False
45,-0.0058754655,-0.004629825,0.0012456408,0.9431678056716919,0.35808295011520386,0.8252696073972262,0.8595733642578125,False
46,0.0024870473,0.0026519797,0.0001649323,0.1229080781340599,0.9035418033599854,0.9608962509658311,0.70855712890625,False
47,0.0028125464,0.0017930501,-0.0010194962,-1.1062968969345093,0.28316500782966614,0.8160820484161376,0.48996734619140625,False
48,0.29802454,0.30206966,0.004045143,1.4220508337020874,0.17210885882377625,0.8160820484161376,0.312408447265625,False
49,-0.0021344854,-0.003552685,-0.0014181997,-1.8749613761901855,0.07711826264858246,0.7227262854576111,0.06628799438476562,False
50,-0.39971247,-0.40342855,-0.00371605,-2.2057807445526123,0.040637560188770294,0.7227262854576111,0.07283401489257812,False
51,0.006292,0.003796836,-0.0024951638,-1.7896983623504639,0.09034078568220139,0.7227262854576111,0.049365997314453125,False
52,0.32456103,0.32282868,-0.0017323447,-0.9848998188972473,0.3377275764942169,0.8160820484161376,0.3954620361328125,False
53,0.0063500293,0.007658124,0.001308094,0.9984976649284363,0.3312724530696869,0.8160820484161376,0.18186569213867188,False
54,0.00038546903,-0.0017677124,-0.0021531812,-1.5015602111816406,0.150549978017807,0.8160820484161376,0.22532272338867188,False
55,-0.00013273115,0.0025779195,0.002710651,2.022660255432129,0.05822271853685379,0.7227262854576111,0.02298736572265625,False
56,0.0048134862,0.0035486938,-0.0012647928,-0.9871994256973267,0.3366297781467438,0.8160820484161376,0.21011734008789062,False
57,-0.0010114266,-0.00090417126,0.00010725536,0.08601240813732147,0.9324060678482056,0.9646986684491557,0.6225624084472656,False
58,-0.004677676,-0.0053936876,-0.00071601185,-0.5411373376846313,0.5950472354888916,0.8759626908735796,0.5948867797851562,False
59,-0.0053814542,-0.0065251235,-0.0011436694,-0.9330576062202454,0.3631380498409271,0.8252696073972262,0.2934989929199219,False
60,0.005467061,0.004505812,-0.0009612486,-0.6715542674064636,0.5103948712348938,0.8328560552289409,0.5412178039550781,False
61,-0.34884354,-0.35186434,-0.0030207445,-1.153504490852356,0.26379087567329407,0.8160820484161376,0.37359619140625,False
62,-0.12998058,-0.13096347,-0.0009828958,-0.8526378273963928,0.405062735080719,0.8252696073972262,0.168792724609375,False
63,-0.001075744,-0.0018844114,-0.0008086669,-0.8001663088798523,0.4340483248233795,0.8252696073972262,0.48996734619140625,False
64,0.003996839,0.003567683,-0.000429156,-0.4028335511684418,0.6918147206306458,0.92048326257157,0.9843215942382812,False
65,-0.23332764,-0.23029119,0.0030364676,2.5513899326324463,0.020041434094309807,0.48099441826343536,0.03234100341796875,False
66,-0.00044758187,0.00069753075,0.0011451124,0.7773984670639038,0.4470210373401642,0.8252696073972262,0.5152778625488281,False
67,-0.35794708,-0.3599708,-0.002023777,-1.0422813892364502,0.3110787868499756,0.8160820484161376,0.22532272338867188,False
68,-0.0058966153,-0.0046556825,0.0012409327,1.2322040796279907,0.23372690379619598,0.8160820484161376,0.14468765258789062,False
69,0.0020161013,0.0024738659,0.00045776437,0.4229581654071808,0.6773357391357422,0.92048326257157,0.4180412292480469,False
70,0.0020863258,0.0013273846,-0.0007589411,-0.6601536273956299,0.5175142884254456,0.8328560552289409,0.6794281005859375,False
71,-0.002517595,-0.005532582,-0.003014987,-2.8464465141296387,0.010713334195315838,0.48099441826343536,0.002399444580078125,False
