roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.036797393,-0.037150122,-0.0003527295,-1.3229539394378662,0.20241226255893707,0.44162675467404455,0.24125289916992188,False
1,lh_GPe,-0.04625819,-0.04663071,-0.00037251276,-1.0719554424285889,0.29790279269218445,0.5958055853843689,0.4180412292480469,False
2,lh_GPi,0.019486802,0.019818721,0.00033191475,1.3934500217437744,0.18045282363891602,0.4330867767333984,0.3320655822753906,False
3,lh_Pu,0.01821574,0.018399205,0.00018346496,0.5477620363235474,0.5905836820602417,0.7597924641200474,0.5948867797851562,False
4,lh_STH,0.040719636,0.040948167,0.00022853696,0.5192843675613403,0.6098887920379639,0.7597924641200474,0.5948867797851562,False
5,lh_cerebellum_dentate,-0.013291299,-0.013533842,-0.0002425389,-0.864894449710846,0.3984769284725189,0.6631745815277099,0.3320655822753906,False
6,lh_cerebellum_motor,-0.011269522,-0.011272479,-2.9568512e-06,-0.013964494690299034,0.9890118837356567,0.9890118837356567,0.9529838562011719,False
7,lh_paracentral_smooth3mm,0.014452782,0.014882741,0.0004299588,1.8062336444854736,0.08763141185045242,0.3505256474018097,0.11337661743164062,False
8,lh_postcentral_smooth3mm,0.016283097,0.016393956,0.000110859146,0.44050127267837524,0.6648184061050415,0.7597924641200474,0.5948867797851562,False
9,lh_precentral_smooth3mm,0.00763091,0.008068316,0.00043740534,2.239856719970703,0.03796016797423363,0.20213266611099243,0.040130615234375,False
10,lh_superiorfrontal_smooth3mm,-0.022055775,-0.022624379,-0.0005686047,-2.187898874282837,0.04211097210645676,0.20213266611099243,0.06628799438476562,False
11,lh_vim,0.01260485,0.013004296,0.00039944827,1.5127251148223877,0.14770913124084473,0.3965567350387573,0.25792694091796875,False
12,lh_zi,0.028278144,0.028469479,0.00019133464,0.6642947793006897,0.5149218440055847,0.7597924641200474,0.70855712890625,False
13,rh_Ca,0.007990002,0.008186561,0.000196559,0.9033301472663879,0.3782811462879181,0.6631745815277099,0.76800537109375,False
14,rh_GPe,0.009891234,0.010375254,0.00048401995,2.4315907955169678,0.025701476261019707,0.20213266611099243,0.040130615234375,False
15,rh_GPi,0.00031660084,0.00040975993,9.315907e-05,0.27939295768737793,0.7831281423568726,0.8171771920245626,0.7982521057128906,False
16,rh_Pu,-0.014401229,-0.014300557,0.000100668665,0.5451326370239258,0.5923532843589783,0.7597924641200474,0.5948867797851562,False
17,rh_STH,-0.01747735,-0.01759323,-0.00011587677,-0.3617197871208191,0.7217726111412048,0.7873883030631326,0.9217147827148438,False
18,rh_cerebellum_dentate,0.03868251,0.03921172,0.00052920746,1.6115303039550781,0.12445981055498123,0.3965567350387573,0.18186569213867188,False
19,rh_cerebellum_motor,-0.005413668,-0.0055720927,-0.00015842445,-0.47310972213745117,0.6418213844299316,0.7597924641200474,0.6507492065429688,False
20,rh_paracentral_smooth3mm,0.033595085,0.0344006,0.00080551533,3.2427992820739746,0.004516485147178173,0.05419782176613808,0.00457763671875,False
21,rh_postcentral_smooth3mm,0.018468753,0.018886413,0.00041766366,1.5087761878967285,0.148708775639534,0.3965567350387573,0.09551239013671875,False
22,rh_precentral_smooth3mm,0.024923863,0.025981661,0.0010578018,3.8673977851867676,0.001128499861806631,0.027083996683359146,0.00141143798828125,True
23,rh_superiorfrontal_smooth3mm,0.002798676,0.0029980056,0.00019932957,0.8353267312049866,0.4144841134548187,0.6631745815277099,0.4653167724609375,False
