mode_index,eigenvalue_mag,phase_rad,freq_hz,period_s,tau_s
72,0.991961,-2.4598649,0.19574982,5.1085615,247.78587
3,0.98581874,0.1108463,0.008820868,113.36752,140.02884
30,0.9838802,2.0719273,0.16487873,6.0650635,123.06848
70,0.9828587,1.6996607,0.1352547,7.393459,115.6745
43,0.9809552,2.4898906,0.19813919,5.046957,104.012245
8,0.979934,-3.1112757,0.24758744,4.038977,98.667595
10,0.9786985,0.46567753,0.03705744,26.985134,92.886475
53,0.9714577,0.6382115,0.050787255,19.68998,69.066666
1,0.9707563,2.1057653,0.16757147,5.9676027,67.38583
79,0.97036725,2.0652168,0.16434473,6.0847707,66.487885
66,0.9702058,-2.8161979,0.2241059,4.4621763,66.122086
37,0.96846956,-1.0439923,0.083078265,12.036842,62.425426
58,0.9654951,-0.30114967,0.02396473,41.727993,56.956944
0,0.96468705,-0.27472335,0.02186179,45.74191,55.63045
32,0.962532,-0.6109655,0.048619088,20.568054,52.372494
16,0.9605187,-2.2190778,0.1765886,5.66288,49.650204
12,0.9581863,0.4016749,0.031964272,31.28493,46.824127
93,0.9469802,-2.8777215,0.2290018,4.366778,36.712666
23,0.94355154,1.2472831,0.09925564,10.074995,34.420868
35,0.9377685,-2.2071338,0.17563812,5.693525,31.127365
84,0.9341358,-2.4169607,0.19233562,5.199245,29.354153
46,0.9334408,-0.9216111,0.07333948,13.6352215,29.036963
92,0.93266594,2.2621086,0.18001288,5.555158,28.691036
7,0.9306791,0.90621895,0.07211461,13.866816,27.839348
44,0.9274314,-1.881954,0.14976114,6.6773,26.547577
86,0.92682,-2.6212814,0.20859493,4.79398,26.3172
82,0.92649674,-0.7535947,0.05996916,16.675238,26.196955
14,0.92190945,-0.10260564,0.008165097,122.47252,24.597746
48,0.91749316,2.7132237,0.21591148,4.631528,23.226065
42,0.9035784,-2.2427657,0.17847362,5.6030693,19.725344
55,0.90074885,1.8286413,0.14551865,6.8719716,19.133482
77,0.89656997,2.338036,0.18605499,5.374755,18.318552
71,0.8953055,-0.45932895,0.036552235,27.358109,18.084776
64,0.8938261,-0.26347476,0.020966655,47.694782,17.818323
78,0.89368224,1.2965704,0.10317779,9.692008,17.7928
56,0.8869806,2.6579652,0.21151415,4.727816,16.676092
89,0.8848812,-1.588278,0.12639114,7.9119463,16.352978
54,0.88095534,-2.2537093,0.17934449,5.5758615,15.779298
40,0.880258,0.5548878,0.044156566,22.646688,15.68133
62,0.8793372,-2.1280892,0.16934796,5.905002,15.553691
90,0.8743967,-1.9727085,0.15698315,6.3701105,14.900783
19,0.87380874,2.0541048,0.16346046,6.117687,14.826483
17,0.87089974,0.2543553,0.020240951,49.40479,14.468806
47,0.86777675,0.8394864,0.06680421,14.969117,14.1023035
11,0.8675065,1.2779809,0.10169849,9.832988,14.0714
5,0.8648626,-2.4667392,0.19629686,5.094325,13.775566
36,0.86418504,0.42503244,0.033823006,29.565676,13.701598
33,0.8597529,2.5184484,0.20041175,4.9897275,13.23537
13,0.85714775,1.0378301,0.0825879,12.108313,12.9748
28,0.85011554,0.95980656,0.07637898,13.0926075,12.316559
38,0.85003513,2.307451,0.18362111,5.4459968,12.309389
60,0.84257543,-1.4622015,0.116358295,8.594145,11.675963
57,0.8382772,0.83248425,0.06624699,15.095026,11.337456
21,0.8261928,0.3487916,0.027755953,36.02831,10.475201
15,0.80378205,-2.8551521,0.22720578,4.4012966,9.156371
91,0.8021846,2.5961626,0.20659605,4.8403635,9.073729
83,0.8010598,0.20922329,0.01664946,60.062008,9.016331
41,0.80079436,0.024959365,0.001986203,503.47318,9.002881
65,0.8002264,-2.5575118,0.20352031,4.913514,8.974219
85,0.79949605,-1.55172,0.12348195,8.09835,8.937601
4,0.79848546,1.3236939,0.10533621,9.493412,8.887367
34,0.7906759,-0.6503151,0.05175043,19.323511,8.515451
26,0.7895671,3.0981812,0.24654542,4.056048,8.464876
2,0.785026,2.1668239,0.17243037,5.799443,8.263151
63,0.7813287,1.4396764,0.114565805,8.728608,8.105062
51,0.7801613,-0.5530188,0.044007838,22.723225,8.056247
39,0.7756871,1.804597,0.14360526,6.963533,7.873828
22,0.76864016,1.6236123,0.12920296,7.739761,7.6007376
45,0.7669382,0.5775736,0.045961846,21.757177,7.5372424
80,0.76399654,0.7435777,0.059172034,16.899876,7.4296412
20,0.7584594,-2.5753324,0.20493844,4.879514,7.2341633
18,0.75505763,0.9957301,0.079237685,12.620258,7.118421
25,0.7549085,1.9854444,0.15799664,6.3292484,7.11342
88,0.75331485,-1.240494,0.09871537,10.130135,7.060352
67,0.7532678,0.37272933,0.029660856,33.714466,7.0587955
6,0.74984014,2.6683853,0.21234335,4.709354,6.946971
95,0.74495095,2.2929528,0.18246739,5.4804316,6.792627
27,0.7406013,0.8862223,0.07052333,14.179706,6.6601644
68,0.7387488,-1.781172,0.14174116,7.0551133,6.6050773
59,0.73483723,0.747591,0.0594914,16.809153,6.4912667
69,0.73474115,2.7785661,0.22111127,4.52261,6.4885135
52,0.7329301,-0.3425582,0.027259914,36.6839,6.4369764
49,0.72844225,-2.367405,0.18839209,5.3080783,6.3121963
9,0.7266281,0.9640227,0.076714486,13.035348,6.262908
76,0.72452337,-1.0921515,0.08691066,11.506069,6.20653
61,0.7223978,-1.8911722,0.1504947,6.6447525,6.150452
81,0.72177577,-1.9703449,0.15679505,6.377752,6.1342025
94,0.7146402,2.8802876,0.229206,4.3628874,5.952805
31,0.7117116,0.6063943,0.048255324,20.723103,5.880926
75,0.7079627,3.0593722,0.2434571,4.1075,5.7909937
87,0.7060018,1.6970276,0.13504516,7.4049306,5.744858
24,0.7052039,-3.0246003,0.24069004,4.1547213,5.726256
73,0.69927675,1.4087236,0.11210266,8.920395,5.591141
