epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1704.907149,1893.448127,0.000000,0.815622,0.698019,181.995125,201.287159,0.000000,0.853237,0.687656,1.00e-04
2,1.000,1.000,509.388664,565.043324,0.000000,0.866847,0.695311,110.850471,122.181410,0.000000,0.909692,0.684824,1.00e-04
3,1.000,1.000,237.171621,262.515641,0.000000,0.931068,0.695887,73.683172,80.809872,0.000000,0.984560,0.681845,1.00e-04
4,1.000,1.000,146.745336,161.969909,0.000000,1.003511,0.692633,68.939644,75.471394,0.000000,1.052511,0.681307,1.00e-04
5,1.000,1.000,109.877251,120.932546,0.000000,1.076269,0.693199,60.030149,65.489067,0.000000,1.135312,0.682058,1.00e-04
6,1.000,1.000,87.492555,95.972112,0.000000,1.164528,0.695826,56.194183,61.134442,0.000000,1.227314,0.686055,1.00e-04
7,1.000,1.000,77.862795,85.175823,0.000000,1.260912,0.697360,54.128238,58.734806,0.000000,1.331528,0.685391,1.00e-04
8,1.000,1.000,69.052234,75.277304,0.000000,1.369995,0.696678,51.246105,55.419018,0.000000,1.445054,0.684419,1.00e-04
9,1.000,1.000,64.605736,70.221083,0.000000,1.485716,0.696188,51.653456,55.753219,0.000000,1.563494,0.684165,1.00e-04
10,1.000,1.000,60.738854,65.803492,0.000000,1.606974,0.694358,51.048976,54.954648,0.000000,1.690469,0.683718,1.00e-04
11,1.000,1.000,59.373678,64.155880,0.000000,1.737794,0.693724,50.523958,54.234293,0.000000,1.827493,0.683519,1.00e-04
12,1.000,1.000,57.493320,61.925478,0.000000,1.878716,0.695467,50.249655,53.792786,0.000000,1.964163,0.684044,1.00e-04
13,1.000,1.000,56.171453,60.323052,0.000000,2.012389,0.695572,49.370106,52.675250,0.000000,2.104475,0.683542,1.00e-04
14,1.000,1.000,54.455905,58.270592,0.000000,2.159056,0.692229,50.044488,53.282613,0.000000,2.246368,0.684064,1.00e-04
15,1.000,1.000,54.249218,57.900113,0.000000,2.299758,0.693357,49.140870,52.129597,0.000000,2.395408,0.683689,1.00e-04
