coord_index,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,0.004885116,0.002413196,-0.0024719206,1.9095420337392783,0.0722623133941205,0.6044285524545322,0.07987594604492188,False
1,0.25249174,0.25462168,0.0021299154,-0.9717029202884762,0.34407598658797733,0.7072391402997266,0.2753410339355469,False
2,-0.0012682109,-0.0027583893,-0.0014901779,1.4488469231043943,0.16457805379742615,0.6363648308904769,0.1956329345703125,False
3,-0.00023089492,3.0558174e-05,0.00026145304,-0.27632709282378465,0.7854446305425005,0.9178896593782971,1.0,False
4,-0.0011547599,-0.00075216364,0.00040259605,-0.2826756948275599,0.7806503743541899,0.9178896593782971,0.9843215942382812,False
5,-0.0052628405,-0.0032394803,0.00202336,-1.5769523674625627,0.13221874584942891,0.6044285524545322,0.3524589538574219,False
6,-0.004638695,-0.0042874957,0.00035119965,-0.2655647681582384,0.7935921013374861,0.9178896593782971,0.9529838562011719,False
7,0.00029376315,-0.0008470442,-0.0011408078,0.9275864564012575,0.365894006115445,0.7138420109554818,0.2934989929199219,False
8,-0.00039072326,-0.0013573415,-0.0009666181,0.6650624280447228,0.5144422887661044,0.7716634331491566,0.37359619140625,False
9,0.0031430516,0.0044136825,0.0012706312,-1.0325193340632601,0.31550328565997077,0.7072391402997266,0.24125289916992188,False
10,-0.00094848813,-0.00047779534,0.0004706928,-0.45965297533412836,0.6512684894029799,0.8448888511173792,0.5948867797851562,False
11,0.31778482,0.31924886,0.0014639904,-0.7072950351524596,0.4884401466266325,0.7673414848147434,0.5152778625488281,False
12,-0.19257902,-0.19354248,-0.0009634589,0.3986164835827763,0.6948647400434336,0.8586369738641615,0.7380905151367188,False
13,0.003084557,0.0025478583,-0.0005366987,0.5515985630193365,0.5880065418932554,0.8301268826728311,0.9217147827148438,False
14,0.0017612485,0.0017966352,3.5386718e-05,-0.033303363238416345,0.9737991942606956,0.9907413091219248,0.5677604675292969,False
15,0.27216065,0.2755274,0.0033666806,-2.062433751739672,0.053902392409877146,0.5749588523720229,0.09551239013671875,False
16,-0.005866595,-0.0045683915,0.0012982043,-1.2665755539378638,0.22145230225156393,0.6643569067546918,0.3524589538574219,False
17,-0.0031795262,-0.0059210896,-0.0027415638,2.4373252831678953,0.025399375549613024,0.5749588523720229,0.0289306640625,False
18,-2.2387525e-05,-0.0004082566,-0.00038586906,0.2889888127851409,0.7758918716613691,0.9178896593782971,0.4413337707519531,False
19,0.0024717147,0.0017940953,-0.00067761977,0.5064606878716567,0.618680526022187,0.8424715116251631,0.8595733642578125,False
20,-0.004959494,-0.004327753,0.0006317414,-1.00600558066799,0.327745963539788,0.7072391402997266,0.3954620361328125,False
21,-0.00014435644,-0.0025924298,-0.0024480738,2.148993210521563,0.04548733574528479,0.5749588523720229,0.020412445068359375,False
22,0.2571875,0.260247,0.0030595127,-1.5234399472306555,0.1450246608613196,0.605320323595073,0.3320655822753906,False
23,0.0042925393,0.0029683083,-0.0013242317,1.3593690070614843,0.190817718402865,0.6501842666159706,0.21011734008789062,False
24,-0.0005812001,6.579083e-05,0.000646991,-0.9376174771762519,0.3608524158744383,0.7138420109554818,0.3524589538574219,False
25,0.0059046955,0.0052205343,-0.00068416115,0.4748142145344754,0.6406293786316344,0.8424715116251631,0.2753410339355469,False
26,-0.0023355924,-0.0013742537,0.0009613391,-0.7911460826145837,0.4391597331897378,0.7673414848147434,0.70855712890625,False
27,0.0047759595,0.0030290307,-0.001746928,1.5899107807484472,0.12926458144283962,0.6044285524545322,0.22532272338867188,False
28,-0.005690853,-0.004148875,0.0015419782,-1.181543358117747,0.2527626576392951,0.674033753704787,0.09551239013671875,False
29,0.0014554688,0.00081610074,-0.000639368,0.5570268143828614,0.5843695923205998,0.8301268826728311,0.8905677795410156,False
30,0.24921894,0.248138,-0.0010809412,0.6825720224881561,0.5035678494096754,0.7673414848147434,0.5677604675292969,False
31,-0.0018240433,-0.0029535969,-0.0011295539,1.1945713702337994,0.2477585966512531,0.674033753704787,0.6794281005859375,False
32,0.003234922,0.0023472724,-0.0008876496,0.9699025156884548,0.3449484054663581,0.7072391402997266,0.5948867797851562,False
33,-0.0057904855,-0.0067005698,-0.0009100841,0.7836550635727374,0.4434327423087031,0.7673414848147434,0.4413337707519531,False
34,5.992594e-05,-0.00082927494,-0.0008892009,0.7442926532478025,0.4663058933285914,0.7673414848147434,0.37359619140625,False
35,-0.20812349,-0.21079607,-0.0026725892,1.3951077836277774,0.17996036096549586,0.639859061210652,0.2934989929199219,False
36,0.0021862022,0.0021584004,-2.7802012e-05,0.03357006812211785,0.973589451973841,0.9907413091219248,0.7982521057128906,False
37,-0.32122567,-0.3222023,-0.0009766504,0.3947820224581805,0.6976425412646312,0.8586369738641615,0.9843215942382812,False
38,-0.0043817745,-0.004134119,0.00024765613,-0.17916482720078827,0.8598095865187318,0.971079062421156,0.7380905151367188,False
39,-0.001441834,-0.0026004869,-0.001158653,0.7269324566495897,0.47661591544683424,0.7673414848147434,0.4413337707519531,False
40,-0.15097563,-0.15316258,-0.0021869086,1.1910476509169539,0.24910458161603727,0.674033753704787,0.1956329345703125,False
41,-0.29936984,-0.30062753,-0.0012576863,0.7208874081221599,0.4802375873896205,0.7673414848147434,0.9843215942382812,False
42,-0.003175581,-0.0050934087,-0.0019178276,1.7508232876467567,0.09700012122897093,0.6044285524545322,0.07987594604492188,False
43,0.30108824,0.30103847,-4.9804385e-05,0.024884252340398448,0.9804210871519048,0.9907413091219248,0.9529838562011719,False
44,-0.26329824,-0.26648873,-0.0031904634,1.1423813190804382,0.2682642204226491,0.6777201358045872,0.3320655822753906,False
45,0.0025982293,0.0019854198,-0.0006128095,0.514505088471192,0.6131584594255906,0.8424715116251631,0.9843215942382812,False
46,0.003907609,0.0033790686,-0.00052854,0.4851836397626002,0.6333985239690132,0.8424715116251631,0.4653167724609375,False
47,-0.003813331,-0.003530954,0.000282377,-0.23542150424086464,0.8165392262519451,0.93318768714508,0.2753410339355469,False
48,0.25498825,0.2585201,0.003531845,-1.6996050369470908,0.10642059946158944,0.6044285524545322,0.11337661743164062,False
49,-0.0024889035,-0.002360631,0.00012827218,-0.11840658733240933,0.9070568758179576,0.9774702405585972,0.7982521057128906,False
50,-0.2160062,-0.21969211,-0.003685887,1.6861247773521866,0.10902718967339785,0.6044285524545322,0.168792724609375,False
