roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.0008601753,-0.0011175402,-0.00025736497,1.6544695851971036,0.11536411828508793,0.6368784657109148,0.1336212158203125,False
1,lh_GPe,0.00026600575,-4.3181284e-05,-0.00030918702,1.3413693785054495,0.19648084553819195,0.7430494954593742,0.18186569213867188,False
2,lh_GPi,-0.017137503,-0.017328702,-0.00019120102,0.9167375774928278,0.37140009455480405,0.8103274790286634,0.37359619140625,False
3,lh_Pu,-0.013306249,-0.0133175375,-1.12883645e-05,0.04201565006358609,0.9669487783521674,0.9669487783521674,0.7982521057128906,False
4,lh_STH,0.0050679925,0.0049598524,-0.000108139844,0.40083210892299564,0.6932616943390543,0.9032948463742562,1.0,False
5,lh_cerebellum_dentate,0.013832633,0.0138593195,2.6684744e-05,-0.15941057368870354,0.8751205011650919,0.9218623325005123,0.76800537109375,False
6,lh_cerebellum_motor,-0.01524989,-0.015343634,-9.374654e-05,0.31639950172935133,0.7553390915407576,0.9032948463742562,0.9217147827148438,False
7,lh_paracentral_smooth3mm,-0.006095435,-0.0062411595,-0.00014572409,0.725124255039437,0.477697529578912,0.8136699070543746,0.4653167724609375,False
8,lh_postcentral_smooth3mm,-0.009972794,-0.010298796,-0.00032600266,1.0702716759550814,0.29863933995859404,0.7891177093404621,0.2753410339355469,False
9,lh_precentral_smooth3mm,-0.02077575,-0.021045104,-0.00026935377,1.2563520773118637,0.22504980362320118,0.7430494954593742,0.1956329345703125,False
10,lh_superiorfrontal_smooth3mm,-0.024249256,-0.024340888,-9.163587e-05,0.38006758953610964,0.7083426938903021,0.9032948463742562,0.9529838562011719,False
11,lh_vim,-0.015931712,-0.016011298,-7.958637e-05,0.3008474631431461,0.7669782100837815,0.9032948463742562,0.8595733642578125,False
12,lh_zi,0.0024468838,0.0024725467,2.5662643e-05,-0.148689982246573,0.8834514019796577,0.9218623325005123,0.4180412292480469,False
13,rh_Ca,0.017643455,0.017392104,-0.00025134764,1.0037578408454622,0.3287990455585259,0.7891177093404621,0.3320655822753906,False
14,rh_GPe,0.0029785759,0.003118445,0.0001398694,-0.6747388055074772,0.5084163837551016,0.8136699070543746,0.48996734619140625,False
15,rh_GPi,-0.021607801,-0.021780401,-0.00017259721,0.7258198156789281,0.4772812929016985,0.8136699070543746,0.4413337707519531,False
16,rh_Pu,-0.025432615,-0.025608983,-0.0001763676,0.668507620798005,0.5122922058945603,0.8136699070543746,0.5677604675292969,False
17,rh_STH,-0.016477507,-0.016685843,-0.00020833696,1.194769275591537,0.24768316515312472,0.7430494954593742,0.312408447265625,False
18,rh_cerebellum_dentate,-0.024162043,-0.02497259,-0.0008105501,2.0867112463262916,0.051409961971490156,0.6169195436578819,0.07987594604492188,False
19,rh_cerebellum_motor,-0.024332905,-0.02451784,-0.0001849339,0.6209030431736787,0.5424466047029164,0.8136699070543746,0.5677604675292969,False
20,rh_paracentral_smooth3mm,0.013222782,0.012724337,-0.00049844664,1.8611546076381114,0.07913626858032825,0.633090148642626,0.11337661743164062,False
21,rh_postcentral_smooth3mm,0.010733031,0.010133591,-0.0005994414,1.5749380459219504,0.13268301368977392,0.6368784657109148,0.5152778625488281,False
22,rh_precentral_smooth3mm,0.002054081,0.0012071701,-0.00084691093,2.4298704564873748,0.02579274092198147,0.6169195436578819,0.03234100341796875,False
23,rh_superiorfrontal_smooth3mm,-0.019415887,-0.019352209,6.3681095e-05,-0.26979988088761475,0.7903829905774742,0.9032948463742562,0.9843215942382812,False
