mode_index,n_folds,mean_mag,std_mag,min_mag,max_mag,mean_rank
72,16,0.9955194,0.00039015966,0.994537,0.99621654,1
3,16,0.99107206,0.00095681136,0.98884785,0.99300796,2
30,16,0.9901087,0.0009877734,0.98784244,0.9921145,3
70,16,0.9896972,0.001067662,0.9872719,0.9918892,4
8,16,0.9882407,0.0012246225,0.98544335,0.9906815,5
43,16,0.9879173,0.0013260861,0.9850578,0.9907363,6
10,16,0.9864267,0.0014461235,0.9831362,0.9893338,7
53,16,0.9825361,0.0018334814,0.9783452,0.986359,8
1,16,0.98241615,0.0019205285,0.97801274,0.98643726,9
66,16,0.98209155,0.0019407056,0.97794706,0.9863209,10
79,16,0.9819752,0.0019280552,0.97750336,0.98605883,11
37,16,0.9801477,0.0021285585,0.9753418,0.98459417,12
58,16,0.9785017,0.0021295974,0.9738036,0.9831353,13
0,16,0.9765301,0.0024459227,0.9709244,0.9816745,14
32,16,0.97617173,0.0025540758,0.97046894,0.98163116,15
16,16,0.9748996,0.0027203825,0.96898067,0.9806658,16
12,16,0.97182953,0.0029661104,0.9654177,0.9781875,17
93,16,0.965052,0.0037798202,0.95660514,0.9731858,18
23,16,0.96165323,0.0040545077,0.9529885,0.97083527,19
35,16,0.959289,0.0043390375,0.94998,0.96892506,20
84,16,0.95460343,0.004823721,0.94368136,0.96511585,21
92,16,0.9542803,0.0046821963,0.94449717,0.96461093,22
46,16,0.9539983,0.0047783796,0.94333327,0.9643793,23
7,16,0.95361626,0.004857291,0.9427721,0.96403974,24
44,16,0.95293725,0.004979624,0.9419875,0.9638558,25
86,16,0.95139396,0.0051329085,0.9400155,0.9626285,26
82,16,0.9471684,0.0055342787,0.93520534,0.9593064,27
14,16,0.9443575,0.0056186933,0.93191963,0.95671415,28
48,16,0.94417304,0.0059396927,0.93094367,0.9570839,29
42,16,0.9351773,0.006721861,0.9204373,0.95011127,30
55,16,0.93031883,0.0070934636,0.9153912,0.9463291,31
77,16,0.9288467,0.007291126,0.9132548,0.94504124,32
78,16,0.92725,0.0074974904,0.91126543,0.94378525,33
71,16,0.92379546,0.0076414705,0.9066572,0.9403254,34
56,16,0.92251503,0.007897297,0.90516984,0.93979526,35
64,16,0.9211941,0.007811939,0.90407026,0.9383359,36
89,16,0.9197818,0.008027161,0.9020804,0.9374778,37
54,16,0.9175371,0.00841792,0.8992922,0.93624383,38
19,16,0.9167936,0.008374188,0.89861757,0.93532974,39
62,16,0.9166507,0.008303946,0.8982236,0.93491936,40
40,16,0.91651225,0.007985189,0.89931136,0.93435895,41
90,16,0.9096165,0.00915864,0.8897169,0.9296195,42
5,16,0.905884,0.009543889,0.88564605,0.9271126,43
11,16,0.9042698,0.009557483,0.88351214,0.92547786,44
17,16,0.9033521,0.009206139,0.88284427,0.92321163,45
36,16,0.9028503,0.009641004,0.8815568,0.92420423,46
47,16,0.9024511,0.009663598,0.88137037,0.92395324,47
33,16,0.9011224,0.00985857,0.8796621,0.9230486,48
13,16,0.89798695,0.009991828,0.87611777,0.9200519,49
38,16,0.8947021,0.010546235,0.8717816,0.9182005,50
28,16,0.8943107,0.010467923,0.8712855,0.9173355,51
