roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_cerebellum_motor,13,6,13,increase,0.6842105263157895,3.231099e-05
rh_cerebellum_dentate,13,6,13,increase,0.6842105263157895,2.9865658e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-3.4819648e-05
lh_paracentral_smooth3mm,12,7,12,increase,0.631578947368421,1.1542377e-05
lh_vim,12,7,12,increase,0.631578947368421,8.3083025e-05
rh_Pu,12,7,12,increase,0.631578947368421,4.2193886e-05
lh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,9.438014e-06
rh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,7.4166186e-05
rh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,1.000964e-05
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,0.00011828641
rh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,-7.426419e-06
rh_Ca,11,8,11,increase,0.5789473684210527,-6.407602e-06
lh_STH,11,8,11,increase,0.5789473684210527,1.5554138e-05
lh_GPe,11,8,11,increase,0.5789473684210527,0.00012580147
rh_GPi,11,8,11,increase,0.5789473684210527,3.8186332e-05
lh_Pu,9,10,10,decrease,0.5263157894736842,-5.2436855e-05
lh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,1.0676735e-05
lh_Ca,10,9,10,increase,0.5263157894736842,-1.6750422e-05
lh_GPi,10,9,10,increase,0.5263157894736842,8.444895e-06
lh_superiorfrontal_smooth3mm,10,9,10,increase,0.5263157894736842,-1.1699981e-05
rh_GPe,10,9,10,increase,0.5263157894736842,-2.9937039e-05
lh_zi,10,9,10,increase,0.5263157894736842,-1.2427369e-05
lh_postcentral_smooth3mm,9,10,10,decrease,0.5263157894736842,2.0603262e-05
rh_STH,10,9,10,increase,0.5263157894736842,-2.0044654e-05
