roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPe,18,1,18,increase,0.9473684210526315,0.00018158367
rh_precentral_smooth3mm,16,3,16,increase,0.8421052631578947,0.00016466339
lh_postcentral_smooth3mm,15,4,15,increase,0.7894736842105263,0.00019908445
rh_paracentral_smooth3mm,15,4,15,increase,0.7894736842105263,0.0002966676
lh_cerebellum_motor,14,5,14,increase,0.7368421052631579,2.425677e-05
lh_zi,13,6,13,increase,0.6842105263157895,8.985335e-05
lh_Pu,6,13,13,decrease,0.6842105263157895,-7.2210714e-05
lh_GPi,13,6,13,increase,0.6842105263157895,8.388525e-05
rh_GPe,13,6,13,increase,0.6842105263157895,5.519133e-05
rh_cerebellum_dentate,13,6,13,increase,0.6842105263157895,8.883913e-05
rh_Pu,12,7,12,increase,0.631578947368421,8.588169e-05
rh_Ca,7,12,12,decrease,0.631578947368421,-1.7792021e-05
rh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,9.1979135e-05
rh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,1.8951872e-05
lh_STH,11,8,11,increase,0.5789473684210527,-4.1559637e-05
lh_Ca,8,11,11,decrease,0.5789473684210527,-1.72623e-05
rh_STH,11,8,11,increase,0.5789473684210527,4.0316794e-05
lh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,9.637194e-06
lh_vim,11,8,11,increase,0.5789473684210527,1.8746514e-05
lh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,-7.4260415e-06
lh_paracentral_smooth3mm,10,9,10,increase,0.5263157894736842,1.2080563e-06
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-6.593473e-06
rh_GPi,9,10,10,decrease,0.5263157894736842,-9.9086465e-05
rh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-4.2996253e-06
