roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,0.0028110698,0.0027415215,-6.954856e-05,-0.40043437480926514,0.6935492753982544,0.9988221526145935,0.9529838562011719,False
1,lh_GPe,-0.013166405,-0.012680657,0.00048574703,1.759150505065918,0.09553884714841843,0.6337370127439499,0.06628799438476562,False
2,lh_GPi,0.080196716,0.08017525,-2.1458456e-05,-0.05102376267313957,0.9598685503005981,0.9988221526145935,0.9843215942382812,False
3,lh_Pu,0.025932834,0.02590866,-2.4172134e-05,-0.10512655228376389,0.9174379706382751,0.9988221526145935,0.9529838562011719,False
4,lh_STH,0.014713954,0.014641814,-7.21376e-05,-0.3552570641040802,0.7265257835388184,0.9988221526145935,0.4180412292480469,False
5,lh_cerebellum_dentate,-0.019370392,-0.019401966,-3.1572912e-05,-0.22146323323249817,0.827224612236023,0.9988221526145935,0.8595733642578125,False
6,lh_cerebellum_motor,-0.009993595,-0.009844311,0.00014928434,0.7291311621665955,0.47530245780944824,0.9988221526145935,0.156402587890625,False
7,lh_paracentral_smooth3mm,0.004125352,0.0041507613,2.5409789e-05,0.19952791929244995,0.8440864086151123,0.9988221526145935,0.37359619140625,False
8,lh_postcentral_smooth3mm,0.0629458,0.063184425,0.00023863425,0.6813837885856628,0.5043014287948608,0.9988221526145935,0.6507492065429688,False
9,lh_precentral_smooth3mm,0.0014111205,0.0013454116,-6.5709086e-05,-0.430966317653656,0.6716094613075256,0.9988221526145935,0.7380905151367188,False
10,lh_superiorfrontal_smooth3mm,0.035508636,0.035455633,-5.3006177e-05,-0.22212956845760345,0.8267136812210083,0.9988221526145935,0.9843215942382812,False
11,lh_vim,-0.016185405,-0.01583746,0.00034794325,2.1887435913085938,0.04204026609659195,0.6337370127439499,0.036067962646484375,False
12,lh_zi,0.04860814,0.04886469,0.00025655623,0.8034084439277649,0.4322204291820526,0.9988221526145935,0.4180412292480469,False
13,rh_Ca,0.0013791784,0.0013789652,-2.1305841e-07,-0.0014968590112403035,0.9988221526145935,0.9988221526145935,0.9529838562011719,False
14,rh_GPe,-0.010489102,-0.0104418285,4.727354e-05,0.34429365396499634,0.7346149682998657,0.9988221526145935,0.8595733642578125,False
15,rh_GPi,-0.026886,-0.026491404,0.0003945995,1.7163746356964111,0.10325293242931366,0.6337370127439499,0.07283401489257812,False
16,rh_Pu,-0.031199679,-0.03111955,8.01258e-05,0.4820025563240051,0.6356126070022583,0.9988221526145935,0.6225624084472656,False
17,rh_STH,-0.0037548416,-0.003511548,0.0002432941,1.224692463874817,0.23647788166999817,0.9459115266799927,0.18186569213867188,False
18,rh_cerebellum_dentate,0.038684856,0.039005686,0.0003208318,1.2410941123962402,0.23050302267074585,0.9459115266799927,0.2753410339355469,False
19,rh_cerebellum_motor,-0.02433365,-0.02435386,-2.0209995e-05,-0.11904780566692352,0.9065560102462769,0.9988221526145935,0.9843215942382812,False
20,rh_paracentral_smooth3mm,0.07078088,0.07117881,0.00039792256,0.8540754318237305,0.40428662300109863,0.9988221526145935,0.5677604675292969,False
21,rh_postcentral_smooth3mm,0.09717895,0.09752256,0.0003436094,0.618587851524353,0.5439370274543762,0.9988221526145935,0.5412178039550781,False
22,rh_precentral_smooth3mm,0.026032431,0.026498515,0.00046608647,1.7037876844406128,0.10562283545732498,0.6337370127439499,0.156402587890625,False
23,rh_superiorfrontal_smooth3mm,0.017765976,0.01767474,-9.12353e-05,-0.6098037362098694,0.5496129989624023,0.9988221526145935,0.5152778625488281,False
