roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,0.0027896499,0.0026365751,-0.00015307491,-0.7913140058517456,0.43906402587890625,0.7526811872209821,0.5948867797851562,False
1,lh_GPe,-0.013295081,-0.013019378,0.00027570128,1.2565289735794067,0.22498729825019836,0.44997459650039673,0.12318801879882812,False
2,lh_GPi,0.07927704,0.079845265,0.0005682346,1.84603750705719,0.08139905333518982,0.24419716000556946,0.14468765258789062,False
3,lh_Pu,0.02544722,0.025653673,0.0002064547,1.3032971620559692,0.2088986486196518,0.44997459650039673,0.24125289916992188,False
4,lh_STH,0.014290582,0.014264432,-2.615144e-05,-0.1426374465227127,0.8881610035896301,0.970045268535614,0.8595733642578125,False
5,lh_cerebellum_dentate,-0.01923043,-0.019490078,-0.00025965038,-1.16714346408844,0.25838229060173035,0.4770134595724253,0.3524589538574219,False
6,lh_cerebellum_motor,-0.010242149,-0.010230271,1.1877672e-05,0.038077209144830704,0.970045268535614,0.970045268535614,0.3524589538574219,False
7,lh_paracentral_smooth3mm,0.00389103,0.0036737605,-0.0002172694,-1.3769848346710205,0.18540240824222565,0.44496577978134155,0.24125289916992188,False
8,lh_postcentral_smooth3mm,0.061880082,0.06289304,0.0010129658,3.205993890762329,0.004897523205727339,0.03918018564581871,0.00202178955078125,True
9,lh_precentral_smooth3mm,0.0012227632,0.001153432,-6.9331385e-05,-0.33896389603614807,0.7385590672492981,0.970045268535614,0.8595733642578125,False
10,lh_superiorfrontal_smooth3mm,0.034786925,0.035269585,0.00048265763,2.015122652053833,0.05907592177391052,0.20254601751055035,0.060207366943359375,False
11,lh_vim,-0.016312795,-0.016396701,-8.390226e-05,-0.40281838178634644,0.6918256878852844,0.970045268535614,0.9843215942382812,False
12,lh_zi,0.047996428,0.04868202,0.00068559573,2.9750864505767822,0.00811291579157114,0.04867749474942684,0.00823211669921875,True
13,rh_Ca,0.0013668329,0.0011150802,-0.0002517527,-1.625091314315796,0.12152374535799026,0.3240633209546407,0.104156494140625,False
14,rh_GPe,-0.010505307,-0.0105256615,-2.035582e-05,-0.10745233297348022,0.9156187176704407,0.970045268535614,0.8287849426269531,False
15,rh_GPi,-0.026961612,-0.026892524,6.908492e-05,0.2467833310365677,0.8078684210777283,0.970045268535614,0.5677604675292969,False
16,rh_Pu,-0.03129023,-0.03124606,4.4174296e-05,0.15857596695423126,0.8757684826850891,0.970045268535614,0.6225624084472656,False
17,rh_STH,-0.0039839097,-0.0039961897,-1.2279696e-05,-0.05284014344215393,0.9584412574768066,0.970045268535614,0.8287849426269531,False
18,rh_cerebellum_dentate,0.038088243,0.03868076,0.00059251214,3.4120078086853027,0.0031077428720891476,0.03729291446506977,0.007144927978515625,True
19,rh_cerebellum_motor,-0.024463125,-0.024536168,-7.304275e-05,-0.28391140699386597,0.7797182202339172,0.970045268535614,0.9529838562011719,False
20,rh_paracentral_smooth3mm,0.06980826,0.07095236,0.001144112,3.4287407398223877,0.002994618145748973,0.03729291446506977,0.0033416748046875,True
21,rh_postcentral_smooth3mm,0.09588768,0.0972092,0.0013215072,2.6346189975738525,0.01682664453983307,0.08076789379119872,0.020412445068359375,False
22,rh_precentral_smooth3mm,0.025358645,0.026095051,0.0007364065,2.4345474243164062,0.025545308366417885,0.10218123346567154,0.02298736572265625,False
23,rh_superiorfrontal_smooth3mm,0.017492505,0.017453184,-3.932103e-05,-0.19763414561748505,0.8455459475517273,0.970045268535614,0.5677604675292969,False
