roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_Ca,5,14,14,decrease,0.7368421052631579,-7.5017895e-05
rh_STH,14,5,14,increase,0.7368421052631579,0.00016962278
lh_paracentral_smooth3mm,13,6,13,increase,0.6842105263157895,8.572486e-05
lh_GPe,6,13,13,decrease,0.6842105263157895,-0.00013872697
rh_cerebellum_motor,13,6,13,increase,0.6842105263157895,0.00022407155
rh_Pu,13,6,13,increase,0.6842105263157895,6.0852995e-05
lh_vim,6,13,13,decrease,0.6842105263157895,-8.818912e-05
lh_Pu,7,12,12,decrease,0.631578947368421,-5.022454e-05
rh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,6.3224043e-06
lh_superiorfrontal_smooth3mm,11,8,11,increase,0.5789473684210527,9.405216e-05
lh_cerebellum_motor,11,8,11,increase,0.5789473684210527,7.555457e-05
lh_GPi,11,8,11,increase,0.5789473684210527,0.00013253473
rh_paracentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-6.06925e-06
rh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,4.991927e-06
rh_GPe,11,8,11,increase,0.5789473684210527,6.0201353e-05
lh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,3.9480114e-05
lh_STH,10,9,10,increase,0.5263157894736842,-4.198473e-05
rh_GPi,10,9,10,increase,0.5263157894736842,7.236895e-05
lh_zi,10,9,10,increase,0.5263157894736842,1.0862199e-05
lh_postcentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-1.5178968e-05
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-2.989804e-05
rh_Ca,9,10,10,decrease,0.5263157894736842,-3.5760637e-05
rh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,4.5969453e-05
rh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,-1.9571627e-05
