roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_Pu,3,16,16,decrease,0.8421052631578947,-0.00015536784
lh_GPi,14,5,14,increase,0.7368421052631579,3.5096164e-05
lh_GPe,13,6,13,increase,0.6842105263157895,0.00017289285
lh_Ca,6,13,13,decrease,0.6842105263157895,-5.8368125e-05
rh_paracentral_smooth3mm,13,6,13,increase,0.6842105263157895,2.4309318e-05
lh_STH,12,7,12,increase,0.631578947368421,0.00027643566
lh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,1.2264385e-05
lh_cerebellum_dentate,12,7,12,increase,0.631578947368421,6.2346866e-05
rh_Pu,12,7,12,increase,0.631578947368421,2.7892573e-05
rh_Ca,12,7,12,increase,0.631578947368421,0.00017471459
rh_GPe,12,7,12,increase,0.631578947368421,8.6572145e-05
lh_paracentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-0.00011310044
rh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,1.8999992e-05
rh_GPi,11,8,11,increase,0.5789473684210527,8.731123e-06
lh_zi,8,11,11,decrease,0.5789473684210527,-4.4551067e-05
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-2.0610432e-05
lh_cerebellum_motor,10,9,10,increase,0.5263157894736842,-4.2351603e-06
lh_vim,9,10,10,decrease,0.5263157894736842,8.14106e-06
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,4.0400278e-06
rh_STH,9,10,10,decrease,0.5263157894736842,-5.727586e-05
rh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-3.6688016e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,8.62635e-06
rh_postcentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-7.814022e-06
rh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-2.9871956e-06
