roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.020524848,-0.020545883,-2.1034362e-05,-0.1000131294131279,0.9214394092559814,0.9844602346420288,0.9217147827148438,False
1,lh_GPe,0.0065581123,0.0062309788,-0.00032713273,-2.4712376594543457,0.023679951205849648,0.3472765311598778,0.044559478759765625,False
2,lh_GPi,-0.030061519,-0.029948596,0.0001129259,0.37649351358413696,0.7109511494636536,0.9844602346420288,0.9529838562011719,False
3,lh_Pu,0.0018495399,0.0017003546,-0.0001491853,-0.7818306684494019,0.44447699189186096,0.9238323211669922,0.3524589538574219,False
4,lh_STH,-0.03826596,-0.038239688,2.6267806e-05,0.09943000227212906,0.9218958616256714,0.9844602346420288,0.7982521057128906,False
5,lh_cerebellum_dentate,-0.03597305,-0.03570479,0.00026825973,0.9442975521087646,0.35752102732658386,0.8862828254699706,0.37359619140625,False
6,lh_cerebellum_motor,-0.008190359,-0.008158947,3.141292e-05,0.22985664010047913,0.820794939994812,0.9844602346420288,0.6507492065429688,False
7,lh_paracentral_smooth3mm,-0.015987491,-0.015969828,1.7663464e-05,0.0866316482424736,0.9319207072257996,0.9844602346420288,0.9843215942382812,False
8,lh_postcentral_smooth3mm,0.008593171,0.008340596,-0.0002525757,-1.1947362422943115,0.2476959079504013,0.8862828254699706,0.168792724609375,False
9,lh_precentral_smooth3mm,-0.027140805,-0.026998203,0.00014260304,0.6380321383476257,0.5314865112304688,0.9238323211669922,0.4180412292480469,False
10,lh_superiorfrontal_smooth3mm,-0.017049033,-0.016662156,0.00038687894,1.5337252616882324,0.14248615503311157,0.8549169301986694,0.09551239013671875,False
11,lh_vim,-0.0075330427,-0.00752576,7.283286e-06,0.036717213690280914,0.9711146354675293,0.9844602346420288,0.7982521057128906,False
12,lh_zi,-0.016677085,-0.016679516,-2.4330557e-06,-0.01974976249039173,0.9844602346420288,0.9844602346420288,1.0,False
13,rh_Ca,-0.039267246,-0.039541118,-0.00027387805,-1.0411806106567383,0.31157541275024414,0.8862828254699706,0.25792694091796875,False
14,rh_GPe,-0.046046544,-0.04534175,0.00070480024,1.7792255878448486,0.09209439903497696,0.7367551922798157,0.104156494140625,False
15,rh_GPi,-0.05800658,-0.05770569,0.00030090366,0.9401424527168274,0.3595905303955078,0.8862828254699706,0.37359619140625,False
16,rh_Pu,-0.0060837404,-0.006178448,-9.4707735e-05,-0.46828940510749817,0.6451982259750366,0.9677973389625549,0.6507492065429688,False
17,rh_STH,-0.034202885,-0.033632707,0.00057017745,2.3737950325012207,0.028939710929989815,0.3472765311598778,0.044559478759765625,False
18,rh_cerebellum_dentate,-0.0075880266,-0.0076008895,-1.2862496e-05,-0.04929863288998604,0.9612241983413696,0.9844602346420288,0.6225624084472656,False
19,rh_cerebellum_motor,-0.04384193,-0.04337117,0.00047076083,1.3672208786010742,0.18838860094547272,0.8862828254699706,0.1956329345703125,False
20,rh_paracentral_smooth3mm,-0.01621551,-0.016336646,-0.00012113286,-0.6179352402687073,0.5443577170372009,0.9238323211669922,0.8595733642578125,False
21,rh_postcentral_smooth3mm,-0.0027121366,-0.0025727367,0.00013940035,0.9208925366401672,0.3692845106124878,0.8862828254699706,0.312408447265625,False
22,rh_precentral_smooth3mm,-0.020127611,-0.020247988,-0.00012037638,-0.5674839615821838,0.5773952007293701,0.9238323211669922,0.5948867797851562,False
23,rh_superiorfrontal_smooth3mm,-0.00542141,-0.005244765,0.00017664491,0.669645369052887,0.5115829706192017,0.9238323211669922,0.7380905151367188,False
