roi_index,roi_name,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,lh_Ca,-0.020591434,-0.020504335,8.71016e-05,0.3864169716835022,0.7037175893783569,0.9691418409347534,0.5152778625488281,False
1,lh_GPe,0.0060606254,0.0065042214,0.00044359596,1.4678502082824707,0.1594022959470749,0.9691418409347534,0.156402587890625,False
2,lh_GPi,-0.029951343,-0.029913416,3.792316e-05,0.1396114081144333,0.8905172944068909,0.9691418409347534,0.70855712890625,False
3,lh_Pu,0.0017616864,0.001753803,-7.883634e-06,-0.0392262227833271,0.9691418409347534,0.9691418409347534,0.70855712890625,False
4,lh_STH,-0.038292937,-0.037797537,0.00049539714,1.4796080589294434,0.15626727044582367,0.9691418409347534,0.156402587890625,False
5,lh_cerebellum_dentate,-0.035694093,-0.0355601,0.00013399027,0.4630580544471741,0.6488720178604126,0.9691418409347534,0.6225624084472656,False
6,lh_cerebellum_motor,-0.008043225,-0.00799197,5.1255265e-05,0.2283807247877121,0.8219245672225952,0.9691418409347534,0.9843215942382812,False
7,lh_paracentral_smooth3mm,-0.015827999,-0.016050879,-0.00022287936,-1.0679441690444946,0.29965996742248535,0.9691418409347534,0.3524589538574219,False
8,lh_postcentral_smooth3mm,0.008565616,0.008397267,-0.00016834831,-0.813451886177063,0.42658862471580505,0.9691418409347534,0.2934989929199219,False
9,lh_precentral_smooth3mm,-0.026705956,-0.026905574,-0.00019962066,-0.8976845741271973,0.3812040388584137,0.9691418409347534,0.3954620361328125,False
10,lh_superiorfrontal_smooth3mm,-0.016860921,-0.016646445,0.00021447672,1.0442689657211304,0.31018346548080444,0.9691418409347534,0.25792694091796875,False
11,lh_vim,-0.007406965,-0.0075363964,-0.00012943163,-0.6004435420036316,0.5556958317756653,0.9691418409347534,0.9843215942382812,False
12,lh_zi,-0.016662408,-0.016780188,-0.000117779025,-0.5006510019302368,0.6226829886436462,0.9691418409347534,0.8595733642578125,False
13,rh_Ca,-0.03925147,-0.039413314,-0.00016184543,-0.4512793719768524,0.657177746295929,0.9691418409347534,0.9529838562011719,False
14,rh_GPe,-0.04513654,-0.04522197,-8.542757e-05,-0.20916932821273804,0.8366649746894836,0.9691418409347534,1.0,False
15,rh_GPi,-0.05766476,-0.057739522,-7.476756e-05,-0.18840385973453522,0.8526678085327148,0.9691418409347534,0.9529838562011719,False
16,rh_Pu,-0.00631673,-0.0061712735,0.00014545585,0.7524436712265015,0.461511492729187,0.9691418409347534,0.5152778625488281,False
17,rh_STH,-0.033905156,-0.03415059,-0.00024544212,-0.8824044466018677,0.38919028639793396,0.9691418409347534,0.48996734619140625,False
18,rh_cerebellum_dentate,-0.007875775,-0.007286416,0.00058935926,2.100816488265991,0.05001037195324898,0.9691418409347534,0.0289306640625,False
19,rh_cerebellum_motor,-0.04315475,-0.043100435,5.431826e-05,0.1426163762807846,0.8881774544715881,0.9691418409347534,0.8595733642578125,False
20,rh_paracentral_smooth3mm,-0.016097303,-0.01611116,-1.3853766e-05,-0.04862866923213005,0.9617507457733154,0.9691418409347534,0.70855712890625,False
21,rh_postcentral_smooth3mm,-0.0027434803,-0.0028812855,-0.00013780518,-0.665049135684967,0.5144503712654114,0.9691418409347534,0.6225624084472656,False
22,rh_precentral_smooth3mm,-0.019860959,-0.020092621,-0.00023166825,-1.0723766088485718,0.2977187931537628,0.9691418409347534,0.37359619140625,False
23,rh_superiorfrontal_smooth3mm,-0.0050781923,-0.0050624507,1.5741765e-05,0.05212320759892464,0.9590046405792236,0.9691418409347534,1.0,False
