target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,TRAIN_SEED,42,lh_Ca,0.0006077464,0.2364690133503505,False,13,19,neither
vim,TRAIN_SEED,42,lh_GPe,0.00060066464,0.2706001509319652,False,12,19,neither
vim,TRAIN_SEED,42,lh_GPi,-0.00051389495,0.3378406487978422,False,16,19,consistency_threshold
vim,TRAIN_SEED,42,lh_Pu,4.2074e-05,0.9119680446127186,False,12,19,neither
vim,TRAIN_SEED,42,lh_STH,-4.1323812e-05,0.9119680446127186,False,12,19,neither
vim,TRAIN_SEED,42,lh_cerebellum_dentate,0.0005754352,0.1688895151019096,False,13,19,neither
vim,TRAIN_SEED,42,lh_cerebellum_motor,-0.00014838587,0.7149524688720703,False,11,19,neither
vim,TRAIN_SEED,42,lh_paracentral_smooth3mm,-0.00042041362,0.3378406487978422,False,13,19,neither
vim,TRAIN_SEED,42,lh_postcentral_smooth3mm,-0.00016348143,0.4825766086578369,False,12,19,neither
vim,TRAIN_SEED,42,lh_precentral_smooth3mm,-0.0001731914,0.7149524688720703,False,12,19,neither
vim,TRAIN_SEED,42,lh_superiorfrontal_smooth3mm,-0.00035818387,0.2706001509319652,False,13,19,neither
vim,TRAIN_SEED,42,lh_vim,4.810634e-05,0.9119680446127186,False,12,19,neither
vim,TRAIN_SEED,42,lh_zi,-0.00049871404,0.1485368348658085,False,14,19,neither
vim,TRAIN_SEED,42,rh_Ca,6.727982e-05,0.9119680446127186,False,12,19,neither
vim,TRAIN_SEED,42,rh_GPe,0.00019974007,0.4417486871991838,False,14,19,neither
vim,TRAIN_SEED,42,rh_GPi,0.0013047233,0.0297089209780097,True,13,19,fdr_significant
vim,TRAIN_SEED,42,rh_Pu,0.00045369437,0.1688895151019096,False,11,19,neither
vim,TRAIN_SEED,42,rh_STH,0.00063964195,0.2364690133503505,False,11,19,neither
vim,TRAIN_SEED,42,rh_cerebellum_dentate,-0.00011219555,0.8847873838324296,False,11,19,neither
vim,TRAIN_SEED,42,rh_cerebellum_motor,-0.00033198926,0.2706001509319652,False,12,19,neither
vim,TRAIN_SEED,42,rh_paracentral_smooth3mm,-0.00065335556,0.2364690133503505,False,11,19,neither
vim,TRAIN_SEED,42,rh_postcentral_smooth3mm,-0.00021814545,0.5516034364700317,False,11,19,neither
vim,TRAIN_SEED,42,rh_precentral_smooth3mm,-0.0003298898,0.2706001509319652,False,15,19,consistency_threshold
