epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2927.549563,3251.262970,1.288462,0.203450,0.701931,285.910980,316.159721,1.231149,0.211671,0.687097,1.00e-04
2,1.000,1.000,1571.012486,1744.031413,1.246085,0.214945,0.693226,227.411484,251.207336,1.171219,0.224797,0.684703,1.00e-04
3,1.000,1.000,1136.308945,1261.066715,1.192788,0.228894,0.694084,197.955936,218.532696,1.102846,0.239620,0.683022,1.00e-04
4,1.000,1.000,774.364220,858.946377,1.137944,0.243413,0.692703,177.614689,195.930817,1.089426,0.253657,0.681812,1.00e-04
5,1.000,1.000,476.702198,528.150618,1.184495,0.257005,0.692992,166.323326,183.322392,1.138401,0.267185,0.681554,1.00e-04
6,1.000,1.000,404.892405,448.295434,1.236084,0.271637,0.695770,152.948891,168.410728,1.172621,0.284087,0.681996,1.00e-04
7,1.000,1.000,346.467647,383.340522,1.256595,0.289900,0.693417,144.713093,159.189457,1.222987,0.303729,0.685478,1.00e-04
8,1.000,1.000,286.069706,316.196433,1.270580,0.310789,0.696942,136.323227,149.815845,1.250151,0.328154,0.684936,1.00e-04
9,1.000,1.000,269.695345,297.978180,1.269449,0.336576,0.695649,131.343874,144.243240,1.262487,0.355842,0.684669,1.00e-04
10,1.000,1.000,245.914039,271.526152,1.267786,0.366490,0.696628,128.436045,140.975899,1.265346,0.389457,0.684135,1.00e-04
11,1.000,1.000,216.468352,238.779643,1.263650,0.399889,0.694938,119.757975,131.303404,1.264589,0.420462,0.683753,1.00e-04
12,1.000,1.000,213.901335,235.896755,1.261608,0.432488,0.695734,115.765766,126.826181,1.267539,0.458963,0.683575,1.00e-04
13,1.000,1.000,198.110068,218.309216,1.263338,0.472633,0.694059,111.943110,122.536007,1.269891,0.499394,0.683455,1.00e-04
14,1.000,1.000,195.882993,215.793039,1.263564,0.513915,0.695303,105.925175,115.805239,1.270556,0.542834,0.684136,1.00e-04
15,1.000,1.000,187.164636,206.063220,1.263877,0.556408,0.694835,102.567570,112.036579,1.269344,0.581930,0.685066,1.00e-04
16,1.000,1.000,170.221388,187.196050,1.262620,0.598737,0.697254,98.944464,107.961388,1.268307,0.632629,0.683742,1.00e-04
17,1.000,1.000,161.173397,177.096116,1.260428,0.648066,0.692516,95.454256,104.040762,1.266567,0.676966,0.683910,1.00e-04
18,1.000,1.000,159.487233,175.180627,1.256950,0.693478,0.692885,91.728783,99.854301,1.266195,0.724346,0.684267,1.00e-04
19,1.000,1.000,150.483869,165.127828,1.260556,0.738798,0.694103,89.937407,97.819748,1.266921,0.767683,0.684934,1.00e-04
20,1.000,1.000,147.614588,161.893411,1.261348,0.784342,0.694006,86.734903,94.210609,1.269588,0.815854,0.684572,1.00e-04
21,1.000,1.000,142.013559,155.623271,1.262020,0.830423,0.694215,84.726530,91.936287,1.271210,0.857005,0.684835,1.00e-04
22,1.000,1.000,137.530524,150.599016,1.263147,0.872708,0.691463,82.048798,88.915386,1.272817,0.901021,0.684987,1.00e-04
23,1.000,1.000,136.727417,149.664498,1.263543,0.914271,0.693416,80.546942,87.201040,1.275571,0.943845,0.685310,1.00e-04
24,1.000,1.000,128.216021,140.161283,1.266664,0.957438,0.691786,77.464874,83.732887,1.276947,0.986073,0.685593,1.00e-04
25,1.000,1.000,126.321724,138.013229,1.269329,0.998079,0.691520,75.962322,82.023750,1.279267,1.023380,0.685642,1.00e-04
26,1.000,1.000,120.703380,131.730388,1.270865,1.036617,0.693009,73.780569,79.556810,1.281241,1.064153,0.685827,1.00e-04
27,1.000,1.000,120.668146,131.649106,1.273766,1.075742,0.693976,72.657467,78.270830,1.283106,1.100354,0.686099,1.00e-04
28,1.000,1.000,120.221712,131.115957,1.273739,1.112807,0.694647,71.068882,76.464251,1.285345,1.139592,0.686134,1.00e-04
29,1.000,1.000,115.033980,125.311747,1.276813,1.149937,0.693369,69.578382,74.774441,1.287272,1.171371,0.686090,1.00e-04
30,1.000,1.000,112.316639,122.257886,1.278714,1.182882,0.691079,67.594910,72.531359,1.292060,1.205782,0.686315,1.00e-04
31,1.000,1.000,109.091777,118.636984,1.283611,1.215396,0.693869,66.470343,71.250898,1.296337,1.232405,0.686679,1.00e-04
32,1.000,1.000,106.266983,115.469989,1.286533,1.240936,0.692723,65.474941,70.111193,1.298315,1.264169,0.686347,1.00e-04
33,1.000,1.000,104.126477,113.057103,1.289498,1.272626,0.691762,64.329290,68.810431,1.298874,1.291432,0.686302,1.00e-04
34,1.000,1.000,103.882003,112.759501,1.289881,1.298410,0.689949,62.997474,67.306608,1.299253,1.315046,0.686597,1.00e-04
35,1.000,1.000,100.381984,108.845166,1.290232,1.323258,0.691974,62.288976,66.491718,1.300930,1.341038,0.686588,1.00e-04
36,1.000,1.000,97.729408,105.871661,1.292597,1.347077,0.692101,62.045619,66.198298,1.303175,1.361786,0.686887,1.00e-04
37,1.000,1.000,100.216073,108.611907,1.294765,1.367562,0.692653,60.159691,64.078100,1.305743,1.383987,0.686436,1.00e-04
38,1.000,1.000,93.584697,101.218619,1.297933,1.389692,0.690801,60.080724,63.971498,1.308053,1.400536,0.686455,1.00e-04
39,1.000,1.000,93.676423,101.302069,1.300397,1.405487,0.692682,59.235352,63.005836,1.311702,1.423240,0.686518,1.00e-04
40,1.000,1.000,93.614200,101.207701,1.303200,1.428036,0.691589,57.282044,60.812866,1.314111,1.443451,0.686597,1.00e-04
41,1.000,1.000,88.954371,96.007528,1.306668,1.447209,0.691091,57.234336,60.741216,1.315283,1.460892,0.686862,1.00e-04
42,1.000,1.000,88.698823,95.704740,1.307326,1.465302,0.691951,56.447408,59.847998,1.316723,1.478345,0.686512,1.00e-04
43,1.000,1.000,89.794269,96.904894,1.308671,1.481035,0.691313,55.864490,59.181588,1.318178,1.495601,0.686608,1.00e-04
44,1.000,1.000,85.084016,91.649705,1.311401,1.499756,0.692419,55.021411,58.223392,1.321465,1.513689,0.687219,1.00e-04
45,1.000,1.000,83.428221,89.792040,1.313159,1.515850,0.692780,53.728496,56.771392,1.325233,1.525415,0.686633,1.00e-04
46,1.000,1.000,84.071038,90.489547,1.317725,1.528167,0.691458,53.153952,56.112123,1.328312,1.543178,0.687000,1.00e-04
47,1.000,1.000,83.826737,90.197351,1.321071,1.545630,0.690921,52.782488,55.684197,1.330797,1.555882,0.687005,1.00e-04
48,1.000,1.000,80.042219,85.977905,1.322472,1.558629,0.691156,52.162479,54.979066,1.333245,1.569660,0.687073,1.00e-04
49,1.000,1.000,80.216771,86.155376,1.325820,1.571628,0.692309,51.599444,54.338278,1.335098,1.583050,0.686627,1.00e-04
50,1.000,1.000,78.400845,84.122127,1.327805,1.585219,0.692115,51.523864,54.240230,1.337830,1.594373,0.686754,1.00e-04
51,1.000,1.000,76.749548,82.275811,1.329732,1.594901,0.691491,50.448057,53.033200,1.341055,1.602830,0.686819,1.00e-04
52,1.000,1.000,77.649988,83.262061,1.333691,1.605095,0.692304,49.719934,52.207833,1.344366,1.615892,0.686552,1.00e-04
53,1.000,1.000,73.791800,78.961467,1.337056,1.615725,0.689794,49.419019,51.860378,1.347400,1.625950,0.686654,1.00e-04
54,1.000,1.000,73.368347,78.476043,1.340777,1.626853,0.690433,48.839971,51.204231,1.351224,1.634869,0.686797,1.00e-04
55,1.000,1.000,72.110867,77.065289,1.345629,1.635538,0.690560,47.863158,50.107361,1.354167,1.643466,0.686649,1.00e-04
56,1.000,1.000,71.931128,76.856028,1.345269,1.645468,0.690419,48.054368,50.306540,1.356540,1.654359,0.686745,1.00e-04
57,1.000,1.000,71.191360,76.020937,1.349371,1.654406,0.691185,46.749804,48.849566,1.358777,1.659607,0.686508,1.00e-04
58,1.000,1.000,68.919047,73.487298,1.352999,1.659697,0.690544,46.938265,49.047752,1.360798,1.668779,0.686685,1.00e-04
59,1.000,1.000,67.513021,71.914274,1.354410,1.669147,0.689757,46.581756,48.640584,1.362723,1.677871,0.686973,1.00e-04
60,1.000,1.000,68.692073,73.214169,1.355320,1.678376,0.689955,45.931403,47.908578,1.365246,1.684764,0.686783,1.00e-04
61,1.000,1.000,67.475356,71.854048,1.358175,1.683662,0.690619,45.467157,47.382833,1.368913,1.691007,0.686791,1.00e-04
62,1.000,1.000,66.115774,70.330645,1.362205,1.692392,0.690581,45.234582,47.112229,1.372128,1.699959,0.687001,1.00e-04
63,1.000,1.000,65.629109,69.780424,1.364962,1.699161,0.690172,44.548180,46.340929,1.374396,1.706315,0.687044,1.00e-04
64,1.000,1.000,64.584333,68.611265,1.366919,1.705517,0.690031,44.217535,45.966789,1.376801,1.710670,0.687023,1.00e-04
65,1.000,1.000,62.457028,66.238373,1.370327,1.711240,0.690840,43.647708,45.325217,1.378828,1.717081,0.686942,1.00e-04
66,1.000,1.000,62.727676,66.532060,1.371840,1.716865,0.689900,43.617500,45.282228,1.380863,1.724440,0.687222,1.00e-04
67,1.000,1.000,61.427806,65.078213,1.374343,1.723799,0.690878,43.110698,44.711840,1.383536,1.728991,0.687715,1.00e-04
68,1.000,1.000,61.670047,65.339762,1.376925,1.728810,0.691013,43.101136,44.692514,1.385521,1.735769,0.687118,1.00e-04
69,1.000,1.000,60.071775,63.556764,1.377933,1.734933,0.691093,42.618223,44.150816,1.387571,1.738842,0.687183,1.00e-04
70,1.000,1.000,59.935798,63.400844,1.380081,1.737762,0.689818,41.827190,43.266805,1.390313,1.741200,0.687045,1.00e-04
71,1.000,1.000,59.335533,62.727714,1.383759,1.740169,0.690561,41.731099,43.153025,1.393061,1.745431,0.687326,1.00e-04
72,1.000,1.000,59.235634,62.610605,1.385424,1.744645,0.690282,41.643748,43.048456,1.395912,1.750105,0.687235,1.00e-04
73,1.000,1.000,58.641059,61.941710,1.388993,1.749190,0.691572,41.158182,42.504036,1.398581,1.752367,0.686985,1.00e-04
74,1.000,1.000,57.576734,60.752929,1.392134,1.752283,0.691244,40.904883,42.213933,1.401276,1.758407,0.686285,1.00e-04
75,1.000,1.000,56.777574,59.859494,1.393686,1.756327,0.690198,40.622681,41.896663,1.404235,1.759096,0.686856,1.00e-04
76,1.000,1.000,56.305773,59.327697,1.398255,1.759255,0.690897,39.912898,41.099435,1.406998,1.764999,0.686098,1.00e-04
77,1.000,1.000,55.527889,58.458276,1.399279,1.763389,0.690417,40.099969,41.303001,1.408967,1.767329,0.686031,1.00e-04
78,1.000,1.000,55.892201,58.857373,1.402161,1.766120,0.691130,39.522655,40.657340,1.410360,1.770153,0.685893,1.00e-04
79,1.000,1.000,52.982547,55.619311,1.403734,1.769707,0.690707,39.647889,40.789620,1.413022,1.774355,0.685915,1.00e-04
80,1.000,1.000,53.785354,56.506007,1.406199,1.772627,0.690048,38.600901,39.621404,1.415685,1.776574,0.686056,1.00e-04
81,1.000,1.000,52.559079,55.138831,1.408421,1.775039,0.690191,38.348768,39.337620,1.417865,1.777977,0.686550,1.00e-04
82,1.000,1.000,53.632220,56.326783,1.410575,1.777327,0.690050,38.393214,39.380088,1.420856,1.781924,0.686345,1.00e-04
83,1.000,1.000,50.837575,53.214469,1.414100,1.781063,0.689064,37.922626,38.852956,1.423307,1.783746,0.686200,1.00e-04
84,1.000,1.000,50.909587,53.291379,1.415706,1.782377,0.690722,37.835457,38.750626,1.425920,1.786601,0.686277,1.00e-04
85,1.000,1.000,50.615115,52.957414,1.419511,1.785433,0.689940,37.747394,38.647284,1.428379,1.789630,0.686307,1.00e-04
86,1.000,1.000,51.370153,53.791574,1.421382,1.788245,0.690729,37.432128,38.292981,1.430494,1.791528,0.686266,1.00e-04
87,1.000,1.000,49.062909,51.223964,1.423262,1.790469,0.689844,37.272071,38.110103,1.432811,1.794277,0.686004,1.00e-04
88,1.000,1.000,49.131618,51.295636,1.425639,1.792881,0.688783,37.010796,37.815823,1.435103,1.795960,0.686013,1.00e-04
89,1.000,1.000,48.973367,51.116017,1.427082,1.795101,0.689891,36.567945,37.319506,1.437183,1.798155,0.685878,1.00e-04
90,1.000,1.000,48.819646,50.939375,1.431064,1.796925,0.690200,36.488553,37.227407,1.439008,1.800202,0.685996,1.00e-04
91,1.000,1.000,47.353508,49.308701,1.430948,1.798654,0.690359,36.328017,37.045056,1.441982,1.801222,0.685842,1.00e-04
92,1.000,1.000,47.126984,49.050337,1.436257,1.800007,0.690441,36.113296,36.800691,1.444840,1.804139,0.685944,1.00e-04
93,1.000,1.000,47.181190,49.105122,1.438998,1.802858,0.689106,36.073990,36.752624,1.447615,1.805764,0.685894,1.00e-04
94,1.000,1.000,47.160214,49.077995,1.440372,1.805199,0.690054,35.612606,36.234447,1.450195,1.808697,0.685989,1.00e-04
95,1.000,1.000,47.286326,49.212323,1.444640,1.806746,0.689889,35.186181,35.755786,1.452413,1.811399,0.685429,1.00e-04
96,1.000,1.000,47.107796,49.009391,1.445132,1.810914,0.689033,35.113774,35.671082,1.454357,1.813704,0.685468,1.00e-04
97,1.000,1.000,46.548006,48.383189,1.448065,1.812023,0.690569,34.778316,35.295153,1.456895,1.814345,0.685641,1.00e-04
98,1.000,1.000,45.817990,47.569073,1.450032,1.812935,0.691545,34.838646,35.357974,1.459295,1.816224,0.685050,1.00e-04
99,1.000,1.000,44.863978,46.504324,1.453247,1.814635,0.689932,34.516021,34.994714,1.462028,1.818267,0.685121,1.00e-04
100,1.000,1.000,45.034633,46.690233,1.454732,1.816844,0.690058,34.502339,34.976891,1.464731,1.818212,0.684896,1.00e-04
101,1.000,1.000,44.423367,46.007132,1.458532,1.816934,0.690303,34.120512,34.548728,1.467034,1.819837,0.684737,1.00e-04
102,1.000,1.000,43.689338,45.189690,1.460261,1.817162,0.689369,34.034430,34.451507,1.469290,1.819126,0.685002,1.00e-04
103,1.000,1.000,44.009075,45.542088,1.462250,1.818019,0.689551,33.976945,34.384219,1.471337,1.820518,0.684800,1.00e-04
104,1.000,1.000,42.828939,44.228707,1.463976,1.818559,0.688218,33.568933,33.928769,1.472918,1.821035,0.684828,1.00e-04
105,1.000,1.000,42.693047,44.074884,1.464839,1.820143,0.691687,33.664457,34.030787,1.474636,1.823467,0.684584,1.00e-04
