epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2926.397503,3251.266036,0.005369,0.203450,0.701931,284.813774,316.166611,0.005130,0.211671,0.687097,1.00e-04
2,1.000,1.000,1569.910274,1744.047625,0.005192,0.214945,0.693226,226.368816,251.215153,0.004880,0.224797,0.684703,1.00e-04
3,1.000,1.000,1135.285188,1261.117029,0.004970,0.228893,0.694084,196.967777,218.532986,0.004595,0.239620,0.683022,1.00e-04
4,1.000,1.000,773.361034,858.964944,0.004742,0.243413,0.692703,176.640339,195.933094,0.004539,0.253657,0.681812,1.00e-04
5,1.000,1.000,475.698717,528.215206,0.004935,0.257004,0.692990,165.312134,183.332500,0.004743,0.267179,0.681553,1.00e-04
6,1.000,1.000,403.834314,448.350714,0.005150,0.271629,0.695769,151.904385,168.417912,0.004886,0.284074,0.681996,1.00e-04
7,1.000,1.000,345.384070,383.387919,0.005236,0.289885,0.693417,143.618309,159.190937,0.005096,0.303712,0.685476,1.00e-04
8,1.000,1.000,284.955026,316.223201,0.005294,0.310771,0.696941,135.209705,149.823563,0.005209,0.328135,0.684936,1.00e-04
9,1.000,1.000,268.582635,298.006016,0.005290,0.336557,0.695649,130.218769,144.250374,0.005261,0.355822,0.684671,1.00e-04
10,1.000,1.000,244.796050,271.546462,0.005283,0.366469,0.696629,127.311476,140.986473,0.005273,0.389437,0.684137,1.00e-04
11,1.000,1.000,215.351492,238.797091,0.005266,0.399870,0.694940,118.634161,131.314053,0.005270,0.420444,0.683753,1.00e-04
12,1.000,1.000,212.780632,235.907899,0.005257,0.432471,0.695734,114.637613,126.834948,0.005282,0.458944,0.683576,1.00e-04
13,1.000,1.000,196.990874,218.323759,0.005265,0.472613,0.694061,110.814768,122.546909,0.005292,0.499375,0.683455,1.00e-04
14,1.000,1.000,194.766623,215.810944,0.005266,0.513898,0.695304,104.794762,115.814497,0.005295,0.542819,0.684136,1.00e-04
15,1.000,1.000,186.042675,206.075224,0.005267,0.556393,0.694836,101.436693,112.044117,0.005290,0.581916,0.685066,1.00e-04
16,1.000,1.000,169.097897,187.205105,0.005262,0.598718,0.697254,97.814901,107.969366,0.005286,0.632603,0.683741,1.00e-04
17,1.000,1.000,160.052150,177.105489,0.005253,0.648037,0.692516,94.327236,104.049835,0.005279,0.676936,0.683908,1.00e-04
18,1.000,1.000,158.368374,175.189193,0.005239,0.693445,0.692886,90.602388,99.863708,0.005278,0.724308,0.684265,1.00e-04
19,1.000,1.000,149.359828,165.134238,0.005254,0.738755,0.694104,88.809305,97.827980,0.005281,0.767642,0.684931,1.00e-04
20,1.000,1.000,146.487697,161.897441,0.005258,0.784299,0.694005,85.605652,94.220226,0.005292,0.815813,0.684568,1.00e-04
21,1.000,1.000,140.886957,155.628297,0.005261,0.830376,0.694214,83.595268,91.945293,0.005299,0.856951,0.684829,1.00e-04
22,1.000,1.000,136.406836,150.608411,0.005266,0.872649,0.691462,80.914003,88.922068,0.005306,0.900966,0.684980,1.00e-04
23,1.000,1.000,135.597737,149.667631,0.005267,0.914213,0.693414,79.414017,87.212551,0.005318,0.943789,0.685304,1.00e-04
24,1.000,1.000,127.085555,140.166656,0.005281,0.957374,0.691785,76.328865,83.742350,0.005324,0.986000,0.685588,1.00e-04
