epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1704.350121,1893.440909,0.000000,0.203918,0.698020,181.423805,201.292255,0.000000,0.213347,0.687657,1.00e-04
2,1.000,1.000,508.787656,565.025601,0.000000,0.216770,0.695313,110.250483,122.196917,0.000000,0.227529,0.684825,1.00e-04
3,1.000,1.000,236.535078,262.506534,0.000000,0.232908,0.695888,73.030899,80.823326,0.000000,0.246363,0.681845,1.00e-04
4,1.000,1.000,146.054543,161.954714,0.000000,0.251157,0.692633,68.247119,75.490900,0.000000,0.263533,0.681306,1.00e-04
5,1.000,1.000,109.134067,120.913496,0.000000,0.269560,0.693199,59.285413,65.512382,0.000000,0.284517,0.682056,1.00e-04
6,1.000,1.000,86.685380,95.947818,0.000000,0.291960,0.695826,55.385211,61.154930,0.000000,0.307968,0.686053,1.00e-04
7,1.000,1.000,76.970243,85.128427,0.000000,0.316582,0.697360,53.249941,58.755738,0.000000,0.334708,0.685390,1.00e-04
8,1.000,1.000,68.077051,75.219091,0.000000,0.344669,0.696684,50.291864,55.439631,0.000000,0.364173,0.684418,1.00e-04
9,1.000,1.000,63.541358,70.149320,0.000000,0.374838,0.696189,50.618683,55.771671,0.000000,0.395294,0.684157,1.00e-04
10,1.000,1.000,59.565250,65.699609,0.000000,0.406853,0.694352,49.938925,54.982559,0.000000,0.429169,0.683710,1.00e-04
11,1.000,1.000,58.090187,64.025563,0.000000,0.442011,0.693711,49.315956,54.253127,0.000000,0.466437,0.683498,1.00e-04
12,1.000,1.000,56.085219,61.759069,0.000000,0.480573,0.695437,48.961904,53.821558,0.000000,0.504556,0.684023,1.00e-04
13,1.000,1.000,54.636788,60.111973,0.000000,0.518288,0.695548,47.975910,52.685994,0.000000,0.544628,0.683502,1.00e-04
14,1.000,1.000,52.807259,58.037400,0.000000,0.560420,0.692217,48.542375,53.273617,0.000000,0.586355,0.684011,1.00e-04
15,1.000,1.000,52.418030,57.562873,0.000000,0.602347,0.693330,47.554731,52.131365,0.000000,0.631268,0.683637,1.00e-04
16,1.000,1.000,51.009132,55.951453,0.000000,0.648263,0.693888,47.223162,51.715903,0.000000,0.678271,0.684067,1.00e-04
17,1.000,1.000,50.097314,54.890662,0.000000,0.696019,0.693017,47.452299,51.922387,0.000000,0.726364,0.684249,1.00e-04
18,1.000,1.000,49.239359,53.889846,0.000000,0.743748,0.691262,46.128220,50.403941,0.000000,0.773615,0.684210,1.00e-04
19,1.000,1.000,48.294537,52.791569,0.000000,0.792155,0.691869,46.765297,51.059429,0.000000,0.825975,0.684347,1.00e-04
20,1.000,1.000,47.426035,51.773956,0.000000,0.844516,0.694115,45.654582,49.774814,0.000000,0.876450,0.684459,1.00e-04
21,1.000,1.000,46.535236,50.732981,0.000000,0.895920,0.692258,45.262916,49.286235,0.000000,0.929833,0.684560,1.00e-04
22,1.000,1.000,45.753292,49.810135,0.000000,0.950007,0.691654,44.937808,48.871008,0.000000,0.983814,0.684707,1.00e-04
23,1.000,1.000,44.936349,48.849219,0.000000,1.003243,0.691347,44.385836,48.204341,0.000000,1.037154,0.684903,1.00e-04
