epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,3325.416358,3500.193493,0.005384,0.202448,0.702726,346.892242,364.898827,0.005190,0.209524,0.687664,1.00e-04
2,1.000,1.000,1852.140249,1949.368110,0.005249,0.211371,0.695480,246.324757,259.028526,0.004930,0.219700,0.685240,1.00e-04
3,1.000,1.000,1375.785620,1447.931726,0.005079,0.222041,0.694677,226.396904,238.040726,0.004766,0.231054,0.683730,1.00e-04
4,1.000,1.000,1109.072958,1167.170334,0.004832,0.233568,0.693468,207.424965,218.058605,0.004556,0.242991,0.682394,1.00e-04
5,1.000,1.000,675.987163,711.278976,0.004771,0.245216,0.693196,188.238373,197.851116,0.004577,0.254095,0.681581,1.00e-04
6,1.000,1.000,525.966721,553.351360,0.004952,0.256281,0.695213,175.962692,184.918026,0.004732,0.265264,0.681594,1.00e-04
7,1.000,1.000,453.732064,477.303473,0.005110,0.267673,0.692654,165.690727,174.093403,0.004848,0.277148,0.681825,1.00e-04
8,1.000,1.000,360.741952,379.406201,0.005225,0.280456,0.693359,155.354877,163.197628,0.005066,0.292793,0.683258,1.00e-04
9,1.000,1.000,335.994133,353.339095,0.005270,0.297056,0.695705,145.389397,152.689663,0.005200,0.310561,0.685026,1.00e-04
10,1.000,1.000,303.299008,318.904464,0.005286,0.315666,0.697289,145.485874,152.770542,0.005266,0.331102,0.686193,1.00e-04
11,1.000,1.000,260.530163,273.863169,0.005284,0.337133,0.697222,137.961617,144.828484,0.005279,0.352995,0.684057,1.00e-04
12,1.000,1.000,259.875108,273.151814,0.005271,0.358965,0.697309,133.568190,140.181107,0.005284,0.375735,0.683486,1.00e-04
13,1.000,1.000,238.026730,250.129373,0.005271,0.383257,0.694562,129.314283,135.675579,0.005290,0.403402,0.684386,1.00e-04
14,1.000,1.000,235.791145,247.747803,0.005267,0.411431,0.697367,124.380156,130.453289,0.005296,0.431924,0.683519,1.00e-04
15,1.000,1.000,226.616194,238.061179,0.005273,0.440328,0.695095,119.991608,125.804941,0.005298,0.460708,0.684266,1.00e-04
16,1.000,1.000,203.693750,213.902339,0.005272,0.470249,0.695751,115.726288,121.281626,0.005296,0.494211,0.684276,1.00e-04
17,1.000,1.000,194.645577,204.343959,0.005263,0.504347,0.693793,112.574224,117.929056,0.005288,0.528851,0.683759,1.00e-04
18,1.000,1.000,191.685490,201.192733,0.005247,0.539713,0.693719,107.940346,113.016211,0.005280,0.563937,0.683768,1.00e-04
19,1.000,1.000,180.944992,189.853339,0.005255,0.573298,0.693958,106.534771,111.504198,0.005274,0.596375,0.684319,1.00e-04
20,1.000,1.000,178.139204,186.866251,0.005248,0.606908,0.694379,102.217054,106.922527,0.005274,0.633090,0.684179,1.00e-04
21,1.000,1.000,170.134989,178.403841,0.005242,0.643833,0.694351,100.603209,105.189751,0.005276,0.667060,0.684610,1.00e-04
22,1.000,1.000,165.476615,173.466024,0.005244,0.678202,0.692433,96.099661,100.411495,0.005281,0.704736,0.684540,1.00e-04
23,1.000,1.000,164.205112,172.091368,0.005242,0.714359,0.693870,94.548975,98.744106,0.005291,0.739803,0.684755,1.00e-04
24,1.000,1.000,154.422343,161.757460,0.005255,0.750672,0.692542,92.257423,96.294165,0.005297,0.777523,0.685798,1.00e-04
25,1.000,1.000,152.470906,159.664944,0.005265,0.789040,0.692425,89.154385,92.988592,0.005303,0.816764,0.685191,1.00e-04
26,1.000,1.000,144.607277,151.349037,0.005266,0.827380,0.693573,87.562927,91.278357,0.005307,0.851779,0.685149,1.00e-04
27,1.000,1.000,145.159951,151.896719,0.005274,0.861400,0.694619,85.579176,89.154064,0.005309,0.887886,0.685622,1.00e-04
28,1.000,1.000,143.963246,150.598968,0.005268,0.899439,0.695115,83.971130,87.421965,0.005314,0.927301,0.685698,1.00e-04
29,1.000,1.000,138.746707,145.070245,0.005277,0.937125,0.693898,82.190804,85.517460,0.005320,0.957768,0.685668,1.00e-04
30,1.000,1.000,134.670571,140.750125,0.005281,0.966700,0.691428,79.849245,83.021868,0.005336,0.988538,0.685807,1.00e-04
31,1.000,1.000,130.832227,136.677515,0.005300,0.998807,0.693749,78.347225,81.406618,0.005355,1.022668,0.686394,1.00e-04
32,1.000,1.000,128.015300,133.679844,0.005312,1.031293,0.693517,77.052124,80.011742,0.005366,1.054280,0.686136,1.00e-04
33,1.000,1.000,125.422980,130.918231,0.005329,1.064212,0.691944,75.778017,78.636782,0.005371,1.088103,0.685554,1.00e-04
34,1.000,1.000,125.036492,130.479649,0.005332,1.096065,0.690010,74.239288,76.989935,0.005372,1.115205,0.686075,1.00e-04
35,1.000,1.000,121.261767,126.478446,0.005330,1.123802,0.691393,72.755495,75.394892,0.005372,1.148345,0.686409,1.00e-04
36,1.000,1.000,117.840498,122.844265,0.005333,1.156618,0.691912,72.371851,74.964039,0.005374,1.175354,0.686506,1.00e-04
37,1.000,1.000,120.968936,126.112932,0.005335,1.180985,0.692961,70.859684,73.349693,0.005378,1.197959,0.686091,1.00e-04
38,1.000,1.000,112.306589,116.969081,0.005343,1.206692,0.690588,69.625786,72.021515,0.005385,1.227296,0.685987,1.00e-04
39,1.000,1.000,112.589855,117.241262,0.005351,1.232540,0.693228,69.136826,71.484306,0.005399,1.249780,0.686320,1.00e-04
40,1.000,1.000,113.220368,117.881824,0.005362,1.255752,0.691586,67.175465,69.392365,0.005409,1.277122,0.686317,1.00e-04
41,1.000,1.000,107.327722,111.650808,0.005377,1.284002,0.690950,66.172245,68.312294,0.005414,1.301146,0.686661,1.00e-04
42,1.000,1.000,107.166380,111.459467,0.005378,1.305440,0.692213,65.921528,68.028345,0.005418,1.321190,0.686442,1.00e-04
