epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,741.427489,780.444857,0.005141,0.000000,0.000000,140.352444,147.734524,0.004887,0.000000,0.000000,1.00e-04
2,1.000,1.000,245.532975,258.450512,0.005255,0.000000,0.000000,107.631618,113.291180,0.005263,0.000000,0.000000,1.00e-04
3,1.000,1.000,171.975069,181.021119,0.005271,0.000000,0.000000,85.066019,89.537872,0.005305,0.000000,0.000000,1.00e-04
4,1.000,1.000,127.786324,134.506590,0.005331,0.000000,0.000000,72.707279,76.528566,0.005413,0.000000,0.000000,1.00e-04
5,1.000,1.000,111.952747,117.839595,0.005404,0.000000,0.000000,64.726520,68.127718,0.005459,0.000000,0.000000,1.00e-04
6,1.000,1.000,98.584880,103.768082,0.005478,0.000000,0.000000,59.665792,62.800518,0.005582,0.000000,0.000000,1.00e-04
7,1.000,1.000,90.249573,94.993954,0.005597,0.000000,0.000000,56.315782,59.274069,0.005702,0.000000,0.000000,1.00e-04
8,1.000,1.000,80.627284,84.865119,0.005708,0.000000,0.000000,54.232549,57.081119,0.005776,0.000000,0.000000,1.00e-04
9,1.000,1.000,76.860211,80.899697,0.005788,0.000000,0.000000,52.486030,55.242560,0.005893,0.000000,0.000000,1.00e-04
10,1.000,1.000,72.304276,76.103847,0.005919,0.000000,0.000000,51.298520,53.992424,0.006019,0.000000,0.000000,1.00e-04
11,1.000,1.000,68.564055,72.166648,0.006043,0.000000,0.000000,50.399190,53.045653,0.006126,0.000000,0.000000,1.00e-04
12,1.000,1.000,66.055616,69.526083,0.006146,0.000000,0.000000,49.648689,52.255532,0.006246,0.000000,0.000000,1.00e-04
13,1.000,1.000,61.624487,64.861604,0.006278,0.000000,0.000000,49.126214,51.705424,0.006380,0.000000,0.000000,1.00e-04
14,1.000,1.000,60.179942,63.340912,0.006397,0.000000,0.000000,48.713774,51.271164,0.006494,0.000000,0.000000,1.00e-04
15,1.000,1.000,58.231771,61.290088,0.006514,0.000000,0.000000,48.432330,50.974801,0.006600,0.000000,0.000000,1.00e-04
16,1.000,1.000,57.043397,60.039059,0.006623,0.000000,0.000000,48.193805,50.723609,0.006712,0.000000,0.000000,1.00e-04
17,1.000,1.000,56.380387,59.341033,0.006743,0.000000,0.000000,47.998750,50.518168,0.006832,0.000000,0.000000,1.00e-04
18,1.000,1.000,54.736326,57.610332,0.006854,0.000000,0.000000,47.844893,50.356107,0.006939,0.000000,0.000000,1.00e-04
19,1.000,1.000,53.736628,56.557911,0.006961,0.000000,0.000000,47.759999,50.266632,0.007052,0.000000,0.000000,1.00e-04
20,1.000,1.000,52.796017,55.567684,0.007071,0.000000,0.000000,47.682151,50.184589,0.007149,0.000000,0.000000,1.00e-04
21,1.000,1.000,52.310176,55.056173,0.007171,0.000000,0.000000,47.575573,50.072299,0.007252,0.000000,0.000000,1.00e-04
22,1.000,1.000,51.793345,54.512034,0.007277,0.000000,0.000000,47.554645,50.050160,0.007361,0.000000,0.000000,1.00e-04
23,1.000,1.000,51.155221,53.840218,0.007383,0.000000,0.000000,47.471995,49.963058,0.007464,0.000000,0.000000,1.00e-04
24,1.000,1.000,50.857612,53.526837,0.007491,0.000000,0.000000,47.471081,49.961993,0.007566,0.000000,0.000000,1.00e-04
25,1.000,1.000,50.359157,53.002053,0.007587,0.000000,0.000000,47.427755,49.916295,0.007659,0.000000,0.000000,1.00e-04
26,1.000,1.000,49.998443,52.622263,0.007677,0.000000,0.000000,47.401070,49.888115,0.007747,0.000000,0.000000,1.00e-04
27,1.000,1.000,49.897926,52.516368,0.007766,0.000000,0.000000,47.389752,49.876116,0.007834,0.000000,0.000000,1.00e-04
28,1.000,1.000,49.682348,52.289362,0.007847,0.000000,0.000000,47.365901,49.850927,0.007916,0.000000,0.000000,1.00e-04
29,1.000,1.000,49.282006,51.867865,0.007931,0.000000,0.000000,47.356269,49.840704,0.008002,0.000000,0.000000,1.00e-04
30,1.000,1.000,49.103704,51.680099,0.008012,0.000000,0.000000,47.341413,49.824991,0.008076,0.000000,0.000000,1.00e-04
31,1.000,1.000,48.862818,51.426456,0.008090,0.000000,0.000000,47.339203,49.822590,0.008152,0.000000,0.000000,1.00e-04
32,1.000,1.000,48.686367,51.240642,0.008166,0.000000,0.000000,47.336912,49.820110,0.008219,0.000000,0.000000,1.00e-04
33,1.000,1.000,48.687007,51.241257,0.008225,0.000000,0.000000,47.322364,49.804728,0.008288,0.000000,0.000000,1.00e-04
