epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,351.986725,370.215319,0.000000,0.260839,0.687625,63.340650,66.296105,0.000000,0.342043,0.688200,1.00e-04
2,1.000,1.000,73.692553,77.066129,0.000000,0.468362,0.695766,55.450453,57.695879,0.000000,0.636960,0.685114,1.00e-04
3,1.000,1.000,57.020322,59.145994,0.000000,0.838646,0.698311,50.244213,51.800267,0.000000,1.052407,0.683463,1.00e-04
4,1.000,1.000,50.406844,51.784292,0.000000,1.239011,0.694155,48.216353,49.321565,0.000000,1.396418,0.685444,1.00e-04
5,1.000,1.000,44.727582,45.555402,0.000000,1.489706,0.694608,43.217986,43.895058,0.000000,1.561467,0.685780,1.00e-04
6,1.000,1.000,40.993298,41.510206,0.000000,1.604184,0.692552,40.430050,40.878038,0.000000,1.643831,0.685448,1.00e-04
7,1.000,1.000,38.161130,38.468350,0.000000,1.664900,0.690871,38.340218,38.634053,0.000000,1.687958,0.686137,1.00e-04
8,1.000,1.000,36.095495,36.254379,0.000000,1.704362,0.693830,36.125181,36.270343,0.000000,1.720041,0.686334,1.00e-04
9,1.000,1.000,34.110661,34.141634,0.000000,1.727713,0.695636,34.507345,34.551538,0.000000,1.735886,0.685868,1.00e-04
10,1.000,1.000,32.477425,32.406197,0.000000,1.743814,0.698298,32.943847,32.889891,0.000000,1.751729,0.686170,1.00e-04
11,1.000,1.000,31.119899,30.966014,0.000000,1.755445,0.690259,32.526733,32.440465,0.000000,1.762120,0.685574,1.00e-04
12,1.000,1.000,29.902418,29.675697,0.000000,1.763961,0.694860,30.712243,30.524266,0.000000,1.768321,0.685708,1.00e-04
13,1.000,1.000,28.756658,28.466456,0.000000,1.767275,0.692291,29.603467,29.359209,0.000000,1.766252,0.685576,1.00e-04
14,1.000,1.000,27.713109,27.367042,0.000000,1.767986,0.696663,28.887467,28.596743,0.000000,1.775047,0.685345,1.00e-04
15,1.000,1.000,26.795173,26.393571,0.000000,1.775402,0.692983,28.014871,27.669054,0.000000,1.784248,0.684688,1.00e-04
16,1.000,1.000,25.933897,25.480075,0.000000,1.782051,0.697552,27.168889,26.778831,0.000000,1.783936,0.685202,1.00e-04
17,1.000,1.000,25.099638,24.603937,0.000000,1.779926,0.699359,26.149442,25.710084,0.000000,1.779591,0.685017,1.00e-04
18,1.000,1.000,24.269031,23.734237,0.000000,1.775642,0.692951,25.839815,25.387992,0.000000,1.775794,0.684346,1.00e-04
19,1.000,1.000,23.561324,22.988984,0.000000,1.775789,0.695789,24.796171,24.286123,0.000000,1.779117,0.683858,1.00e-04
20,1.000,1.000,22.831788,22.220735,0.000000,1.776204,0.693919,24.387143,23.858015,0.000000,1.776656,0.684108,1.00e-04
21,1.000,1.000,22.161052,21.522797,0.000000,1.767839,0.698976,23.663990,23.110218,0.000000,1.763235,0.684176,1.00e-04
22,1.000,1.000,21.526730,20.857424,0.000000,1.765932,0.690851,22.519506,21.905097,0.000000,1.763650,0.683949,1.00e-04
23,1.000,1.000,20.774413,20.072048,0.000000,1.759287,0.692907,22.319067,21.692862,0.000000,1.764900,0.683864,1.00e-04
24,1.000,1.000,20.207179,19.472799,0.000000,1.761366,0.694446,21.542358,20.876078,0.000000,1.764079,0.684199,1.00e-04
25,1.000,1.000,19.642073,18.879188,0.000000,1.760236,0.692424,20.981591,20.292698,0.000000,1.757217,0.683437,1.00e-04
26,1.000,1.000,19.255968,18.475402,0.000000,1.757531,0.693618,20.807938,20.108063,0.000000,1.759039,0.683849,1.00e-04
27,1.000,1.000,18.792075,17.982555,0.000000,1.762007,0.694825,20.225851,19.497042,0.000000,1.757322,0.684127,1.00e-04
28,1.000,1.000,18.215735,17.383777,0.000000,1.754094,0.695161,19.757733,19.001846,0.000000,1.759791,0.683554,1.00e-04
29,1.000,1.000,17.924283,17.079643,0.000000,1.751321,0.697354,19.285058,18.513975,0.000000,1.750085,0.684034,1.00e-04
30,1.000,1.000,17.421148,16.549862,0.000000,1.751623,0.694740,18.710857,17.908177,0.000000,1.751511,0.683090,1.00e-04
31,1.000,1.000,17.058509,16.162225,0.000000,1.757565,0.694179,18.410905,17.586366,0.000000,1.757557,0.683568,1.00e-04
32,1.000,1.000,16.664806,15.756060,0.000000,1.749446,0.691498,18.257304,17.430051,0.000000,1.752234,0.682664,1.00e-04
33,1.000,1.000,16.306927,15.382895,0.000000,1.745874,0.691951,18.005464,17.167626,0.000000,1.749603,0.681925,1.00e-04
34,1.000,1.000,15.951393,15.009005,0.000000,1.745611,0.690159,17.238675,16.367012,0.000000,1.743091,0.681555,1.00e-04
35,1.000,1.000,15.592493,14.640004,0.000000,1.736555,0.695250,16.884239,16.008956,0.000000,1.728054,0.681571,1.00e-04
36,1.000,1.000,15.275803,14.313280,0.000000,1.730112,0.691615,16.548229,15.657608,0.000000,1.725687,0.681956,1.00e-04
37,1.000,1.000,15.001566,14.020309,0.000000,1.734357,0.692667,16.413786,15.492251,0.000000,1.749527,0.681931,1.00e-04
38,1.000,1.000,14.685020,13.678492,0.000000,1.743047,0.691156,15.853734,14.912179,0.000000,1.740056,0.682214,1.00e-04
39,1.000,1.000,14.426859,13.416894,0.000000,1.732759,0.693770,15.558174,14.620157,0.000000,1.720961,0.682234,1.00e-04
40,1.000,1.000,14.118800,13.099326,0.000000,1.726232,0.690380,15.460608,14.489377,0.000000,1.749058,0.681896,1.00e-04
41,1.000,1.000,13.918447,12.884177,0.000000,1.730398,0.692027,15.525077,14.587950,0.000000,1.718298,0.682816,1.00e-04
42,1.000,1.000,13.690384,12.661387,0.000000,1.713137,0.691732,14.879966,13.919476,0.000000,1.707714,0.682705,1.00e-04
43,1.000,1.000,13.491023,12.442270,0.000000,1.722332,0.693023,14.721097,13.731194,0.000000,1.728761,0.682778,1.00e-04
44,1.000,1.000,13.152577,12.089967,0.000000,1.718362,0.693311,14.467123,13.468454,0.000000,1.724177,0.682471,1.00e-04
45,1.000,1.000,13.019229,11.952479,0.000000,1.715485,0.693272,14.225435,13.219839,0.000000,1.718362,0.682885,1.00e-04
46,1.000,1.000,12.734579,11.660234,0.000000,1.708019,0.694772,14.098956,13.099809,0.000000,1.705263,0.682740,1.00e-04
47,1.000,1.000,12.562403,11.481957,0.000000,1.705312,0.689967,13.803630,12.783732,0.000000,1.710482,0.682531,1.00e-04
