epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,658.916705,1312.657769,5.175635,0.000000,0.000000,89.392969,173.697582,5.088356,0.000000,0.000000,1.00e-04
2,1.000,1.000,627.702663,1250.288288,5.117035,0.000000,0.000000,88.357603,171.857960,4.857252,0.000000,0.000000,1.00e-04
3,1.000,1.000,581.458896,1157.958348,4.959447,0.000000,0.000000,85.194372,165.737442,4.651304,0.000000,0.000000,1.00e-04
4,1.000,1.000,393.175765,781.680548,4.670976,0.000000,0.000000,82.543728,160.651970,4.435488,0.000000,0.000000,1.00e-04
5,1.000,1.000,251.237738,497.865886,4.609590,0.000000,0.000000,81.014940,157.551735,4.478144,0.000000,0.000000,1.00e-04
6,1.000,1.000,208.138857,411.471778,4.805934,0.000000,0.000000,79.133869,153.657455,4.610283,0.000000,0.000000,1.00e-04
7,1.000,1.000,176.191278,347.426072,4.956481,0.000000,0.000000,76.858871,148.854134,4.863606,0.000000,0.000000,1.00e-04
8,1.000,1.000,148.046975,291.055807,5.038144,0.000000,0.000000,74.287603,143.586658,4.988547,0.000000,0.000000,1.00e-04
9,1.000,1.000,142.311077,279.552414,5.069738,0.000000,0.000000,71.796574,138.563427,5.029717,0.000000,0.000000,1.00e-04
10,1.000,1.000,127.349148,249.648160,5.050137,0.000000,0.000000,69.313164,133.582735,5.043596,0.000000,0.000000,1.00e-04
11,1.000,1.000,122.102845,239.162526,5.043164,0.000000,0.000000,66.638002,128.223467,5.052535,0.000000,0.000000,1.00e-04
12,1.000,1.000,117.220383,229.401742,5.039023,0.000000,0.000000,64.006093,122.962223,5.049965,0.000000,0.000000,1.00e-04
13,1.000,1.000,103.188832,201.349116,5.028547,0.000000,0.000000,61.419872,117.788712,5.051032,0.000000,0.000000,1.00e-04
14,1.000,1.000,103.206170,201.386126,5.026214,0.000000,0.000000,59.013795,112.966722,5.060867,0.000000,0.000000,1.00e-04
15,1.000,1.000,100.007043,194.980585,5.033500,0.000000,0.000000,56.815996,108.558216,5.073778,0.000000,0.000000,1.00e-04
16,1.000,1.000,94.126272,183.211205,5.041337,0.000000,0.000000,54.853630,104.629002,5.078260,0.000000,0.000000,1.00e-04
17,1.000,1.000,94.483407,183.924900,5.041915,0.000000,0.000000,53.097911,101.120796,5.075026,0.000000,0.000000,1.00e-04
18,1.000,1.000,88.325206,171.614053,5.036360,0.000000,0.000000,51.472303,97.878065,5.066542,0.000000,0.000000,1.00e-04
19,1.000,1.000,81.972702,158.924345,5.021059,0.000000,0.000000,49.988853,94.917303,5.060403,0.000000,0.000000,1.00e-04
20,1.000,1.000,79.765815,154.510128,5.021502,0.000000,0.000000,48.603958,92.149157,5.058758,0.000000,0.000000,1.00e-04
21,1.000,1.000,80.025112,155.029107,5.021117,0.000000,0.000000,47.302451,89.544582,5.060320,0.000000,0.000000,1.00e-04
22,1.000,1.000,78.408513,151.791200,5.025826,0.000000,0.000000,46.132177,87.197664,5.066691,0.000000,0.000000,1.00e-04
23,1.000,1.000,75.042907,145.058844,5.026970,0.000000,0.000000,45.063919,85.047667,5.080171,0.000000,0.000000,1.00e-04
24,1.000,1.000,72.780628,140.516597,5.044658,0.000000,0.000000,44.103392,83.107021,5.099762,0.000000,0.000000,1.00e-04
25,1.000,1.000,72.905767,140.738116,5.073417,0.000000,0.000000,43.192111,81.275099,5.109124,0.000000,0.000000,1.00e-04
26,1.000,1.000,68.929294,132.785192,5.073395,0.000000,0.000000,42.375308,79.634869,5.115748,0.000000,0.000000,1.00e-04
27,1.000,1.000,69.804919,134.525451,5.084386,0.000000,0.000000,41.618538,78.117870,5.119206,0.000000,0.000000,1.00e-04
28,1.000,1.000,69.105169,133.126565,5.083774,0.000000,0.000000,40.942613,76.765909,5.119314,0.000000,0.000000,1.00e-04
29,1.000,1.000,66.692851,128.298010,5.087691,0.000000,0.000000,40.309325,75.501225,5.117425,0.000000,0.000000,1.00e-04
30,1.000,1.000,64.944146,124.812485,5.075807,0.000000,0.000000,39.674296,74.223700,5.124894,0.000000,0.000000,1.00e-04
31,1.000,1.000,62.666840,120.244579,5.089102,0.000000,0.000000,39.092778,73.040230,5.145327,0.000000,0.000000,1.00e-04
32,1.000,1.000,62.368245,119.622470,5.114020,0.000000,0.000000,38.598386,72.036432,5.160340,0.000000,0.000000,1.00e-04
33,1.000,1.000,63.225959,121.330163,5.121755,0.000000,0.000000,38.092964,71.025419,5.160508,0.000000,0.000000,1.00e-04
34,1.000,1.000,63.351752,121.580638,5.122866,0.000000,0.000000,37.568033,69.980892,5.155173,0.000000,0.000000,1.00e-04
35,1.000,1.000,60.813668,116.510831,5.116507,0.000000,0.000000,37.128818,69.106012,5.151622,0.000000,0.000000,1.00e-04
36,1.000,1.000,59.753368,114.388902,5.117834,0.000000,0.000000,36.723512,68.289669,5.157355,0.000000,0.000000,1.00e-04
37,1.000,1.000,57.767625,110.413587,5.121663,0.000000,0.000000,36.320992,67.472643,5.169339,0.000000,0.000000,1.00e-04
38,1.000,1.000,59.071711,113.004368,5.139053,0.000000,0.000000,35.925025,66.660683,5.189367,0.000000,0.000000,1.00e-04
39,1.000,1.000,57.874417,110.590907,5.157926,0.000000,0.000000,35.539675,65.874123,5.205228,0.000000,0.000000,1.00e-04
40,1.000,1.000,55.638210,106.103800,5.172618,0.000000,0.000000,35.168983,65.119278,5.218688,0.000000,0.000000,1.00e-04
41,1.000,1.000,55.193640,105.204128,5.183153,0.000000,0.000000,34.826592,64.427096,5.226087,0.000000,0.000000,1.00e-04
42,1.000,1.000,54.823936,104.454821,5.193050,0.000000,0.000000,34.515309,63.799025,5.231593,0.000000,0.000000,1.00e-04
43,1.000,1.000,53.642719,102.080747,5.204690,0.000000,0.000000,34.239902,63.241582,5.238225,0.000000,0.000000,1.00e-04
44,1.000,1.000,52.811907,100.418397,5.205417,0.000000,0.000000,33.992148,62.736626,5.247672,0.000000,0.000000,1.00e-04
45,1.000,1.000,51.893698,98.573679,5.213718,0.000000,0.000000,33.732485,62.204772,5.260198,0.000000,0.000000,1.00e-04
46,1.000,1.000,54.467276,103.710558,5.223994,0.000000,0.000000,33.486270,61.704102,5.268439,0.000000,0.000000,1.00e-04
47,1.000,1.000,52.063901,98.897875,5.229927,0.000000,0.000000,33.265965,61.259727,5.272207,0.000000,0.000000,1.00e-04
48,1.000,1.000,50.872479,96.505688,5.239271,0.000000,0.000000,33.051830,60.829338,5.274323,0.000000,0.000000,1.00e-04
49,1.000,1.000,51.072449,96.902613,5.242286,0.000000,0.000000,32.848918,60.414618,5.283219,0.000000,0.000000,1.00e-04
50,1.000,1.000,49.438278,93.624245,5.252312,0.000000,0.000000,32.656507,60.017187,5.295828,0.000000,0.000000,1.00e-04
51,1.000,1.000,49.111165,92.956565,5.265766,0.000000,0.000000,32.471863,59.634650,5.309076,0.000000,0.000000,1.00e-04
52,1.000,1.000,48.882465,92.485129,5.279800,0.000000,0.000000,32.279238,59.242330,5.316147,0.000000,0.000000,1.00e-04
53,1.000,1.000,47.839176,90.393803,5.284549,0.000000,0.000000,32.101017,58.884104,5.317930,0.000000,0.000000,1.00e-04
54,1.000,1.000,47.184620,89.087732,5.281509,0.000000,0.000000,31.939343,58.554036,5.324652,0.000000,0.000000,1.00e-04
55,1.000,1.000,46.774439,88.261420,5.287459,0.000000,0.000000,31.771662,58.205115,5.338209,0.000000,0.000000,1.00e-04
56,1.000,1.000,46.258084,87.207360,5.308809,0.000000,0.000000,31.618495,57.887348,5.349642,0.000000,0.000000,1.00e-04
57,1.000,1.000,47.031396,88.737982,5.324810,0.000000,0.000000,31.449110,57.537505,5.360715,0.000000,0.000000,1.00e-04
58,1.000,1.000,45.055610,84.780687,5.330533,0.000000,0.000000,31.302019,57.235670,5.368366,0.000000,0.000000,1.00e-04
59,1.000,1.000,45.631030,85.926285,5.335774,0.000000,0.000000,31.181664,56.984303,5.379024,0.000000,0.000000,1.00e-04
60,1.000,1.000,44.513903,83.680040,5.347767,0.000000,0.000000,31.065294,56.742616,5.387972,0.000000,0.000000,1.00e-04
61,1.000,1.000,44.638811,83.925292,5.352329,0.000000,0.000000,30.953305,56.510987,5.395623,0.000000,0.000000,1.00e-04
62,1.000,1.000,44.040856,82.716376,5.365337,0.000000,0.000000,30.818845,56.234091,5.403601,0.000000,0.000000,1.00e-04
63,1.000,1.000,43.849289,82.326697,5.371880,0.000000,0.000000,30.700841,55.985738,5.415945,0.000000,0.000000,1.00e-04
64,1.000,1.000,43.770660,82.154027,5.387293,0.000000,0.000000,30.596940,55.765208,5.428672,0.000000,0.000000,1.00e-04
65,1.000,1.000,43.486471,81.569999,5.402942,0.000000,0.000000,30.492148,55.541998,5.442298,0.000000,0.000000,1.00e-04
66,1.000,1.000,42.836373,80.260050,5.412695,0.000000,0.000000,30.382603,55.313663,5.451543,0.000000,0.000000,1.00e-04
67,1.000,1.000,42.373926,79.326165,5.421686,0.000000,0.000000,30.278853,55.097060,5.460647,0.000000,0.000000,1.00e-04
68,1.000,1.000,41.058223,76.683265,5.433181,0.000000,0.000000,30.199537,54.926826,5.472248,0.000000,0.000000,1.00e-04
69,1.000,1.000,41.829872,78.216469,5.443276,0.000000,0.000000,30.132271,54.782174,5.482369,0.000000,0.000000,1.00e-04
70,1.000,1.000,41.470338,77.488566,5.452110,0.000000,0.000000,30.046581,54.604533,5.488630,0.000000,0.000000,1.00e-04
71,1.000,1.000,41.553229,77.648000,5.458458,0.000000,0.000000,29.947128,54.401544,5.492712,0.000000,0.000000,1.00e-04
72,1.000,1.000,41.211958,76.961297,5.462618,0.000000,0.000000,29.862089,54.225899,5.498279,0.000000,0.000000,1.00e-04
73,1.000,1.000,40.540475,75.614954,5.465996,0.000000,0.000000,29.792055,54.071505,5.512604,0.000000,0.000000,1.00e-04
74,1.000,1.000,40.986660,76.485673,5.487646,0.000000,0.000000,29.736240,53.945438,5.527042,0.000000,0.000000,1.00e-04
75,1.000,1.000,40.640167,75.782779,5.497555,0.000000,0.000000,29.690482,53.844558,5.536407,0.000000,0.000000,1.00e-04
76,1.000,1.000,40.148970,74.792054,5.505886,0.000000,0.000000,29.640346,53.735063,5.545629,0.000000,0.000000,1.00e-04
77,1.000,1.000,38.824100,72.133577,5.514623,0.000000,0.000000,29.575315,53.595914,5.554715,0.000000,0.000000,1.00e-04
78,1.000,1.000,39.878297,74.230075,5.526519,0.000000,0.000000,29.519739,53.472493,5.566984,0.000000,0.000000,1.00e-04
79,1.000,1.000,38.379300,71.220634,5.537967,0.000000,0.000000,29.477553,53.375404,5.579703,0.000000,0.000000,1.00e-04
80,1.000,1.000,38.998787,72.446253,5.551321,0.000000,0.000000,29.424506,53.255020,5.593992,0.000000,0.000000,1.00e-04
81,1.000,1.000,38.798997,72.033767,5.564227,0.000000,0.000000,29.358032,53.113417,5.602649,0.000000,0.000000,1.00e-04
82,1.000,1.000,38.504711,71.431118,5.578304,0.000000,0.000000,29.289624,52.971663,5.607585,0.000000,0.000000,1.00e-04
83,1.000,1.000,38.012486,70.446880,5.578093,0.000000,0.000000,29.244446,52.874806,5.614086,0.000000,0.000000,1.00e-04
84,1.000,1.000,37.987569,70.394238,5.580899,0.000000,0.000000,29.202117,52.778419,5.625815,0.000000,0.000000,1.00e-04
85,1.000,1.000,38.186433,70.780177,5.592689,0.000000,0.000000,29.163413,52.690180,5.636645,0.000000,0.000000,1.00e-04
86,1.000,1.000,37.577932,69.545318,5.610546,0.000000,0.000000,29.132784,52.617273,5.648296,0.000000,0.000000,1.00e-04
87,1.000,1.000,37.000397,68.378030,5.622762,0.000000,0.000000,29.108250,52.555202,5.661297,0.000000,0.000000,1.00e-04
88,1.000,1.000,37.368018,69.105195,5.630841,0.000000,0.000000,29.067956,52.466922,5.668990,0.000000,0.000000,1.00e-04
89,1.000,1.000,36.852493,68.061755,5.643231,0.000000,0.000000,29.019246,52.362075,5.676416,0.000000,0.000000,1.00e-04
90,1.000,1.000,36.985842,68.328373,5.643311,0.000000,0.000000,28.974792,52.266523,5.683062,0.000000,0.000000,1.00e-04
91,1.000,1.000,36.772036,67.888364,5.655708,0.000000,0.000000,28.931498,52.171774,5.691222,0.000000,0.000000,1.00e-04
92,1.000,1.000,36.397837,67.131883,5.663790,0.000000,0.000000,28.898336,52.093626,5.703048,0.000000,0.000000,1.00e-04
93,1.000,1.000,36.410084,67.147564,5.672604,0.000000,0.000000,28.865376,52.013059,5.717693,0.000000,0.000000,1.00e-04
94,1.000,1.000,36.152826,66.617105,5.688547,0.000000,0.000000,28.835394,51.938704,5.732085,0.000000,0.000000,1.00e-04
95,1.000,1.000,35.969690,66.237875,5.701505,0.000000,0.000000,28.807939,51.870472,5.745406,0.000000,0.000000,1.00e-04
96,1.000,1.000,35.685462,65.656808,5.714115,0.000000,0.000000,28.785464,51.813462,5.757464,0.000000,0.000000,1.00e-04
97,1.000,1.000,35.856359,65.982313,5.730404,0.000000,0.000000,28.757946,51.750093,5.765799,0.000000,0.000000,1.00e-04
98,1.000,1.000,35.459479,65.182643,5.736314,0.000000,0.000000,28.731958,51.690763,5.773153,0.000000,0.000000,1.00e-04
99,1.000,1.000,35.589675,65.437134,5.742215,0.000000,0.000000,28.702810,51.627231,5.778389,0.000000,0.000000,1.00e-04
