epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,947.662300,1893.443974,0.000000,1.182538,0.698064,101.415310,201.289597,0.000000,0.853364,0.687660,1.00e-04
2,1.000,1.000,283.454816,565.032592,0.000000,1.181721,0.695320,61.893348,122.191856,0.000000,0.910017,0.684825,1.00e-04
3,1.000,1.000,132.196282,262.506603,0.000000,1.190071,0.695887,41.241580,80.816109,0.000000,0.985211,0.681841,1.00e-04
4,1.000,1.000,81.920958,161.946328,0.000000,1.202957,0.692630,38.606619,75.478275,0.000000,1.053663,0.681301,1.00e-04
5,1.000,1.000,61.406046,120.903121,0.000000,1.215780,0.693191,33.657953,65.496631,0.000000,1.137233,0.682044,1.00e-04
6,1.000,1.000,48.939099,95.936684,0.000000,1.245705,0.695808,31.526611,61.136855,0.000000,1.230333,0.686033,1.00e-04
7,1.000,1.000,43.560461,85.122807,0.000000,1.300785,0.697331,30.379811,58.738480,0.000000,1.335784,0.685357,1.00e-04
8,1.000,1.000,38.656095,75.226544,0.000000,1.389002,0.696645,28.777404,55.420004,0.000000,1.450426,0.684377,1.00e-04
9,1.000,1.000,36.183217,70.173534,0.000000,1.496761,0.696140,29.002588,55.751496,0.000000,1.569571,0.684109,1.00e-04
10,1.000,1.000,34.034498,65.759594,0.000000,1.615095,0.694308,28.668394,54.956196,0.000000,1.696935,0.683657,1.00e-04
11,1.000,1.000,33.277485,64.116367,0.000000,1.744953,0.693649,28.374454,54.231453,0.000000,1.833998,0.683456,1.00e-04
12,1.000,1.000,32.237036,61.893347,0.000000,1.885308,0.695418,28.223004,53.791626,0.000000,1.970423,0.683958,1.00e-04
13,1.000,1.000,31.503484,60.292915,0.000000,2.018569,0.695484,27.733787,52.673731,0.000000,2.110384,0.683460,1.00e-04
14,1.000,1.000,30.554310,58.251678,0.000000,2.164760,0.692183,28.105806,53.275981,0.000000,2.251665,0.683965,1.00e-04
15,1.000,1.000,30.438398,57.878724,0.000000,2.304824,0.693248,27.605830,52.127923,0.000000,2.400125,0.683613,1.00e-04
16,1.000,1.000,29.723757,56.298466,0.000000,2.455142,0.693905,27.488245,51.740975,0.000000,2.551484,0.684032,1.00e-04
17,1.000,1.000,29.288312,55.275867,0.000000,2.607819,0.692939,27.680128,51.975518,0.000000,2.700516,0.684222,1.00e-04
18,1.000,1.000,28.893300,54.344223,0.000000,2.751223,0.691155,27.008240,50.495090,0.000000,2.837186,0.684204,1.00e-04
19,1.000,1.000,28.444942,53.307674,0.000000,2.890334,0.691876,27.420758,51.171353,0.000000,2.985845,0.684318,1.00e-04
20,1.000,1.000,28.049655,52.370076,0.000000,3.035171,0.694064,26.880895,49.959823,0.000000,3.117516,0.684450,1.00e-04
21,1.000,1.000,27.633882,51.407899,0.000000,3.167591,0.692273,26.709360,49.481894,0.000000,3.252298,0.684528,1.00e-04
22,1.000,1.000,27.304417,50.616355,0.000000,3.300917,0.691563,26.634526,49.208458,0.000000,3.375853,0.684742,1.00e-04
23,1.000,1.000,26.935612,49.763622,0.000000,3.416324,0.691277,26.370606,48.571630,0.000000,3.484683,0.684900,1.00e-04
24,1.000,1.000,26.724891,49.232756,0.000000,3.524970,0.692055,25.950640,47.631828,0.000000,3.584583,0.684868,1.00e-04
25,1.000,1.000,26.348026,48.386281,0.000000,3.617445,0.692327,26.119230,47.870609,0.000000,3.682836,0.685016,1.00e-04
26,1.000,1.000,26.062070,47.720635,0.000000,3.712198,0.691306,25.564432,46.682741,0.000000,3.760917,0.685206,1.00e-04
27,1.000,1.000,25.749604,47.016540,0.000000,3.790768,0.691900,25.553159,46.578867,0.000000,3.842143,0.685308,1.00e-04
28,1.000,1.000,25.363103,46.176918,0.000000,3.856737,0.692551,25.356205,46.138071,0.000000,3.889257,0.685081,1.00e-04
29,1.000,1.000,25.150409,45.700468,0.000000,3.909250,0.691100,24.938499,45.259534,0.000000,3.932226,0.685239,1.00e-04
30,1.000,1.000,24.786748,44.937606,0.000000,3.945419,0.690472,24.707459,44.751706,0.000000,3.977787,0.685427,1.00e-04
