epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1317.833409,1312.657769,5.175635,0.000000,0.000000,178.785938,173.697582,5.088356,0.000000,0.000000,1.00e-04
2,1.000,1.000,1255.405325,1250.288288,5.117035,0.000000,0.000000,176.715206,171.857960,4.857252,0.000000,0.000000,1.00e-04
3,1.000,1.000,1162.917793,1157.958348,4.959447,0.000000,0.000000,170.388744,165.737442,4.651304,0.000000,0.000000,1.00e-04
4,1.000,1.000,786.351529,781.680548,4.670976,0.000000,0.000000,165.087456,160.651970,4.435488,0.000000,0.000000,1.00e-04
5,1.000,1.000,502.475476,497.865886,4.609590,0.000000,0.000000,162.029881,157.551735,4.478144,0.000000,0.000000,1.00e-04
6,1.000,1.000,416.277714,411.471778,4.805934,0.000000,0.000000,158.267738,153.657455,4.610283,0.000000,0.000000,1.00e-04
7,1.000,1.000,352.382555,347.426072,4.956481,0.000000,0.000000,153.717743,148.854134,4.863606,0.000000,0.000000,1.00e-04
8,1.000,1.000,296.093950,291.055807,5.038144,0.000000,0.000000,148.575207,143.586658,4.988547,0.000000,0.000000,1.00e-04
9,1.000,1.000,284.622153,279.552414,5.069738,0.000000,0.000000,143.593147,138.563427,5.029717,0.000000,0.000000,1.00e-04
10,1.000,1.000,254.698296,249.648160,5.050137,0.000000,0.000000,138.626328,133.582735,5.043596,0.000000,0.000000,1.00e-04
11,1.000,1.000,244.205690,239.162526,5.043164,0.000000,0.000000,133.276005,128.223467,5.052535,0.000000,0.000000,1.00e-04
12,1.000,1.000,234.440765,229.401742,5.039023,0.000000,0.000000,128.012186,122.962223,5.049965,0.000000,0.000000,1.00e-04
13,1.000,1.000,206.377664,201.349116,5.028547,0.000000,0.000000,122.839745,117.788712,5.051032,0.000000,0.000000,1.00e-04
14,1.000,1.000,206.412340,201.386126,5.026214,0.000000,0.000000,118.027590,112.966722,5.060867,0.000000,0.000000,1.00e-04
15,1.000,1.000,200.014086,194.980585,5.033500,0.000000,0.000000,113.631992,108.558216,5.073778,0.000000,0.000000,1.00e-04
