epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
2,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
3,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
4,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
5,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
6,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
7,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
8,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
9,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
10,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
11,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
12,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
13,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
14,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
15,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
16,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,1.00e-04
17,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
18,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
19,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
20,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
21,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
22,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
23,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
24,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
25,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
26,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
27,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
28,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
29,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
30,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
31,1.000,1.000,49.791668,49.791668,0.000000,0.000000,0.000000,49.791670,49.791670,0.000000,0.000000,0.000000,5.00e-05
