epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1894.624849,1893.442299,0.000000,1.182537,0.697427,202.143497,201.290134,0.000000,0.853362,0.687862,1.00e-04
2,1.000,1.000,566.207168,565.025450,0.000000,1.181719,0.695139,123.100510,122.190495,0.000000,0.910013,0.684863,1.00e-04
3,1.000,1.000,263.691420,262.501350,0.000000,1.190069,0.695898,81.800947,80.815737,0.000000,0.985209,0.681976,1.00e-04
4,1.000,1.000,163.147316,161.944359,0.000000,1.202957,0.692760,76.531673,75.478012,0.000000,1.053662,0.681511,1.00e-04
5,1.000,1.000,122.119053,120.903272,0.000000,1.215780,0.693511,66.634517,65.497286,0.000000,1.137230,0.682536,1.00e-04
6,1.000,1.000,97.182196,95.936491,0.000000,1.245706,0.696630,62.366205,61.135876,0.000000,1.230330,0.686993,1.00e-04
7,1.000,1.000,86.424499,85.123713,0.000000,1.300786,0.698600,60.075154,58.739368,0.000000,1.335785,0.686735,1.00e-04
8,1.000,1.000,76.617490,75.228485,0.000000,1.389005,0.698382,56.869746,55.419324,0.000000,1.450422,0.685938,1.00e-04
9,1.000,1.000,71.669135,70.172373,0.000000,1.496762,0.698201,57.321624,55.752047,0.000000,1.569576,0.686055,1.00e-04
10,1.000,1.000,67.373853,65.758750,0.000000,1.615103,0.696702,56.654227,54.957294,0.000000,1.696933,0.685819,1.00e-04
11,1.000,1.000,65.861269,64.116318,0.000000,1.744952,0.696733,56.065290,54.231313,0.000000,1.833978,0.685685,1.00e-04
12,1.000,1.000,63.774866,61.889582,0.000000,1.885285,0.697980,55.762388,53.791995,0.000000,1.970394,0.686965,1.00e-04
13,1.000,1.000,62.311754,60.293215,0.000000,2.018538,0.699575,54.783166,52.672825,0.000000,2.110342,0.686161,1.00e-04
14,1.000,1.000,60.411781,58.247058,0.000000,2.164723,0.695260,55.529636,53.278008,0.000000,2.251628,0.687454,1.00e-04
15,1.000,1.000,60.181325,57.876527,0.000000,2.304798,0.697571,54.526894,52.126792,0.000000,2.400101,0.686003,1.00e-04
16,1.000,1.000,58.752665,56.297572,0.000000,2.455093,0.696721,54.292134,51.740716,0.000000,2.551418,0.686902,1.00e-04
17,1.000,1.000,57.883997,55.276242,0.000000,2.607755,0.696715,54.675883,51.975480,0.000000,2.700403,0.687547,1.00e-04
18,1.000,1.000,57.094280,54.343167,0.000000,2.751113,0.695133,53.331205,50.494156,0.000000,2.837050,0.686352,1.00e-04
19,1.000,1.000,56.197941,53.307740,0.000000,2.890201,0.695109,54.159895,51.174197,0.000000,2.985698,0.687153,1.00e-04
20,1.000,1.000,55.405902,52.370868,0.000000,3.035033,0.697730,53.075563,49.958227,0.000000,3.117337,0.687011,1.00e-04
21,1.000,1.000,54.576990,51.409621,0.000000,3.167369,0.696142,52.735697,49.483688,0.000000,3.252009,0.687328,1.00e-04
22,1.000,1.000,53.917125,50.616486,0.000000,3.300639,0.695069,52.585908,49.210370,0.000000,3.375539,0.687211,1.00e-04
23,1.000,1.000,53.180452,49.764397,0.000000,3.416055,0.695007,52.056167,48.571756,0.000000,3.484411,0.687326,1.00e-04
24,1.000,1.000,52.758057,49.233342,0.000000,3.524715,0.695191,51.217032,47.632698,0.000000,3.584335,0.687166,1.00e-04
25,1.000,1.000,52.003919,48.386654,0.000000,3.617265,0.695872,51.556509,47.873831,0.000000,3.682677,0.687125,1.00e-04
26,1.000,1.000,51.432247,47.720203,0.000000,3.712044,0.694590,50.443305,46.682536,0.000000,3.760769,0.687714,1.00e-04
27,1.000,1.000,50.807722,47.017056,0.000000,3.790666,0.695702,50.425209,46.583171,0.000000,3.842039,0.687341,1.00e-04
28,1.000,1.000,50.033654,46.176960,0.000000,3.856694,0.695749,50.032664,46.143477,0.000000,3.889187,0.687254,1.00e-04
29,1.000,1.000,49.611111,45.701961,0.000000,3.909150,0.694620,49.190294,45.258191,0.000000,3.932102,0.687464,1.00e-04
30,1.000,1.000,48.882606,44.937244,0.000000,3.945362,0.694176,48.732690,44.754975,0.000000,3.977715,0.687503,1.00e-04
31,1.000,1.000,48.367861,44.384304,0.000000,3.983557,0.695171,48.431086,44.431266,0.000000,3.999819,0.687623,1.00e-04
32,1.000,1.000,47.470907,43.466366,0.000000,4.004541,0.694028,48.091619,44.085114,0.000000,4.006503,0.687084,1.00e-04
33,1.000,1.000,46.992335,42.984486,0.000000,4.007849,0.692885,47.334387,43.313468,0.000000,4.020919,0.688271,1.00e-04
34,1.000,1.000,46.644670,42.621930,0.000000,4.022741,0.695237,47.120494,43.089170,0.000000,4.031325,0.687140,1.00e-04
35,1.000,1.000,45.906601,41.880706,0.000000,4.025895,0.696122,46.459458,42.424429,0.000000,4.035030,0.687524,1.00e-04
36,1.000,1.000,45.376968,41.345586,0.000000,4.031381,0.694229,46.107382,42.083975,0.000000,4.023408,0.687555,1.00e-04
37,1.000,1.000,44.815441,40.796603,0.000000,4.018838,0.694510,45.678805,41.659867,0.000000,4.018938,0.686885,1.00e-04
38,1.000,1.000,44.367739,40.361542,0.000000,4.006197,0.692781,45.753201,41.760187,0.000000,3.993013,0.687488,1.00e-04
39,1.000,1.000,44.042377,40.058498,0.000000,3.983879,0.693923,44.972214,40.990459,0.000000,3.981754,0.686971,1.00e-04
40,1.000,1.000,43.497907,39.521849,0.000000,3.976058,0.693385,44.539275,40.559020,0.000000,3.980256,0.687389,1.00e-04
41,1.000,1.000,43.248620,39.280786,0.000000,3.967834,0.694086,44.368894,40.402199,0.000000,3.966695,0.686901,1.00e-04
42,1.000,1.000,42.938236,38.979280,0.000000,3.958956,0.694541,43.921731,39.964479,0.000000,3.957252,0.686831,1.00e-04
43,1.000,1.000,42.595502,38.642831,0.000000,3.952671,0.693633,43.544120,39.580230,0.000000,3.963890,0.686917,1.00e-04
44,1.000,1.000,41.908109,37.954001,0.000000,3.954108,0.693191,43.225070,39.267154,0.000000,3.957916,0.687000,1.00e-04
45,1.000,1.000,41.730273,37.780674,0.000000,3.949599,0.694024,43.273920,39.321299,0.000000,3.952621,0.686740,1.00e-04
46,1.000,1.000,41.435202,37.495152,0.000000,3.940050,0.693754,42.633077,38.686701,0.000000,3.946375,0.686788,1.00e-04
47,1.000,1.000,41.110880,37.169578,0.000000,3.941302,0.694439,42.522356,38.576696,0.000000,3.945659,0.687380,1.00e-04
48,1.000,1.000,40.744713,36.811592,0.000000,3.933121,0.692849,41.854401,37.909510,0.000000,3.944890,0.686846,1.00e-04
49,1.000,1.000,40.576536,36.635232,0.000000,3.941304,0.693593,42.064992,38.117863,0.000000,3.947130,0.687417,1.00e-04
50,1.000,1.000,40.176203,36.239122,0.000000,3.937081,0.692658,41.148828,37.205474,0.000000,3.943354,0.686832,1.00e-04
51,1.000,1.000,39.925014,35.991762,0.000000,3.933251,0.693944,41.449941,37.520264,0.000000,3.929677,0.687454,1.00e-04
52,1.000,1.000,39.532775,35.614023,0.000000,3.918751,0.693750,40.808836,36.888334,0.000000,3.920502,0.686805,1.00e-04
53,1.000,1.000,39.250807,35.341226,0.000000,3.909581,0.692805,40.574570,36.666478,0.000000,3.908091,0.687244,1.00e-04
54,1.000,1.000,39.110463,35.207413,0.000000,3.903050,0.692464,40.658091,36.742842,0.000000,3.915249,0.687219,1.00e-04
55,1.000,1.000,38.762009,34.859427,0.000000,3.902582,0.692934,40.412818,36.508107,0.000000,3.904711,0.687273,1.00e-04
56,1.000,1.000,38.499769,34.603419,0.000000,3.896350,0.693067,39.682273,35.780450,0.000000,3.901823,0.687166,1.00e-04
57,1.000,1.000,38.097590,34.207136,0.000000,3.890454,0.693458,39.614583,35.728017,0.000000,3.886566,0.687376,1.00e-04
58,1.000,1.000,37.891553,34.018439,0.000000,3.873114,0.692940,39.789436,35.917140,0.000000,3.872297,0.686954,1.00e-04
59,1.000,1.000,37.671705,33.816173,0.000000,3.855532,0.694686,39.231550,35.386261,0.000000,3.845290,0.687201,1.00e-04
60,1.000,1.000,37.285853,33.452260,0.000000,3.833593,0.692652,38.989304,35.166556,0.000000,3.822747,0.687414,1.00e-04
61,1.000,1.000,37.174165,33.365527,0.000000,3.808638,0.694511,38.941321,35.134700,0.000000,3.806622,0.687053,1.00e-04
62,1.000,1.000,36.898135,33.103209,0.000000,3.794926,0.692781,38.517509,34.720807,0.000000,3.796701,0.687007,1.00e-04
63,1.000,1.000,36.735129,32.947432,0.000000,3.787697,0.693676,37.944169,34.148310,0.000000,3.795860,0.687340,1.00e-04
64,1.000,1.000,36.591615,32.802327,0.000000,3.789288,0.693068,37.946473,34.144908,0.000000,3.801565,0.686896,1.00e-04
65,1.000,1.000,36.361681,32.568955,0.000000,3.792726,0.693131,38.081058,34.281887,0.000000,3.799170,0.687096,1.00e-04
