epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1312.685198,1312.663631,0.021568,0.000000,0.000000,173.725471,173.704262,0.021209,0.000000,0.000000,1.00e-04
2,1.000,1.000,1250.328663,1250.307334,0.021330,0.000000,0.000000,171.880936,171.860687,0.020250,0.000000,0.000000,1.00e-04
3,1.000,1.000,1158.125988,1158.105319,0.020674,0.000000,0.000000,165.766769,165.747375,0.019391,0.000000,0.000000,1.00e-04
4,1.000,1.000,781.883075,781.863604,0.019470,0.000000,0.000000,160.673691,160.655205,0.018487,0.000000,0.000000,1.00e-04
5,1.000,1.000,498.150973,498.131767,0.019207,0.000000,0.000000,157.574379,157.555717,0.018660,0.000000,0.000000,1.00e-04
6,1.000,1.000,411.818176,411.798154,0.020021,0.000000,0.000000,153.679924,153.660717,0.019209,0.000000,0.000000,1.00e-04
7,1.000,1.000,347.729301,347.708653,0.020648,0.000000,0.000000,148.877354,148.857090,0.020262,0.000000,0.000000,1.00e-04
8,1.000,1.000,291.297774,291.276784,0.020989,0.000000,0.000000,143.617748,143.596966,0.020784,0.000000,0.000000,1.00e-04
9,1.000,1.000,279.800466,279.779344,0.021121,0.000000,0.000000,138.601631,138.580677,0.020957,0.000000,0.000000,1.00e-04
10,1.000,1.000,249.840645,249.819604,0.021041,0.000000,0.000000,133.625998,133.604986,0.021016,0.000000,0.000000,1.00e-04
11,1.000,1.000,239.356972,239.335958,0.021014,0.000000,0.000000,128.270868,128.249817,0.021054,0.000000,0.000000,1.00e-04
12,1.000,1.000,229.605152,229.584152,0.020999,0.000000,0.000000,123.011702,122.990654,0.021046,0.000000,0.000000,1.00e-04
13,1.000,1.000,201.503007,201.482049,0.020958,0.000000,0.000000,117.839790,117.818739,0.021053,0.000000,0.000000,1.00e-04
14,1.000,1.000,201.546984,201.526032,0.020951,0.000000,0.000000,113.017572,112.996475,0.021097,0.000000,0.000000,1.00e-04
15,1.000,1.000,195.169385,195.148401,0.020984,0.000000,0.000000,108.608873,108.587719,0.021153,0.000000,0.000000,1.00e-04
16,1.000,1.000,183.384970,183.363951,0.021019,0.000000,0.000000,104.680151,104.658978,0.021174,0.000000,0.000000,1.00e-04
17,1.000,1.000,184.104269,184.083245,0.021024,0.000000,0.000000,101.173952,101.152790,0.021163,0.000000,0.000000,1.00e-04
18,1.000,1.000,171.787270,171.766266,0.021004,0.000000,0.000000,97.934746,97.913614,0.021131,0.000000,0.000000,1.00e-04
19,1.000,1.000,159.058908,159.037965,0.020943,0.000000,0.000000,94.977142,94.956034,0.021109,0.000000,0.000000,1.00e-04
20,1.000,1.000,154.674113,154.653165,0.020949,0.000000,0.000000,92.211983,92.190878,0.021105,0.000000,0.000000,1.00e-04
21,1.000,1.000,155.171837,155.150886,0.020950,0.000000,0.000000,89.609858,89.588743,0.021115,0.000000,0.000000,1.00e-04
22,1.000,1.000,151.946981,151.926007,0.020973,0.000000,0.000000,87.265223,87.244076,0.021145,0.000000,0.000000,1.00e-04
23,1.000,1.000,145.176882,145.155900,0.020981,0.000000,0.000000,85.116276,85.095074,0.021203,0.000000,0.000000,1.00e-04
24,1.000,1.000,140.627994,140.606937,0.021057,0.000000,0.000000,83.175785,83.154499,0.021288,0.000000,0.000000,1.00e-04
25,1.000,1.000,140.893638,140.872459,0.021180,0.000000,0.000000,81.344790,81.323460,0.021331,0.000000,0.000000,1.00e-04
26,1.000,1.000,132.913372,132.892188,0.021184,0.000000,0.000000,79.706360,79.684998,0.021362,0.000000,0.000000,1.00e-04
27,1.000,1.000,134.666717,134.645483,0.021233,0.000000,0.000000,78.191471,78.170092,0.021380,0.000000,0.000000,1.00e-04
28,1.000,1.000,133.280831,133.259596,0.021234,0.000000,0.000000,76.841692,76.820309,0.021384,0.000000,0.000000,1.00e-04
29,1.000,1.000,128.448903,128.427649,0.021254,0.000000,0.000000,75.578453,75.557072,0.021380,0.000000,0.000000,1.00e-04
30,1.000,1.000,124.923224,124.902015,0.021209,0.000000,0.000000,74.301849,74.280436,0.021414,0.000000,0.000000,1.00e-04
31,1.000,1.000,120.347865,120.326597,0.021268,0.000000,0.000000,73.117186,73.095684,0.021502,0.000000,0.000000,1.00e-04
32,1.000,1.000,119.759640,119.738266,0.021374,0.000000,0.000000,72.112377,72.090809,0.021568,0.000000,0.000000,1.00e-04
33,1.000,1.000,121.487389,121.465978,0.021411,0.000000,0.000000,71.103413,71.081839,0.021573,0.000000,0.000000,1.00e-04
34,1.000,1.000,121.733770,121.712351,0.021420,0.000000,0.000000,70.059916,70.038361,0.021555,0.000000,0.000000,1.00e-04
35,1.000,1.000,116.647137,116.625740,0.021397,0.000000,0.000000,69.184860,69.163315,0.021545,0.000000,0.000000,1.00e-04
36,1.000,1.000,114.489563,114.468156,0.021406,0.000000,0.000000,68.368593,68.347021,0.021572,0.000000,0.000000,1.00e-04
37,1.000,1.000,110.503765,110.482339,0.021426,0.000000,0.000000,67.552996,67.531370,0.021625,0.000000,0.000000,1.00e-04
38,1.000,1.000,113.121906,113.100405,0.021501,0.000000,0.000000,66.742729,66.721018,0.021711,0.000000,0.000000,1.00e-04
39,1.000,1.000,110.706087,110.684504,0.021583,0.000000,0.000000,65.958803,65.937023,0.021780,0.000000,0.000000,1.00e-04
40,1.000,1.000,106.226014,106.204367,0.021647,0.000000,0.000000,65.205831,65.183990,0.021840,0.000000,0.000000,1.00e-04
41,1.000,1.000,105.321081,105.299386,0.021695,0.000000,0.000000,64.514254,64.492378,0.021875,0.000000,0.000000,1.00e-04
42,1.000,1.000,104.578384,104.556643,0.021741,0.000000,0.000000,63.886201,63.864299,0.021902,0.000000,0.000000,1.00e-04
43,1.000,1.000,102.194950,102.173156,0.021794,0.000000,0.000000,63.328784,63.306849,0.021934,0.000000,0.000000,1.00e-04
44,1.000,1.000,100.516934,100.495132,0.021802,0.000000,0.000000,62.823421,62.801444,0.021978,0.000000,0.000000,1.00e-04
45,1.000,1.000,98.663583,98.641744,0.021840,0.000000,0.000000,62.291793,62.269758,0.022034,0.000000,0.000000,1.00e-04
46,1.000,1.000,103.837965,103.816077,0.021888,0.000000,0.000000,61.792125,61.770053,0.022073,0.000000,0.000000,1.00e-04
47,1.000,1.000,99.029710,99.007794,0.021917,0.000000,0.000000,61.348834,61.326741,0.022093,0.000000,0.000000,1.00e-04
48,1.000,1.000,96.610350,96.588390,0.021960,0.000000,0.000000,60.919443,60.897336,0.022107,0.000000,0.000000,1.00e-04
49,1.000,1.000,97.026663,97.004685,0.021978,0.000000,0.000000,60.504718,60.482569,0.022149,0.000000,0.000000,1.00e-04
50,1.000,1.000,93.723787,93.701763,0.022024,0.000000,0.000000,60.106787,60.084580,0.022206,0.000000,0.000000,1.00e-04
51,1.000,1.000,93.052034,93.029949,0.022085,0.000000,0.000000,59.723307,59.701040,0.022266,0.000000,0.000000,1.00e-04
52,1.000,1.000,92.607435,92.585286,0.022149,0.000000,0.000000,59.331881,59.309580,0.022302,0.000000,0.000000,1.00e-04
53,1.000,1.000,90.489098,90.466923,0.022175,0.000000,0.000000,58.974733,58.952418,0.022315,0.000000,0.000000,1.00e-04
54,1.000,1.000,89.152863,89.130695,0.022168,0.000000,0.000000,58.644190,58.621841,0.022348,0.000000,0.000000,1.00e-04
55,1.000,1.000,88.327413,88.305215,0.022198,0.000000,0.000000,58.294716,58.272307,0.022408,0.000000,0.000000,1.00e-04
56,1.000,1.000,87.304116,87.281825,0.022291,0.000000,0.000000,57.977429,57.954969,0.022461,0.000000,0.000000,1.00e-04
