epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2243.541779,2361.369999,0.005294,0.211028,0.695777,252.176756,265.183094,0.005146,0.224681,0.689722,1.00e-04
2,1.000,1.000,984.314824,1035.838872,0.004843,0.240918,0.688765,201.276042,211.573328,0.004775,0.255149,0.689125,1.00e-04
3,1.000,1.000,428.994549,451.262194,0.005044,0.269726,0.688784,163.442521,171.712402,0.005225,0.290729,0.691712,1.00e-04
4,1.000,1.000,314.200496,330.381773,0.005259,0.314071,0.688993,145.032016,152.280135,0.005328,0.343401,0.691954,1.00e-04
5,1.000,1.000,240.152903,252.373091,0.005271,0.377540,0.696036,131.478978,137.937355,0.005294,0.419799,0.693088,1.00e-04
6,1.000,1.000,219.548162,230.603215,0.005227,0.458567,0.690162,117.466451,123.100163,0.005259,0.507000,0.693003,1.00e-04
7,1.000,1.000,196.292132,206.027347,0.005227,0.554484,0.688590,105.544929,110.443747,0.005290,0.614458,0.692222,1.00e-04
8,1.000,1.000,172.196061,180.555863,0.005254,0.661707,0.687628,96.216608,100.518903,0.005289,0.720023,0.692127,1.00e-04
9,1.000,1.000,157.916482,165.410711,0.005260,0.775734,0.687305,88.199169,91.958517,0.005315,0.840953,0.692437,1.00e-04
10,1.000,1.000,148.397271,155.275883,0.005294,0.890227,0.688745,81.755640,85.061892,0.005324,0.954911,0.692432,1.00e-04
11,1.000,1.000,131.279445,137.153219,0.005288,0.994151,0.688435,76.747213,79.703645,0.005330,1.041106,0.692719,1.00e-04
12,1.000,1.000,125.693888,131.189478,0.005311,1.078086,0.693177,72.914505,75.586299,0.005363,1.124017,0.692245,1.00e-04
13,1.000,1.000,116.036451,120.944449,0.005341,1.157575,0.689116,68.898759,71.283679,0.005399,1.199483,0.692573,1.00e-04
14,1.000,1.000,114.553912,119.312671,0.005374,1.228726,0.689602,65.847580,67.997602,0.005417,1.273764,0.692700,1.00e-04
15,1.000,1.000,109.748601,114.185298,0.005393,1.297909,0.688634,63.103969,65.055279,0.005425,1.328079,0.692523,1.00e-04
16,1.000,1.000,101.512983,105.462156,0.005419,1.351815,0.691284,61.571596,63.382646,0.005476,1.387615,0.692945,1.00e-04
17,1.000,1.000,94.454134,97.978583,0.005454,1.405172,0.687771,59.586188,61.246789,0.005495,1.433527,0.693382,1.00e-04
18,1.000,1.000,94.943716,98.448015,0.005470,1.451124,0.686795,56.798904,58.268120,0.005521,1.478203,0.693083,1.00e-04
19,1.000,1.000,88.935546,92.084168,0.005506,1.490429,0.688983,55.143467,56.488822,0.005539,1.514915,0.693121,1.00e-04
20,1.000,1.000,85.489871,88.423568,0.005528,1.524163,0.685546,53.229041,54.442144,0.005572,1.546362,0.693353,1.00e-04
21,1.000,1.000,82.495262,85.241416,0.005554,1.554130,0.684362,52.355557,53.498222,0.005600,1.570797,0.693383,1.00e-04
22,1.000,1.000,79.444823,82.004161,0.005586,1.580272,0.686152,51.717330,52.802394,0.005633,1.594773,0.693442,1.00e-04
23,1.000,1.000,78.161510,80.630479,0.005612,1.602817,0.690944,49.365087,50.301398,0.005658,1.619689,0.693577,1.00e-04
24,1.000,1.000,72.307213,74.446020,0.005633,1.625128,0.685433,47.827843,48.660882,0.005677,1.642040,0.693517,1.00e-04
25,1.000,1.000,71.209678,73.270448,0.005665,1.645240,0.687871,46.773429,47.535886,0.005716,1.657098,0.693307,1.00e-04
26,1.000,1.000,68.524136,70.427821,0.005702,1.660993,0.686933,45.497071,46.172126,0.005745,1.677279,0.693576,1.00e-04
27,1.000,1.000,67.980703,69.836447,0.005730,1.680175,0.689424,44.384950,44.989431,0.005772,1.689292,0.693618,1.00e-04
28,1.000,1.000,65.923846,67.662745,0.005756,1.688865,0.686980,44.175149,44.757104,0.005804,1.700736,0.693738,1.00e-04
29,1.000,1.000,63.205518,64.791059,0.005788,1.699124,0.686916,42.670406,43.168558,0.005831,1.705341,0.693280,1.00e-04
30,1.000,1.000,62.008710,63.522878,0.005819,1.707294,0.690405,41.626543,42.059288,0.005870,1.715754,0.693533,1.00e-04
31,1.000,1.000,59.935567,61.333570,0.005856,1.714434,0.688035,40.778719,41.159413,0.005901,1.723175,0.693071,1.00e-04
32,1.000,1.000,57.626672,58.895884,0.005881,1.721690,0.687811,40.639668,41.008068,0.005927,1.728116,0.693282,1.00e-04
33,1.000,1.000,56.187671,57.372850,0.005914,1.730020,0.686540,39.453984,39.751031,0.005955,1.737033,0.693330,1.00e-04
34,1.000,1.000,55.153133,56.277914,0.005939,1.736045,0.684605,38.676924,38.926261,0.005984,1.743818,0.693270,1.00e-04
35,1.000,1.000,53.683694,54.723885,0.005972,1.743136,0.687044,37.830758,38.031982,0.006018,1.747361,0.693325,1.00e-04
36,1.000,1.000,52.172672,53.128998,0.006006,1.747363,0.688486,37.700096,37.887467,0.006046,1.754326,0.692992,1.00e-04
37,1.000,1.000,52.026710,52.969661,0.006028,1.753099,0.687238,36.682557,36.811766,0.006071,1.758889,0.693353,1.00e-04
38,1.000,1.000,49.389368,50.189108,0.006055,1.757470,0.687358,36.304881,36.410840,0.006096,1.762246,0.693169,1.00e-04
39,1.000,1.000,48.735236,49.497400,0.006082,1.760582,0.687523,35.627585,35.695205,0.006127,1.764906,0.693185,1.00e-04
40,1.000,1.000,47.967109,48.686461,0.006111,1.762952,0.687249,35.082861,35.117526,0.006156,1.769152,0.693368,1.00e-04
41,1.000,1.000,46.147694,46.768891,0.006142,1.765473,0.684262,34.621513,34.632525,0.006180,1.768499,0.693420,1.00e-04
42,1.000,1.000,45.629679,46.222605,0.006166,1.766389,0.685533,33.718468,33.680637,0.006208,1.769790,0.693342,1.00e-04
43,1.000,1.000,45.281922,45.854124,0.006192,1.768762,0.685971,33.319114,33.257934,0.006231,1.772086,0.693518,1.00e-04
44,1.000,1.000,43.511174,43.987950,0.006222,1.770916,0.686820,32.943256,32.859575,0.006265,1.774783,0.693319,1.00e-04
45,1.000,1.000,42.952134,43.397640,0.006248,1.772587,0.689671,32.196132,32.071252,0.006294,1.776614,0.693614,1.00e-04
46,1.000,1.000,42.207440,42.611062,0.006278,1.775287,0.688869,31.890851,31.747532,0.006319,1.778963,0.693563,1.00e-04
47,1.000,1.000,41.593788,41.964339,0.006305,1.776241,0.684964,31.475214,31.309842,0.006344,1.779124,0.693385,1.00e-04
48,1.000,1.000,40.119265,40.411479,0.006330,1.776760,0.688480,31.370935,31.201288,0.006375,1.777864,0.693700,1.00e-04
49,1.000,1.000,39.720433,39.993080,0.006362,1.775404,0.686616,30.550168,30.336885,0.006400,1.778292,0.693401,1.00e-04
50,1.000,1.000,38.649563,38.864132,0.006386,1.777115,0.686240,30.249815,30.021227,0.006429,1.777758,0.693422,1.00e-04
51,1.000,1.000,38.091199,38.280072,0.006412,1.773301,0.688055,29.568219,29.308792,0.006455,1.772682,0.693743,1.00e-04
52,1.000,1.000,37.501632,37.663946,0.006443,1.768998,0.684293,29.419371,29.156683,0.006487,1.768094,0.693408,1.00e-04
53,1.000,1.000,36.629491,36.750530,0.006472,1.764186,0.687240,29.039797,28.758529,0.006513,1.766666,0.693490,1.00e-04
54,1.000,1.000,35.661950,35.728154,0.006500,1.768165,0.685430,28.737440,28.435993,0.006540,1.770910,0.693377,1.00e-04
55,1.000,1.000,35.278744,35.323318,0.006529,1.769496,0.687394,28.371554,28.046806,0.006564,1.774933,0.693326,1.00e-04
56,1.000,1.000,34.665126,34.671042,0.006546,1.775976,0.684809,27.931787,27.581018,0.006588,1.777798,0.693075,1.00e-04
57,1.000,1.000,34.287120,34.271920,0.006574,1.777123,0.685697,27.680281,27.312648,0.006613,1.781392,0.693224,1.00e-04
58,1.000,1.000,32.888613,32.796183,0.006601,1.780606,0.687861,27.233697,26.843516,0.006637,1.780417,0.693117,1.00e-04
59,1.000,1.000,32.356456,32.240419,0.006624,1.776215,0.687260,26.959358,26.558267,0.006662,1.776855,0.693285,1.00e-04
60,1.000,1.000,32.369159,32.256632,0.006651,1.773448,0.685295,26.748585,26.338970,0.006691,1.774244,0.693496,1.00e-04
61,1.000,1.000,31.891186,31.755135,0.006680,1.771674,0.687431,26.140979,25.700504,0.006720,1.773099,0.693450,1.00e-04
62,1.000,1.000,31.372637,31.209758,0.006707,1.771275,0.685683,25.913021,25.459644,0.006743,1.773991,0.693253,1.00e-04
63,1.000,1.000,30.817925,30.623569,0.006727,1.773455,0.687253,25.866085,25.410628,0.006762,1.773585,0.693193,1.00e-04
64,1.000,1.000,30.150136,29.922983,0.006749,1.771081,0.687293,25.134420,24.639993,0.006788,1.774020,0.693195,1.00e-04
65,1.000,1.000,29.239318,28.959448,0.006776,1.775834,0.687250,24.738480,24.218143,0.006811,1.779070,0.693147,1.00e-04
66,1.000,1.000,28.918152,28.623987,0.006795,1.773114,0.689037,24.506277,23.984085,0.006832,1.768666,0.693493,1.00e-04
67,1.000,1.000,28.489312,28.179441,0.006818,1.766392,0.685871,24.358429,23.830297,0.006853,1.766824,0.693079,1.00e-04
68,1.000,1.000,28.209794,27.886461,0.006838,1.765075,0.686786,23.880601,23.326740,0.006873,1.767373,0.693285,1.00e-04
69,1.000,1.000,27.512140,27.148768,0.006858,1.768362,0.687049,23.688634,23.119219,0.006896,1.772800,0.693295,1.00e-04
70,1.000,1.000,27.273465,26.896490,0.006885,1.769480,0.685049,23.386476,22.809329,0.006923,1.764587,0.693593,1.00e-04
71,1.000,1.000,26.701539,26.306417,0.006911,1.757391,0.687099,23.136435,22.556400,0.006945,1.754305,0.693351,1.00e-04
72,1.000,1.000,26.552696,26.152012,0.006931,1.755165,0.685897,22.840664,22.241936,0.006968,1.757410,0.693331,1.00e-04
73,1.000,1.000,26.120720,25.696411,0.006954,1.755755,0.691142,22.699434,22.092464,0.006989,1.758204,0.693237,1.00e-04
74,1.000,1.000,25.744133,25.297964,0.006977,1.757891,0.688863,22.277409,21.647236,0.007011,1.759173,0.693204,1.00e-04
75,1.000,1.000,25.254480,24.781773,0.006996,1.758712,0.687479,22.103901,21.465500,0.007031,1.758251,0.693155,1.00e-04
76,1.000,1.000,24.698152,24.198111,0.007019,1.756868,0.685096,22.084639,21.450109,0.007052,1.753355,0.692986,1.00e-04
77,1.000,1.000,24.378901,23.867413,0.007036,1.751483,0.685334,21.641541,20.982306,0.007070,1.754717,0.693057,1.00e-04
78,1.000,1.000,24.120376,23.592720,0.007057,1.753915,0.687395,21.253208,20.575240,0.007089,1.752992,0.693055,1.00e-04
79,1.000,1.000,23.363881,22.799974,0.007079,1.750331,0.687330,21.002760,20.310089,0.007115,1.754486,0.693105,1.00e-04
80,1.000,1.000,23.166295,22.590042,0.007103,1.752247,0.687460,20.701405,19.998665,0.007135,1.748689,0.692830,1.00e-04
81,1.000,1.000,22.815104,22.225620,0.007121,1.747031,0.686422,20.480651,19.762731,0.007153,1.752231,0.692855,1.00e-04
82,1.000,1.000,22.767611,22.166644,0.007139,1.756038,0.685624,20.334105,19.602128,0.007174,1.758557,0.692774,1.00e-04
83,1.000,1.000,22.255380,21.625094,0.007160,1.758349,0.686145,20.086317,19.342347,0.007192,1.757501,0.692591,1.00e-04
84,1.000,1.000,21.824221,21.174372,0.007177,1.755199,0.686203,19.879925,19.130960,0.007211,1.751613,0.692596,1.00e-04
85,1.000,1.000,21.549734,20.891745,0.007200,1.748870,0.686188,19.567804,18.807261,0.007232,1.746743,0.692597,1.00e-04
86,1.000,1.000,21.487185,20.831275,0.007219,1.743366,0.688358,19.356783,18.591667,0.007252,1.740173,0.692911,1.00e-04
87,1.000,1.000,20.817302,20.129375,0.007240,1.740208,0.686412,19.198591,18.422927,0.007273,1.742382,0.692771,1.00e-04
88,1.000,1.000,20.729867,20.031307,0.007260,1.746332,0.684246,18.966171,18.166928,0.007292,1.753713,0.692691,1.00e-04
89,1.000,1.000,20.501249,19.782605,0.007276,1.754227,0.686948,18.859646,18.055356,0.007309,1.753133,0.692756,1.00e-04
90,1.000,1.000,20.265707,19.540499,0.007297,1.748414,0.686162,18.643970,17.837287,0.007325,1.744164,0.692660,1.00e-04
91,1.000,1.000,19.790865,19.048556,0.007310,1.740469,0.686935,18.416954,17.603603,0.007345,1.738860,0.692736,1.00e-04
92,1.000,1.000,19.480697,18.721429,0.007334,1.741108,0.686397,18.135586,17.305105,0.007362,1.741170,0.692610,1.00e-04
93,1.000,1.000,19.298303,18.528619,0.007351,1.741944,0.685674,18.030364,17.194124,0.007380,1.741375,0.692569,1.00e-04
94,1.000,1.000,19.105177,18.327581,0.007367,1.739660,0.686005,17.755371,16.911377,0.007399,1.734639,0.692524,1.00e-04
95,1.000,1.000,19.038372,18.266571,0.007388,1.730285,0.686823,17.530253,16.681662,0.007416,1.727365,0.692641,1.00e-04
96,1.000,1.000,18.724485,17.937256,0.007402,1.729187,0.686666,17.395769,16.534513,0.007431,1.732945,0.692486,1.00e-04
97,1.000,1.000,18.488996,17.685834,0.007420,1.732712,0.686582,17.247418,16.377766,0.007449,1.733517,0.692464,1.00e-04
98,1.000,1.000,18.225822,17.403462,0.007437,1.737982,0.687720,17.003119,16.116692,0.007467,1.737417,0.692429,1.00e-04
99,1.000,1.000,17.921297,17.081599,0.007456,1.739309,0.687032,17.010708,16.124240,0.007484,1.737845,0.692353,1.00e-04
100,1.000,1.000,17.845478,17.009333,0.007470,1.731749,0.687071,16.715883,15.828487,0.007500,1.723247,0.692184,1.00e-04
101,1.000,1.000,17.537532,16.697009,0.007489,1.719785,0.689280,16.545726,15.650002,0.007516,1.722599,0.692322,1.00e-04
102,1.000,1.000,17.308197,16.445606,0.007502,1.729842,0.687919,16.423399,15.508136,0.007532,1.735686,0.692246,1.00e-04
