group_label,target,group_str,roi,n_subjects_group,n_roi,mean_delta,sem,p_value,n_consistent,consistency_threshold,consistent_direction,p_value_fdr,significant_fdr,classification
VIM (1st tx),vim,VIM_first,lh_Ca,5,5,-0.00059954412281512,0.0004496855290242674,0.2533125303304287,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_GPe,5,5,0.00037261433899401993,0.0007185573323755041,0.6314340371316083,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_GPi,5,5,0.00029101045802232,0.0005582707820537094,0.6297066694747718,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,lh_Pu,5,5,-0.00015659108757971998,0.000602379030942227,0.8077311719188197,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_STH,5,5,-0.00051505863666532,0.000516997354882781,0.37551393721511517,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_cerebellum_dentate,5,5,0.00013923570513726003,0.00066010537436065,0.8432522729274561,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_cerebellum_motor,5,5,2.6937946677240125e-05,0.0012026773272612288,0.9832030186230291,3,4,False,0.9832030186230291,False,neither
VIM (1st tx),vim,VIM_first,lh_paracentral_smooth3mm,5,5,0.00032598692923782005,0.0007762055397855649,0.696081224417117,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_postcentral_smooth3mm,5,5,-0.00036674095317722,0.0004966977331051131,0.5012731816040654,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_precentral_smooth3mm,5,5,-0.0006550546735524809,0.0005055142484643376,0.2647541886557575,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,lh_superiorfrontal_smooth3mm,5,5,-0.0006977031007408999,0.000822821656011191,0.4442307751236542,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_vim,5,5,0.0004535623360425199,0.0008195821756526594,0.6094595197026214,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,lh_zi,5,5,-0.00012077502906321833,0.0005010658616156869,0.8213780636471406,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_Ca,5,5,-0.00015625823289160375,0.00043342658555910364,0.736691387912561,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_GPe,5,5,0.00046003609895704,0.00019449755830461146,0.0772192594841059,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_GPi,5,5,0.0007889876142143801,0.0007005604141948206,0.3230655510757495,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_Pu,5,5,0.00027501732110976,0.0007030662165401294,0.7156149673880486,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_STH,5,5,0.00117301624268294,0.0006902692660459892,0.16447818253600566,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_cerebellum_dentate,5,5,0.00053883381187912,0.0009435757760621174,0.5985153444474307,4,4,True,0.9403270988513427,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_cerebellum_motor,5,5,0.00027723349630831996,0.0005129988250872253,0.617594388169719,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_paracentral_smooth3mm,5,5,0.00013827849179506003,0.0009222562891738451,0.8880723231682988,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_postcentral_smooth3mm,5,5,-9.266212582587996e-05,0.00070047701374612,0.90114680306587,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_precentral_smooth3mm,5,5,0.0004890318959951598,0.0013619709422305686,0.7377001032533083,3,4,False,0.9403270988513427,False,neither
VIM (1st tx),vim,VIM_first,rh_superiorfrontal_smooth3mm,5,5,0.000283747818321,0.0006535507036052875,0.6865624382016414,3,4,False,0.9403270988513427,False,neither
VIM (2nd tx),vim,ZI_first,lh_Ca,10,10,0.0005024276673793696,0.0004210633388206871,0.26328243812888313,6,8,False,0.6318778515093195,False,neither
VIM (2nd tx),vim,ZI_first,lh_GPe,10,10,0.00049702036194502,0.0003606383147196684,0.2014435579819159,7,8,False,0.6318778515093195,False,neither
VIM (2nd tx),vim,ZI_first,lh_GPi,10,10,-0.00016151051968337,0.0007135770612221286,0.825994430256825,5,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,lh_Pu,10,10,0.00023444909602400994,0.0008052870370230173,0.7775444405993179,7,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,lh_STH,10,10,0.00040961829945442875,0.00040184494969656547,0.33465734089221844,7,8,False,0.7301614710375675,False,neither
