epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1356.099770,6772.474187,1.659577,3.584336,0.695160,46.116516,222.859661,1.547973,3.440870,0.683518,1.00e-04
2,1.000,1.000,481.121592,2398.030701,1.458516,3.341498,0.694290,41.152499,198.696171,1.131156,3.201526,0.683410,1.00e-04
3,1.000,1.000,287.021719,1428.337834,0.862070,3.115792,0.698219,34.627007,166.670143,0.720025,2.994601,0.687566,1.00e-04
4,1.000,1.000,210.740001,1047.294820,0.701445,2.916830,0.696721,31.812772,152.890541,0.630224,2.802210,0.685222,1.00e-04
5,1.000,1.000,184.980988,918.698193,0.668876,2.739471,0.699596,30.126226,144.621120,0.634868,2.629623,0.686381,1.00e-04
6,1.000,1.000,172.404207,856.013191,0.649756,2.567163,0.697729,28.215816,135.264805,0.623802,2.447615,0.685714,1.00e-04
7,1.000,1.000,169.683266,842.603649,0.631722,2.395892,0.696263,25.969494,124.225597,0.610509,2.270825,0.685134,1.00e-04
8,1.000,1.000,158.364564,786.196057,0.615607,2.230706,0.695108,24.772734,118.429296,0.598198,2.091482,0.686174,1.00e-04
9,1.000,1.000,146.601490,727.557734,0.600883,2.071566,0.694315,23.549302,112.497478,0.588617,1.922392,0.684505,1.00e-04
10,1.000,1.000,146.194635,725.683196,0.591781,1.919716,0.694620,22.548404,107.653311,0.582951,1.759392,0.686591,1.00e-04
11,1.000,1.000,127.088472,630.309174,0.583156,1.775378,0.693659,21.316625,101.681183,0.577076,1.584299,0.685141,1.00e-04
12,1.000,1.000,127.662977,633.326357,0.577537,1.638441,0.693134,20.326875,96.899252,0.575030,1.416381,0.685927,1.00e-04
13,1.000,1.000,120.237590,596.330524,0.572704,1.511151,0.693391,19.683143,93.856779,0.571472,1.243619,0.685961,1.00e-04
