epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,272.492288,1354.438045,1.659339,3.583194,0.695216,10.456396,44.562598,1.547296,3.438082,0.683501,1.00e-04
2,1.000,1.000,97.343796,479.149376,1.455528,3.336860,0.694302,9.349385,39.693560,1.125290,3.194587,0.683371,1.00e-04
3,1.000,1.000,58.315345,284.822444,0.855050,3.106411,0.698204,7.948594,33.294776,0.716441,2.981788,0.687491,1.00e-04
4,1.000,1.000,43.074253,208.985634,0.699399,2.899505,0.696680,7.335094,30.527455,0.628628,2.778823,0.685141,1.00e-04
5,1.000,1.000,37.917807,183.413204,0.667349,2.710281,0.699550,6.961902,28.839970,0.632680,2.592213,0.686162,1.00e-04
6,1.000,1.000,35.357205,170.823595,0.648268,2.524021,0.697535,6.543835,26.959989,0.622215,2.394907,0.685516,1.00e-04
7,1.000,1.000,34.771556,168.105780,0.630089,2.337859,0.696013,6.060741,24.753508,0.608890,2.201713,0.684899,1.00e-04
8,1.000,1.000,32.450770,156.702583,0.613763,2.158112,0.694847,5.784241,23.575212,0.596419,2.006072,0.685875,1.00e-04
9,1.000,1.000,30.074308,145.010774,0.598858,1.985782,0.694032,5.505828,22.385341,0.586742,1.819837,0.684305,1.00e-04
10,1.000,1.000,29.933165,144.476249,0.589642,1.822035,0.694474,5.276008,21.413074,0.580978,1.641373,0.686153,1.00e-04
11,1.000,1.000,26.083016,125.390980,0.580886,1.669921,0.693323,4.997945,20.224028,0.575013,1.451342,0.684836,1.00e-04
12,1.000,1.000,26.160165,125.924956,0.575146,1.529091,0.692908,4.773717,19.281939,0.572934,1.271394,0.685579,1.00e-04
13,1.000,1.000,24.629388,118.401237,0.570263,1.403338,0.693025,4.612062,18.658931,0.569219,1.089772,0.685597,1.00e-04
14,1.000,1.000,24.844029,119.574887,0.565183,1.302318,0.694438,4.446067,17.987978,0.565278,0.934179,0.685725,1.00e-04
15,1.000,1.000,22.555800,108.221710,0.560227,1.219108,0.694488,4.261636,17.219154,0.561115,0.783889,0.686005,1.00e-04
16,1.000,1.000,21.180762,101.428782,0.556735,1.151868,0.691606,4.122360,16.660078,0.559637,0.646469,0.686404,1.00e-04
17,1.000,1.000,20.536409,98.263190,0.555514,1.098775,0.691140,3.948595,15.902211,0.561497,0.534152,0.686278,1.00e-04
18,1.000,1.000,20.359826,97.404670,0.557192,1.062076,0.693797,3.874807,15.615494,0.563719,0.446492,0.687082,1.00e-04
19,1.000,1.000,19.194758,91.600660,0.557753,1.038171,0.694301,3.746889,15.040069,0.561033,0.387408,0.686484,1.00e-04
20,1.000,1.000,18.294574,87.122446,0.555676,1.024718,0.692508,3.650526,14.580162,0.560011,0.367105,0.686338,1.00e-04
21,1.000,1.000,17.697237,84.150197,0.556614,1.019530,0.689960,3.594419,14.277474,0.566396,0.381471,0.686688,1.00e-04
22,1.000,1.000,16.306964,77.193169,0.557724,1.021802,0.690530,3.523948,13.887918,0.562893,0.423982,0.686236,1.00e-04
23,1.000,1.000,16.849299,79.892184,0.557350,1.032777,0.691045,3.464576,13.508277,0.565730,0.502182,0.686672,1.00e-04
