epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1355.998503,6771.968088,1.659423,3.584273,0.695156,46.093968,222.747551,1.547460,3.440724,0.683527,1.00e-04
2,1.000,1.000,480.751486,2396.181483,1.457533,3.341275,0.694279,41.108828,198.479347,1.129926,3.201155,0.683427,1.00e-04
3,1.000,1.000,286.640462,1426.433240,0.860716,3.115404,0.698230,34.597945,166.525688,0.719476,2.994386,0.687545,1.00e-04
4,1.000,1.000,210.228068,1044.735910,0.700709,2.916812,0.696721,31.839465,153.024399,0.629608,2.802306,0.685252,1.00e-04
5,1.000,1.000,184.524816,916.417669,0.668135,2.739577,0.699671,30.140600,144.693275,0.634138,2.630212,0.686344,1.00e-04
6,1.000,1.000,171.779921,852.892288,0.648922,2.567734,0.697662,28.243002,135.401428,0.622936,2.448200,0.685612,1.00e-04
7,1.000,1.000,169.124098,839.808320,0.630779,2.396343,0.696257,25.933410,124.045420,0.609578,2.271563,0.685122,1.00e-04
8,1.000,1.000,157.974884,784.248319,0.614566,2.231021,0.695124,24.795612,118.543943,0.597155,2.092314,0.686161,1.00e-04
9,1.000,1.000,146.131053,725.206413,0.599722,2.072007,0.694277,23.565073,112.577011,0.587484,1.922706,0.684541,1.00e-04
10,1.000,1.000,145.588703,722.654707,0.590524,1.919771,0.694626,22.510879,107.466576,0.581807,1.760020,0.686498,1.00e-04
11,1.000,1.000,126.249999,626.117694,0.581942,1.775824,0.693632,21.367173,101.933563,0.575902,1.585799,0.685148,1.00e-04
12,1.000,1.000,126.823400,629.125202,0.576342,1.640852,0.693648,20.351597,97.018581,0.573826,1.422101,0.685868,1.00e-04
13,1.000,1.000,119.470087,592.490035,0.571445,1.515987,0.693240,19.734502,94.107040,0.570089,1.251350,0.686007,1.00e-04
14,1.000,1.000,121.200710,601.250054,0.566255,1.409250,0.694496,19.017817,90.677971,0.565953,1.100788,0.686093,1.00e-04
15,1.000,1.000,109.746577,544.079448,0.561040,1.315502,0.694222,18.164228,86.564314,0.561654,0.948890,0.686570,1.00e-04
16,1.000,1.000,102.784134,509.358056,0.557449,1.235705,0.692363,17.612608,83.951054,0.560015,0.804548,0.686856,1.00e-04
17,1.000,1.000,99.806694,494.543307,0.556207,1.167906,0.691512,16.848083,80.253510,0.561814,0.677604,0.686870,1.00e-04
18,1.000,1.000,99.048940,490.796281,0.557925,1.115449,0.693760,16.487046,78.552834,0.564417,0.567603,0.687594,1.00e-04
19,1.000,1.000,92.942939,460.300804,0.558390,1.076769,0.694682,15.933501,75.877867,0.561560,0.479236,0.687210,1.00e-04
20,1.000,1.000,88.748193,439.359104,0.556344,1.051305,0.693551,15.475193,73.640047,0.560535,0.426588,0.687198,1.00e-04
21,1.000,1.000,85.658665,423.941344,0.557044,1.034747,0.690046,15.142709,71.993650,0.566620,0.402924,0.687586,1.00e-04
22,1.000,1.000,78.451576,387.906891,0.558287,1.027477,0.691304,14.786091,70.209126,0.563750,0.408746,0.687209,1.00e-04
23,1.000,1.000,81.214865,401.722544,0.557913,1.028819,0.691260,14.334545,67.909958,0.566163,0.446811,0.687449,1.00e-04
24,1.000,1.000,75.113825,371.195810,0.562489,1.041417,0.692350,14.035691,66.327766,0.569906,0.530261,0.687629,1.00e-04
