epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,3218.966715,3251.265599,0.005369,0.203450,0.701711,313.226364,316.166519,0.005130,0.211671,0.687119,1.00e-04
2,1.000,1.000,1726.832975,1744.048568,0.005192,0.214945,0.693204,248.937389,251.215305,0.004880,0.224797,0.684712,1.00e-04
3,1.000,1.000,1248.747726,1261.120455,0.004970,0.228893,0.694085,216.596470,218.533195,0.004595,0.239620,0.683056,1.00e-04
4,1.000,1.000,850.630038,858.967100,0.004742,0.243413,0.692749,194.235878,195.932774,0.004539,0.253657,0.681841,1.00e-04
5,1.000,1.000,523.200886,528.216796,0.004935,0.257004,0.693027,181.775436,183.332748,0.004743,0.267179,0.681626,1.00e-04
6,1.000,1.000,444.148904,448.351445,0.005150,0.271629,0.695878,167.027180,168.418480,0.004886,0.284074,0.682092,1.00e-04
7,1.000,1.000,379.853599,383.388371,0.005236,0.289885,0.693572,157.911537,159.190872,0.005096,0.303712,0.685621,1.00e-04
8,1.000,1.000,313.381017,316.223373,0.005294,0.310771,0.697133,148.661953,149.823318,0.005209,0.328135,0.685063,1.00e-04
9,1.000,1.000,295.370678,298.005342,0.005290,0.336557,0.695849,143.171890,144.250072,0.005261,0.355823,0.684836,1.00e-04
10,1.000,1.000,269.206178,271.546638,0.005283,0.366470,0.696890,139.973686,140.985939,0.005273,0.389438,0.684300,1.00e-04
11,1.000,1.000,236.816681,238.796609,0.005266,0.399870,0.695201,130.428415,131.313255,0.005270,0.420444,0.683884,1.00e-04
12,1.000,1.000,233.988498,235.907256,0.005257,0.432471,0.695975,126.032785,126.834705,0.005282,0.458945,0.683699,1.00e-04
13,1.000,1.000,216.620387,218.323578,0.005265,0.472614,0.694332,121.828133,122.547144,0.005292,0.499374,0.683590,1.00e-04
14,1.000,1.000,214.173750,215.810931,0.005266,0.513897,0.695571,115.205177,115.813839,0.005295,0.542817,0.684263,1.00e-04
15,1.000,1.000,204.577795,206.075557,0.005267,0.556389,0.695081,111.511295,112.043550,0.005290,0.581910,0.685212,1.00e-04
16,1.000,1.000,185.938213,187.205354,0.005262,0.598712,0.697536,107.526762,107.968102,0.005286,0.632597,0.683812,1.00e-04
17,1.000,1.000,175.988400,177.105777,0.005253,0.648030,0.692760,103.690395,104.048660,0.005279,0.676927,0.683971,1.00e-04
18,1.000,1.000,174.136430,175.189708,0.005239,0.693434,0.693121,99.592407,99.861908,0.005278,0.724295,0.684328,1.00e-04
19,1.000,1.000,164.227538,165.135394,0.005254,0.738740,0.694311,97.621143,97.827394,0.005281,0.767623,0.684996,1.00e-04
20,1.000,1.000,161.067512,161.897906,0.005258,0.784279,0.694251,94.096497,94.218969,0.005292,0.815788,0.684622,1.00e-04
21,1.000,1.000,154.905972,155.628053,0.005261,0.830349,0.694440,91.883909,91.942890,0.005299,0.856920,0.684834,1.00e-04
22,1.000,1.000,149.979049,150.609119,0.005266,0.872615,0.691660,88.937757,88.922970,0.005306,0.900922,0.684997,1.00e-04
23,1.000,1.000,149.087815,149.667317,0.005267,0.914163,0.693615,87.284803,87.210505,0.005318,0.943723,0.685342,1.00e-04
24,1.000,1.000,139.724958,140.166746,0.005281,0.957305,0.692006,83.891890,83.741112,0.005324,0.985918,0.685618,1.00e-04
25,1.000,1.000,137.634692,138.014738,0.005292,0.997922,0.691720,82.237871,82.033072,0.005334,1.023225,0.685639,1.00e-04
26,1.000,1.000,131.457922,131.737022,0.005299,1.036457,0.693211,79.837400,79.567583,0.005342,1.063987,0.685822,1.00e-04
27,1.000,1.000,131.414683,131.654205,0.005311,1.075574,0.694183,78.598394,78.279848,0.005350,1.100187,0.686079,1.00e-04
28,1.000,1.000,130.924110,131.121612,0.005311,1.112631,0.694848,76.850416,76.474998,0.005360,1.139394,0.686119,1.00e-04
29,1.000,1.000,125.217251,125.320002,0.005324,1.149739,0.693575,75.207968,74.784184,0.005368,1.171165,0.686054,1.00e-04
30,1.000,1.000,122.219694,122.259253,0.005332,1.182669,0.691275,73.017828,72.537497,0.005388,1.205562,0.686296,1.00e-04
31,1.000,1.000,118.668383,118.639503,0.005353,1.215185,0.694075,71.779139,71.259638,0.005406,1.232201,0.686677,1.00e-04
