epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2926.399362,3251.266017,0.007467,0.203450,0.701931,284.815365,316.166512,0.006995,0.211671,0.687097,1.00e-04
2,1.000,1.000,1569.911330,1744.047029,0.006985,0.214945,0.693226,226.369926,251.215054,0.006224,0.224797,0.684703,1.00e-04
3,1.000,1.000,1135.286611,1261.117443,0.006143,0.228893,0.694084,196.969501,218.534267,0.005228,0.239620,0.683022,1.00e-04
4,1.000,1.000,773.365735,858.969941,0.004966,0.243413,0.692703,176.641098,195.933903,0.004570,0.253657,0.681812,1.00e-04
5,1.000,1.000,475.699608,528.216519,0.004609,0.257004,0.692990,165.311954,183.332588,0.004465,0.267179,0.681553,1.00e-04
6,1.000,1.000,403.834201,448.351117,0.004621,0.271629,0.695769,151.903992,168.418037,0.004324,0.284074,0.681996,1.00e-04
7,1.000,1.000,345.383476,383.387900,0.004593,0.289885,0.693417,143.617867,159.191158,0.004371,0.303711,0.685476,1.00e-04
8,1.000,1.000,284.954244,316.223047,0.004579,0.310770,0.696942,135.208921,149.823483,0.004421,0.328135,0.684937,1.00e-04
9,1.000,1.000,268.582125,298.006208,0.004536,0.336556,0.695649,130.218155,144.250515,0.004436,0.355822,0.684672,1.00e-04
10,1.000,1.000,244.795288,271.546405,0.004495,0.366469,0.696630,127.310663,140.986427,0.004418,0.389437,0.684137,1.00e-04
11,1.000,1.000,215.350514,238.796826,0.004443,0.399870,0.694940,118.633295,131.313965,0.004391,0.420444,0.683754,1.00e-04
12,1.000,1.000,212.779714,235.907725,0.004410,0.432470,0.695735,114.636244,126.834322,0.004385,0.458944,0.683575,1.00e-04
13,1.000,1.000,196.989866,218.323507,0.004395,0.472613,0.694060,110.814024,122.546997,0.004378,0.499375,0.683455,1.00e-04
14,1.000,1.000,194.765565,215.810663,0.004372,0.513899,0.695304,104.793850,115.814415,0.004366,0.542819,0.684136,1.00e-04
