epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,292.874420,325.129246,0.005369,0.203420,0.701973,28.717438,31.615221,0.005130,0.211570,0.687094,1.00e-04
2,1.000,1.000,157.238071,174.411962,0.005192,0.214793,0.693229,22.880271,25.117033,0.004880,0.224533,0.684700,1.00e-04
3,1.000,1.000,113.785108,126.117252,0.004970,0.228560,0.694084,19.950776,21.847897,0.004595,0.239147,0.683014,1.00e-04
4,1.000,1.000,77.602403,85.900324,0.004742,0.242862,0.692694,17.929756,19.588717,0.004539,0.252938,0.681807,1.00e-04
5,1.000,1.000,47.849967,52.828537,0.004935,0.256160,0.692986,16.807765,18.328794,0.004743,0.266030,0.681540,1.00e-04
6,1.000,1.000,40.678689,44.845833,0.005150,0.270256,0.695750,15.477773,16.834692,0.004886,0.282174,0.681981,1.00e-04
7,1.000,1.000,34.847861,38.349962,0.005236,0.287604,0.693392,14.665087,15.912694,0.005096,0.300591,0.685457,1.00e-04
8,1.000,1.000,28.826102,31.639207,0.005294,0.307068,0.696902,13.839909,14.973264,0.005209,0.323105,0.684892,1.00e-04
9,1.000,1.000,27.211758,29.822097,0.005290,0.330613,0.695592,13.363686,14.419254,0.005261,0.347955,0.684632,1.00e-04
10,1.000,1.000,24.858286,27.180358,0.005283,0.357279,0.696580,13.094161,14.090398,0.005273,0.377388,0.684089,1.00e-04
11,1.000,1.000,21.942569,23.912268,0.005266,0.385893,0.694867,12.250659,13.127994,0.005270,0.402610,0.683730,1.00e-04
12,1.000,1.000,21.727116,23.646505,0.005257,0.412177,0.695714,11.883505,12.689134,0.005282,0.433529,0.683553,1.00e-04
13,1.000,1.000,20.180771,21.896783,0.005265,0.443915,0.694049,11.515265,12.249307,0.005292,0.464203,0.683432,1.00e-04
14,1.000,1.000,19.994150,21.658607,0.005266,0.474594,0.695305,10.953254,11.593742,0.005295,0.495226,0.684184,1.00e-04
15,1.000,1.000,19.152558,20.694397,0.005267,0.503756,0.694811,10.627201,11.206869,0.005290,0.519718,0.685115,1.00e-04
16,1.000,1.000,17.487904,18.818097,0.005262,0.530149,0.697464,10.303515,10.816140,0.005286,0.550954,0.683732,1.00e-04
17,1.000,1.000,16.619998,17.825767,0.005253,0.558698,0.692512,9.948361,10.398993,0.005279,0.573470,0.683938,1.00e-04
18,1.000,1.000,16.485784,17.654288,0.005239,0.581004,0.693066,9.628116,10.021558,0.005278,0.595018,0.684481,1.00e-04
19,1.000,1.000,15.606945,16.658522,0.005254,0.600168,0.693957,9.442166,9.798136,0.005280,0.611771,0.684977,1.00e-04
20,1.000,1.000,15.369933,16.377915,0.005257,0.617424,0.693979,9.145282,9.451996,0.005291,0.628060,0.684700,1.00e-04
21,1.000,1.000,14.826236,15.760025,0.005260,0.631160,0.694351,8.930927,9.204062,0.005298,0.637778,0.685028,1.00e-04
22,1.000,1.000,14.389771,15.265475,0.005265,0.641062,0.691500,8.709507,8.948389,0.005305,0.647391,0.685310,1.00e-04
23,1.000,1.000,14.328083,15.189767,0.005266,0.647973,0.693780,8.524144,8.735892,0.005316,0.653897,0.685491,1.00e-04
24,1.000,1.000,13.531346,14.298014,0.005280,0.654664,0.691840,8.274720,8.452960,0.005323,0.659640,0.685904,1.00e-04
25,1.000,1.000,13.344082,14.084484,0.005291,0.660141,0.691591,8.180176,8.344328,0.005332,0.663214,0.685888,1.00e-04
26,1.000,1.000,12.814975,13.493637,0.005297,0.662918,0.693085,7.895191,8.025562,0.005340,0.665284,0.686230,1.00e-04
27,1.000,1.000,12.840026,13.521516,0.005309,0.662823,0.693435,7.866111,7.997487,0.005348,0.661005,0.686564,1.00e-04
28,1.000,1.000,12.805955,13.487324,0.005309,0.659100,0.693958,7.630650,7.739449,0.005357,0.657427,0.686401,1.00e-04
29,1.000,1.000,12.289318,12.918718,0.005321,0.653765,0.692942,7.494316,7.595133,0.005365,0.650236,0.686549,1.00e-04
30,1.000,1.000,12.023901,12.629008,0.005329,0.648754,0.691200,7.336169,7.423408,0.005384,0.646152,0.687193,1.00e-04
31,1.000,1.000,11.700615,12.275765,0.005349,0.642495,0.693681,7.191801,7.270690,0.005402,0.638463,0.687014,1.00e-04
32,1.000,1.000,11.458633,12.014581,0.005361,0.634953,0.692282,7.051932,7.120427,0.005411,0.633332,0.686787,1.00e-04
33,1.000,1.000,11.208766,11.741440,0.005375,0.630529,0.691574,6.959893,7.024387,0.005414,0.627067,0.687118,1.00e-04
34,1.000,1.000,11.196980,11.735563,0.005377,0.623466,0.690157,6.883483,6.948482,0.005416,0.618069,0.687132,1.00e-04
35,1.000,1.000,10.910676,11.424537,0.005378,0.616223,0.691526,6.739978,6.791790,0.005422,0.615286,0.687305,1.00e-04
36,1.000,1.000,10.605628,11.088528,0.005386,0.613226,0.692023,6.686061,6.737255,0.005430,0.609902,0.687329,1.00e-04
37,1.000,1.000,10.858171,11.375264,0.005395,0.607043,0.692390,6.539389,6.579869,0.005440,0.604328,0.687149,1.00e-04
38,1.000,1.000,10.181722,10.628318,0.005408,0.602459,0.691561,6.515028,6.556474,0.005450,0.600603,0.687536,1.00e-04
39,1.000,1.000,10.209896,10.662109,0.005418,0.599851,0.692566,6.396402,6.425662,0.005465,0.599622,0.687286,1.00e-04
40,1.000,1.000,10.220976,10.678535,0.005430,0.595802,0.691864,6.271121,6.293515,0.005476,0.592524,0.687575,1.00e-04
41,1.000,1.000,9.720862,10.128094,0.005445,0.590650,0.690917,6.262672,6.289299,0.005482,0.587349,0.687555,1.00e-04
42,1.000,1.000,9.719895,10.134026,0.005448,0.583516,0.692047,6.129281,6.149841,0.005487,0.578577,0.687664,1.00e-04
43,1.000,1.000,9.840047,10.275405,0.005454,0.575647,0.691917,6.092596,6.115451,0.005494,0.572174,0.687897,1.00e-04
44,1.000,1.000,9.373080,9.763525,0.005465,0.568645,0.692098,6.001902,6.022563,0.005506,0.564239,0.688252,1.00e-04
45,1.000,1.000,9.214745,9.594654,0.005471,0.561468,0.693124,5.937640,5.957964,0.005520,0.557466,0.687847,1.00e-04
46,1.000,1.000,9.314178,9.710845,0.005488,0.555882,0.691845,5.860256,5.873932,0.005532,0.555459,0.688259,1.00e-04
47,1.000,1.000,9.279406,9.675177,0.005501,0.552977,0.691162,5.816267,5.830999,0.005542,0.549523,0.688099,1.00e-04
48,1.000,1.000,8.906765,9.266530,0.005507,0.547557,0.691311,5.717750,5.725359,0.005552,0.545678,0.688206,1.00e-04
49,1.000,1.000,8.936861,9.303738,0.005520,0.543623,0.692680,5.749703,5.763383,0.005559,0.543160,0.688117,1.00e-04
50,1.000,1.000,8.767800,9.118373,0.005528,0.541182,0.692255,5.638730,5.643804,0.005569,0.539397,0.688372,1.00e-04
51,1.000,1.000,8.558701,8.888251,0.005535,0.538993,0.691994,5.653530,5.661233,0.005583,0.538394,0.688418,1.00e-04
52,1.000,1.000,8.723393,9.073848,0.005551,0.536220,0.693353,5.543293,5.541667,0.005596,0.535467,0.688360,1.00e-04
53,1.000,1.000,8.317285,8.624637,0.005566,0.534448,0.690998,5.496778,5.490426,0.005609,0.535019,0.688287,1.00e-04
54,1.000,1.000,8.297329,8.603698,0.005581,0.533213,0.690862,5.451352,5.444109,0.005624,0.530833,0.688427,1.00e-04
55,1.000,1.000,8.130704,8.422767,0.005600,0.528925,0.691415,5.403509,5.394414,0.005634,0.527358,0.688437,1.00e-04
56,1.000,1.000,8.157036,8.455642,0.005596,0.525374,0.690847,5.376065,5.368728,0.005644,0.522559,0.688270,1.00e-04
57,1.000,1.000,8.082482,8.377774,0.005613,0.520352,0.691166,5.269206,5.254678,0.005653,0.517810,0.688799,1.00e-04
58,1.000,1.000,7.816011,8.085959,0.005628,0.516122,0.690736,5.263979,5.252750,0.005660,0.513975,0.688322,1.00e-04
59,1.000,1.000,7.702643,7.964741,0.005633,0.511331,0.691088,5.198451,5.184743,0.005667,0.509170,0.688287,1.00e-04
60,1.000,1.000,7.780545,8.056386,0.005636,0.506337,0.690226,5.169840,5.162086,0.005677,0.500002,0.688511,1.00e-04
61,1.000,1.000,7.637824,7.907511,0.005647,0.496564,0.690746,5.123456,5.118226,0.005692,0.492321,0.688419,1.00e-04
62,1.000,1.000,7.561578,7.829322,0.005663,0.489966,0.691232,5.072563,5.068078,0.005705,0.485863,0.688817,1.00e-04
63,1.000,1.000,7.540614,7.813103,0.005675,0.482972,0.690398,5.047529,5.045653,0.005715,0.480470,0.688755,1.00e-04
64,1.000,1.000,7.403701,7.664208,0.005683,0.479682,0.690850,4.956070,4.944769,0.005724,0.479719,0.688794,1.00e-04
65,1.000,1.000,7.182441,7.419110,0.005697,0.478932,0.690768,4.960394,4.952893,0.005732,0.476389,0.688813,1.00e-04
66,1.000,1.000,7.205560,7.448962,0.005703,0.474826,0.690189,4.921967,4.913373,0.005739,0.473188,0.688966,1.00e-04
67,1.000,1.000,7.099429,7.333851,0.005711,0.471829,0.691769,4.834628,4.816425,0.005749,0.473077,0.689038,1.00e-04
68,1.000,1.000,7.086859,7.319009,0.005720,0.472794,0.690887,4.858951,4.843714,0.005756,0.472837,0.688741,1.00e-04
69,1.000,1.000,6.928972,7.144366,0.005724,0.471980,0.691087,4.801510,4.782389,0.005765,0.470311,0.688916,1.00e-04
70,1.000,1.000,6.846434,7.057198,0.005733,0.467544,0.690063,4.780151,4.765185,0.005776,0.463758,0.689030,1.00e-04
71,1.000,1.000,6.894657,7.116970,0.005748,0.461205,0.691256,4.765989,4.754711,0.005787,0.458460,0.689265,1.00e-04
72,1.000,1.000,6.816396,7.034856,0.005755,0.456472,0.690215,4.747541,4.736820,0.005799,0.455853,0.689160,1.00e-04
73,1.000,1.000,6.789209,7.006280,0.005770,0.454584,0.692391,4.703503,4.691355,0.005810,0.452412,0.688838,1.00e-04
74,1.000,1.000,6.670336,6.878062,0.005782,0.450919,0.690497,4.641984,4.625745,0.005820,0.449629,0.689092,1.00e-04
75,1.000,1.000,6.589026,6.791562,0.005787,0.447130,0.689954,4.580070,4.560988,0.005830,0.445596,0.688975,1.00e-04
76,1.000,1.000,6.518901,6.715790,0.005805,0.444841,0.691090,4.586460,4.569826,0.005841,0.443833,0.689101,1.00e-04
77,1.000,1.000,6.462575,6.655945,0.005808,0.442128,0.690826,4.560772,4.542580,0.005848,0.442589,0.688564,1.00e-04
78,1.000,1.000,6.524751,6.724842,0.005819,0.442308,0.690789,4.540252,4.518205,0.005854,0.444107,0.689026,1.00e-04
79,1.000,1.000,6.166294,6.325900,0.005826,0.442875,0.691534,4.500539,4.477468,0.005865,0.440710,0.689004,1.00e-04
80,1.000,1.000,6.274976,6.450993,0.005836,0.438639,0.690544,4.455450,4.430519,0.005876,0.437534,0.689133,1.00e-04
81,1.000,1.000,6.161934,6.328704,0.005846,0.435310,0.690608,4.417896,4.393150,0.005886,0.433165,0.689159,1.00e-04
82,1.000,1.000,6.240710,6.420212,0.005854,0.431295,0.690852,4.394972,4.371529,0.005897,0.429253,0.689612,1.00e-04
83,1.000,1.000,5.968281,6.122080,0.005868,0.426917,0.689024,4.363132,4.341309,0.005906,0.424110,0.689393,1.00e-04
84,1.000,1.000,5.961993,6.120126,0.005874,0.421552,0.691973,4.319163,4.297568,0.005916,0.418972,0.689515,1.00e-04
85,1.000,1.000,5.914317,6.072299,0.005889,0.416542,0.690595,4.317796,4.301322,0.005927,0.413685,0.689556,1.00e-04
86,1.000,1.000,6.022379,6.197389,0.005897,0.411486,0.690842,4.272152,4.255134,0.005936,0.409157,0.689482,1.00e-04
87,1.000,1.000,5.752919,5.902400,0.005905,0.407145,0.690132,4.248702,4.232501,0.005947,0.405717,0.689539,1.00e-04
88,1.000,1.000,5.766148,5.919842,0.005917,0.404494,0.689211,4.227772,4.210274,0.005958,0.404704,0.689297,1.00e-04
89,1.000,1.000,5.783501,5.939241,0.005925,0.404201,0.690707,4.222272,4.204249,0.005969,0.404590,0.689441,1.00e-04
90,1.000,1.000,5.740654,5.892644,0.005944,0.403125,0.691130,4.207847,4.189209,0.005978,0.403604,0.689356,1.00e-04
91,1.000,1.000,5.548769,5.680323,0.005944,0.402195,0.691540,4.145350,4.121797,0.005990,0.401582,0.689174,1.00e-04
92,1.000,1.000,5.527171,5.658436,0.005966,0.400129,0.690935,4.158136,4.137647,0.006002,0.399935,0.689113,1.00e-04
93,1.000,1.000,5.522048,5.654975,0.005977,0.398059,0.689391,4.107913,4.085255,0.006013,0.396492,0.689292,1.00e-04
94,1.000,1.000,5.542100,5.680704,0.005982,0.394612,0.689323,4.093965,4.072537,0.006023,0.393750,0.688867,1.00e-04
95,1.000,1.000,5.558635,5.702087,0.005999,0.391537,0.689752,4.064198,4.042520,0.006031,0.390641,0.689257,1.00e-04
96,1.000,1.000,5.519700,5.660957,0.006000,0.389396,0.689824,4.060334,4.039222,0.006039,0.389664,0.689024,1.00e-04
97,1.000,1.000,5.455098,5.590995,0.006011,0.387493,0.690487,4.008621,3.984956,0.006047,0.386488,0.688793,1.00e-04
