epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2926.553711,3251.439580,0.005369,0.203456,0.701931,284.817085,316.170258,0.005130,0.211689,0.687100,1.00e-04
2,1.000,1.000,1570.481993,1744.682840,0.005192,0.214969,0.693229,226.550705,251.417213,0.004881,0.224829,0.684706,1.00e-04
3,1.000,1.000,1135.954362,1261.860523,0.004971,0.228931,0.694085,197.055557,218.630466,0.004596,0.239667,0.683025,1.00e-04
4,1.000,1.000,773.803910,859.456973,0.004742,0.243467,0.692706,176.872665,196.191166,0.004540,0.253726,0.681814,1.00e-04
5,1.000,1.000,475.952899,528.497562,0.004936,0.257081,0.692986,165.442165,183.476891,0.004744,0.267265,0.681556,1.00e-04
6,1.000,1.000,404.012468,448.548569,0.005151,0.271718,0.695776,152.147137,168.687515,0.004887,0.284197,0.682015,1.00e-04
7,1.000,1.000,345.711558,383.751644,0.005236,0.290032,0.693444,143.697334,159.278568,0.005097,0.303881,0.685421,1.00e-04
8,1.000,1.000,285.180743,316.473815,0.005295,0.310953,0.696910,135.310783,149.935669,0.005210,0.328351,0.684866,1.00e-04
9,1.000,1.000,268.988179,298.456390,0.005290,0.336796,0.695592,130.379749,144.428932,0.005262,0.356120,0.684705,1.00e-04
10,1.000,1.000,245.032696,271.809061,0.005284,0.366810,0.696623,127.383617,141.066315,0.005274,0.389759,0.684114,1.00e-04
11,1.000,1.000,215.716924,239.202825,0.005267,0.400169,0.694920,118.748833,131.441137,0.005271,0.420774,0.683774,1.00e-04
12,1.000,1.000,213.221894,236.397778,0.005258,0.432878,0.695775,114.813299,127.029573,0.005283,0.459523,0.683580,1.00e-04
13,1.000,1.000,197.299285,218.665784,0.005266,0.473267,0.694048,111.044765,122.801693,0.005293,0.500154,0.683444,1.00e-04
14,1.000,1.000,195.348651,216.456821,0.005267,0.514725,0.695233,105.045441,116.092001,0.005296,0.543852,0.684110,1.00e-04
15,1.000,1.000,186.588366,206.680372,0.005268,0.557567,0.694841,101.476671,112.087158,0.005291,0.583308,0.684938,1.00e-04
16,1.000,1.000,169.484654,187.633440,0.005263,0.600160,0.696821,97.931173,108.097040,0.005287,0.634113,0.683778,1.00e-04
17,1.000,1.000,160.440148,177.535004,0.005254,0.649628,0.692540,94.357162,104.081224,0.005280,0.678795,0.683946,1.00e-04
18,1.000,1.000,158.705330,175.561677,0.005240,0.695361,0.692839,90.716230,99.987810,0.005279,0.726689,0.684289,1.00e-04
19,1.000,1.000,149.747772,165.562764,0.005256,0.741278,0.694085,88.772690,97.784666,0.005283,0.770272,0.684934,1.00e-04
20,1.000,1.000,146.823680,162.268208,0.005259,0.786848,0.693997,85.559017,94.165682,0.005294,0.818537,0.684575,1.00e-04
21,1.000,1.000,141.171341,155.941337,0.005263,0.833314,0.694215,83.584162,91.929596,0.005301,0.860308,0.684825,1.00e-04
22,1.000,1.000,136.613308,150.834434,0.005268,0.876041,0.691428,81.033911,89.051394,0.005308,0.904867,0.685043,1.00e-04
23,1.000,1.000,135.906667,150.006524,0.005270,0.918571,0.693426,79.412907,87.206646,0.005320,0.948452,0.685341,1.00e-04
24,1.000,1.000,127.310453,140.412040,0.005283,0.961876,0.691765,76.307718,83.714258,0.005326,0.990594,0.685609,1.00e-04
25,1.000,1.000,125.488705,138.346968,0.005295,1.002787,0.691629,74.954580,82.172783,0.005336,1.028563,0.685656,1.00e-04
26,1.000,1.000,119.877357,132.072962,0.005301,1.041798,0.693058,72.693758,79.619949,0.005344,1.069349,0.685809,1.00e-04
27,1.000,1.000,119.832114,131.983665,0.005313,1.080719,0.693889,71.634405,78.407249,0.005352,1.104947,0.686132,1.00e-04
28,1.000,1.000,119.410540,131.478734,0.005313,1.117168,0.694493,69.971060,76.520271,0.005362,1.143758,0.686117,1.00e-04
29,1.000,1.000,114.292151,125.754877,0.005327,1.154047,0.693309,68.592861,74.957247,0.005371,1.175440,0.686076,1.00e-04
30,1.000,1.000,111.598020,122.728780,0.005335,1.186903,0.691067,66.626028,72.737705,0.005391,1.209567,0.686316,1.00e-04
31,1.000,1.000,108.275536,119.004665,0.005356,1.219048,0.693767,65.378378,71.325470,0.005409,1.235469,0.686656,1.00e-04
32,1.000,1.000,105.497112,115.892985,0.005368,1.243676,0.692886,64.387820,70.194082,0.005417,1.266260,0.686393,1.00e-04
33,1.000,1.000,103.278557,113.396945,0.005380,1.274755,0.691882,63.342858,69.005602,0.005420,1.293675,0.686317,1.00e-04
34,1.000,1.000,103.151208,113.229859,0.005382,1.300561,0.689881,62.078256,67.577009,0.005422,1.317119,0.686638,1.00e-04
35,1.000,1.000,99.754646,109.430892,0.005384,1.325318,0.692139,61.374713,66.769873,0.005429,1.342538,0.686586,1.00e-04
36,1.000,1.000,97.032204,106.382810,0.005394,1.348455,0.692107,61.083473,66.425835,0.005439,1.362931,0.686913,1.00e-04
37,1.000,1.000,99.482952,109.085571,0.005404,1.368677,0.692684,59.170545,64.278137,0.005450,1.385194,0.686435,1.00e-04
