run_name,epoch,val_total,val_recon,val_cls
sweep_BATCH_SIZE_12,1627,3.463384,2.774368,0.525496
sweep_BATCH_SIZE_16,1982,3.538132,2.861899,0.488651
sweep_BATCH_SIZE_4,819,2.351195,1.555519,0.591785
sweep_BATCH_SIZE_8,1346,2.775,2.027774,0.520679
sweep_BETA_0.01,2666,1.608511,0.718172,0.665236
sweep_BETA_0.05,2229,2.181375,1.315341,0.542729
sweep_BETA_0.1,1627,3.463384,2.774368,0.525496
sweep_EPSILON_0.5,1627,3.452127,2.765439,0.529134
sweep_EPSILON_1.0,1627,3.463384,2.774368,0.525496
sweep_EPSILON_2.0,1627,3.462727,2.768061,0.531824
sweep_LAMBDA_NOISE_0.001,2513,10.621836,9.289744,0.677163
sweep_LAMBDA_NOISE_0.01,1627,3.463384,2.774368,0.525496
sweep_LAMBDA_NOISE_0.1,644,1.068852,0.808152,0.575275
sweep_WEIGHT_DECAY_0.001,1740,3.634779,2.985119,0.544107
sweep_WEIGHT_DECAY_0.01,1658,3.745466,3.110086,0.568824
sweep_WEIGHT_DECAY_0.05,1627,3.463384,2.774368,0.525496
