epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1818.766119,2020.553908,0.005154,0.214470,0.700103,194.321148,215.594845,0.004569,0.237158,0.682331,1.00e-04
2,1.000,1.000,533.089362,591.985424,0.004966,0.253968,0.694586,158.306629,175.536243,0.004846,0.279172,0.683947,1.00e-04
3,1.000,1.000,305.370456,338.909304,0.005241,0.308459,0.697582,131.410597,145.579300,0.005149,0.351433,0.683042,1.00e-04
4,1.000,1.000,226.357732,251.028260,0.005261,0.397941,0.694210,114.411644,126.587362,0.005254,0.455633,0.682226,1.00e-04
5,1.000,1.000,191.529725,212.216399,0.005247,0.511469,0.699235,101.016159,111.576210,0.005241,0.582881,0.682630,1.00e-04
6,1.000,1.000,170.205870,188.380784,0.005226,0.654268,0.696250,92.638414,102.116613,0.005257,0.733746,0.683642,1.00e-04
7,1.000,1.000,150.590461,166.439696,0.005251,0.800902,0.692025,82.937422,91.194584,0.005312,0.876812,0.683856,1.00e-04
8,1.000,1.000,133.400300,147.206815,0.005288,0.933509,0.692527,77.532843,85.066296,0.005338,0.999880,0.684843,1.00e-04
9,1.000,1.000,120.976613,133.278364,0.005330,1.057786,0.692842,72.127417,78.944492,0.005404,1.115643,0.684335,1.00e-04
10,1.000,1.000,113.434926,124.789596,0.005371,1.166750,0.693844,66.520573,72.601805,0.005416,1.228518,0.684118,1.00e-04
11,1.000,1.000,101.538127,111.472064,0.005390,1.265787,0.692121,62.698191,68.278366,0.005452,1.304814,0.684227,1.00e-04
12,1.000,1.000,97.061008,106.427208,0.005440,1.335643,0.695496,59.585526,64.751709,0.005506,1.372923,0.684047,1.00e-04
13,1.000,1.000,89.770720,98.263117,0.005482,1.399467,0.694629,56.004885,60.718678,0.005546,1.427359,0.684608,1.00e-04
14,1.000,1.000,87.885779,96.120103,0.005523,1.447993,0.695242,54.115055,58.566512,0.005579,1.479588,0.685460,1.00e-04
15,1.000,1.000,83.394395,91.082915,0.005561,1.495082,0.691949,51.953931,56.128738,0.005613,1.516056,0.685649,1.00e-04
16,1.000,1.000,78.460285,85.562392,0.005603,1.532868,0.695110,50.676261,54.670380,0.005666,1.554687,0.686020,1.00e-04
17,1.000,1.000,73.222379,79.708791,0.005637,1.567173,0.689400,49.036188,52.818708,0.005689,1.584034,0.686018,1.00e-04
18,1.000,1.000,71.944682,78.259621,0.005669,1.596268,0.692814,47.662015,51.262547,0.005741,1.613230,0.686504,1.00e-04
19,1.000,1.000,67.835305,73.664734,0.005724,1.625448,0.689915,46.971065,50.467023,0.005773,1.641013,0.686380,1.00e-04
20,1.000,1.000,66.095715,71.709953,0.005756,1.647098,0.691914,44.820976,48.058031,0.005814,1.660995,0.686201,1.00e-04
21,1.000,1.000,63.091130,68.353354,0.005795,1.665310,0.691183,43.888777,47.004377,0.005856,1.678765,0.686782,1.00e-04
22,1.000,1.000,60.250076,65.177105,0.005839,1.684854,0.690605,42.557136,45.511030,0.005899,1.692429,0.687133,1.00e-04
23,1.000,1.000,58.736544,63.479590,0.005881,1.700445,0.692214,41.436275,44.245785,0.005940,1.712248,0.686995,1.00e-04
24,1.000,1.000,54.994250,59.308015,0.005915,1.713825,0.692727,40.677074,43.389516,0.005978,1.724923,0.687003,1.00e-04
25,1.000,1.000,53.633857,57.784740,0.005965,1.725673,0.691170,39.081998,41.610512,0.006027,1.731548,0.687194,1.00e-04
26,1.000,1.000,51.714396,55.644829,0.006008,1.732574,0.693283,38.236153,40.663518,0.006062,1.738647,0.687484,1.00e-04
27,1.000,1.000,50.812795,54.634724,0.006048,1.740882,0.693086,37.535564,39.876508,0.006106,1.747225,0.687114,1.00e-04
28,1.000,1.000,49.295647,52.943413,0.006090,1.746300,0.694265,36.292050,38.491236,0.006149,1.750856,0.686343,1.00e-04
29,1.000,1.000,47.152304,50.557035,0.006131,1.751551,0.690597,35.832583,37.975959,0.006187,1.755620,0.685952,1.00e-04
30,1.000,1.000,45.911215,49.172509,0.006175,1.757256,0.688702,35.479555,37.579880,0.006235,1.759464,0.685357,1.00e-04
31,1.000,1.000,44.505919,47.608296,0.006218,1.759695,0.691317,34.362357,36.334629,0.006274,1.763360,0.685217,1.00e-04
32,1.000,1.000,42.882111,45.799490,0.006255,1.764339,0.690370,33.938839,35.860387,0.006307,1.767023,0.684946,1.00e-04
