epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,2214.092640,2330.370996,0.005263,0.210925,0.696796,245.465542,258.118587,0.004880,0.225007,0.689728,1.00e-04
2,1.000,1.000,829.562647,872.941885,0.004717,0.240880,0.690992,203.940758,214.378559,0.005022,0.254668,0.688414,1.00e-04
3,1.000,1.000,383.845428,403.735250,0.005112,0.271158,0.689842,176.581955,185.542171,0.005302,0.291914,0.690824,1.00e-04
4,1.000,1.000,285.472423,300.138415,0.005277,0.317016,0.695106,155.948738,163.768379,0.005301,0.346494,0.691429,1.00e-04
5,1.000,1.000,229.828441,241.501422,0.005266,0.381261,0.697844,140.452106,147.381268,0.005231,0.421454,0.690986,1.00e-04
6,1.000,1.000,210.403491,220.972098,0.005208,0.463594,0.692778,125.832081,131.899410,0.005194,0.513810,0.691735,1.00e-04
7,1.000,1.000,190.875944,200.321605,0.005220,0.558840,0.691278,112.818829,118.100689,0.005232,0.614316,0.691999,1.00e-04
8,1.000,1.000,169.062427,177.255026,0.005252,0.663876,0.689677,103.228203,107.902613,0.005230,0.716949,0.692963,1.00e-04
9,1.000,1.000,156.066378,163.468019,0.005256,0.770835,0.689505,94.199364,98.282667,0.005265,0.832839,0.692643,1.00e-04
10,1.000,1.000,147.689883,154.543182,0.005287,0.878358,0.688017,86.479305,90.049620,0.005279,0.939511,0.692301,1.00e-04
11,1.000,1.000,131.930479,137.856262,0.005288,0.976309,0.690298,83.675724,87.020161,0.005293,1.017796,0.692809,1.00e-04
12,1.000,1.000,125.902615,131.435130,0.005314,1.052282,0.690562,75.826366,78.678234,0.005333,1.097221,0.692446,1.00e-04
13,1.000,1.000,116.752462,121.724683,0.005345,1.130969,0.690345,70.995861,73.514515,0.005375,1.176169,0.692051,1.00e-04
14,1.000,1.000,114.954478,119.758074,0.005374,1.204876,0.691460,67.709126,69.982840,0.005389,1.248051,0.693166,1.00e-04
15,1.000,1.000,109.839816,114.305867,0.005389,1.273451,0.686903,65.117520,67.195580,0.005403,1.307321,0.692639,1.00e-04
16,1.000,1.000,100.910801,104.851088,0.005426,1.328909,0.693028,61.566875,63.401762,0.005467,1.363504,0.693596,1.00e-04
17,1.000,1.000,94.801575,98.368355,0.005461,1.381032,0.689414,60.453207,62.182848,0.005480,1.410114,0.693731,1.00e-04
18,1.000,1.000,94.706430,98.221809,0.005472,1.427443,0.688868,57.818677,59.365481,0.005507,1.454285,0.693356,1.00e-04
19,1.000,1.000,89.091570,92.273973,0.005510,1.464915,0.687831,55.953159,57.366875,0.005528,1.489135,0.693990,1.00e-04
20,1.000,1.000,86.388569,89.392003,0.005532,1.501701,0.685930,53.447388,54.699080,0.005558,1.519316,0.692622,1.00e-04
21,1.000,1.000,82.908426,85.699743,0.005552,1.530531,0.687830,51.534162,52.657702,0.005585,1.546718,0.693149,1.00e-04
22,1.000,1.000,79.107890,81.673927,0.005588,1.555693,0.688870,50.442385,51.481012,0.005625,1.574161,0.692534,1.00e-04
23,1.000,1.000,78.528806,81.036813,0.005620,1.583135,0.690306,48.925925,49.857779,0.005654,1.601149,0.691497,1.00e-04
24,1.000,1.000,72.666118,74.840391,0.005641,1.608404,0.688111,47.066515,47.877087,0.005672,1.624531,0.691786,1.00e-04
25,1.000,1.000,71.256826,73.333965,0.005674,1.631231,0.689998,45.939440,46.669388,0.005713,1.645815,0.691445,1.00e-04
26,1.000,1.000,68.892964,70.824356,0.005711,1.652581,0.688992,45.820964,46.525596,0.005741,1.664863,0.691475,1.00e-04
27,1.000,1.000,67.958386,69.827788,0.005739,1.665188,0.692142,43.744107,44.328770,0.005768,1.675462,0.692113,1.00e-04
28,1.000,1.000,66.124304,67.885272,0.005765,1.677240,0.688839,41.814728,42.285665,0.005802,1.687653,0.691330,1.00e-04
29,1.000,1.000,63.140728,64.735996,0.005796,1.685803,0.690274,41.594734,42.048175,0.005828,1.693502,0.692116,1.00e-04
30,1.000,1.000,61.960949,63.485197,0.005824,1.694738,0.689564,40.836629,41.239227,0.005865,1.704426,0.691695,1.00e-04
31,1.000,1.000,60.502861,61.941118,0.005859,1.704048,0.687778,40.290743,40.655890,0.005894,1.713096,0.692167,1.00e-04
32,1.000,1.000,57.963479,59.257797,0.005881,1.714213,0.689656,39.489560,39.801563,0.005918,1.724082,0.691549,1.00e-04
33,1.000,1.000,57.366756,58.619698,0.005912,1.724165,0.689410,38.148086,38.380919,0.005947,1.732577,0.692265,1.00e-04
34,1.000,1.000,55.992824,57.165479,0.005939,1.732223,0.687310,38.030416,38.249166,0.005976,1.740448,0.692160,1.00e-04
35,1.000,1.000,54.446931,55.530320,0.005970,1.739991,0.689291,36.765867,36.911044,0.006008,1.747457,0.691666,1.00e-04
36,1.000,1.000,52.736765,53.723439,0.006001,1.746581,0.690910,36.070139,36.172337,0.006034,1.753833,0.690916,1.00e-04
37,1.000,1.000,52.828215,53.814571,0.006023,1.751789,0.689035,35.317451,35.374578,0.006060,1.759266,0.690893,1.00e-04
38,1.000,1.000,50.183294,51.025810,0.006052,1.756492,0.687168,35.193668,35.240727,0.006087,1.762763,0.691416,1.00e-04
39,1.000,1.000,49.509532,50.311786,0.006081,1.761168,0.688993,34.766549,34.786416,0.006120,1.767492,0.690481,1.00e-04
40,1.000,1.000,48.435696,49.177878,0.006112,1.764614,0.690475,34.596356,34.602143,0.006151,1.772614,0.689841,1.00e-04
41,1.000,1.000,46.523916,47.160862,0.006143,1.769375,0.687107,33.588128,33.537918,0.006175,1.775485,0.690655,1.00e-04
42,1.000,1.000,46.029688,46.638116,0.006168,1.771834,0.687547,33.398955,33.337210,0.006201,1.777067,0.690059,1.00e-04
43,1.000,1.000,45.904657,46.504214,0.006190,1.774121,0.687168,31.922991,31.780258,0.006222,1.780337,0.690293,1.00e-04
44,1.000,1.000,44.002089,44.499059,0.006221,1.776551,0.687003,31.944673,31.803958,0.006261,1.779438,0.689980,1.00e-04
45,1.000,1.000,42.983618,43.428264,0.006255,1.775076,0.690076,31.079625,30.890609,0.006300,1.782171,0.689991,1.00e-04
46,1.000,1.000,42.577422,42.999478,0.006293,1.776283,0.689436,31.476244,31.308513,0.006328,1.781722,0.690201,1.00e-04
47,1.000,1.000,41.886330,42.269417,0.006320,1.778936,0.687809,30.375846,30.146599,0.006353,1.785310,0.689958,1.00e-04
48,1.000,1.000,40.299430,40.596173,0.006344,1.781669,0.689056,30.706062,30.492146,0.006380,1.787330,0.689979,1.00e-04
49,1.000,1.000,39.946007,40.224869,0.006370,1.780953,0.688472,29.206631,28.917184,0.006400,1.783924,0.689978,1.00e-04
50,1.000,1.000,39.031570,39.262651,0.006393,1.780566,0.688838,29.038785,28.739036,0.006431,1.785312,0.690914,1.00e-04
51,1.000,1.000,38.577653,38.786579,0.006421,1.778772,0.689434,28.302321,27.968974,0.006457,1.780110,0.691146,1.00e-04
52,1.000,1.000,38.071416,38.257415,0.006450,1.775192,0.686254,28.093021,27.748827,0.006486,1.779978,0.689875,1.00e-04
53,1.000,1.000,36.935569,37.060952,0.006477,1.775769,0.690621,28.269971,27.931501,0.006513,1.783574,0.689242,1.00e-04
54,1.000,1.000,36.290079,36.377250,0.006509,1.780153,0.687272,26.930275,26.517216,0.006544,1.787632,0.689073,1.00e-04
55,1.000,1.000,35.595918,35.644638,0.006539,1.782011,0.687810,27.424023,27.037110,0.006569,1.787441,0.689187,1.00e-04
56,1.000,1.000,34.909733,34.919104,0.006556,1.785155,0.689184,26.185854,25.725580,0.006592,1.795599,0.689430,1.00e-04
57,1.000,1.000,34.572468,34.558582,0.006584,1.790711,0.687715,26.046550,25.576002,0.006618,1.798520,0.689338,1.00e-04
58,1.000,1.000,33.117097,33.024073,0.006612,1.793203,0.688087,25.763796,25.279023,0.006642,1.797850,0.689143,1.00e-04
59,1.000,1.000,32.733940,32.622708,0.006635,1.791139,0.689651,25.316356,24.807613,0.006668,1.798242,0.689186,1.00e-04
60,1.000,1.000,32.607202,32.485109,0.006662,1.795503,0.685834,24.743584,24.196146,0.006698,1.806737,0.689642,1.00e-04
