epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1963.458059,2066.565886,0.005343,0.189880,0.700533,335.069351,352.456871,0.005563,0.205644,0.693818,1.00e-04
2,1.000,1.000,772.586180,812.983972,0.005196,0.222589,0.700507,226.006073,237.621571,0.005445,0.237405,0.697543,1.00e-04
3,1.000,1.000,400.971554,421.778912,0.005699,0.254311,0.691656,204.358177,214.801647,0.006284,0.269325,0.695818,1.00e-04
4,1.000,1.000,263.568211,277.105217,0.006579,0.291761,0.696763,195.173355,205.085636,0.006895,0.316360,0.698193,1.00e-04
5,1.000,1.000,218.051200,229.137271,0.006944,0.346915,0.692583,169.350208,177.840797,0.007101,0.378789,0.697147,1.00e-04
6,1.000,1.000,181.518659,190.612667,0.007064,0.416030,0.693780,147.881195,155.167389,0.007194,0.453188,0.696214,1.00e-04
7,1.000,1.000,160.373465,168.276034,0.007149,0.494388,0.695509,131.725842,138.080940,0.007252,0.533978,0.695655,1.00e-04
8,1.000,1.000,137.470484,144.080030,0.007200,0.581806,0.698060,113.256527,118.548048,0.007295,0.625353,0.697299,1.00e-04
9,1.000,1.000,123.628035,129.416998,0.007239,0.674081,0.692699,100.825333,105.371883,0.007328,0.716133,0.695126,1.00e-04
10,1.000,1.000,109.967549,114.943330,0.007289,0.768208,0.693301,96.713694,100.955046,0.007410,0.804829,0.695458,1.00e-04
11,1.000,1.000,97.608398,101.847186,0.007331,0.854713,0.692615,84.324541,87.826046,0.007449,0.892641,0.694286,1.00e-04
12,1.000,1.000,88.427065,92.098460,0.007393,0.938945,0.690168,77.937162,81.017540,0.007504,0.977493,0.695080,1.00e-04
13,1.000,1.000,80.132410,83.283548,0.007419,1.022529,0.691812,72.046574,74.742840,0.007552,1.051578,0.694054,1.00e-04
14,1.000,1.000,74.833365,77.630772,0.007479,1.097159,0.694531,64.646133,66.874600,0.007583,1.129851,0.694017,1.00e-04
15,1.000,1.000,69.825829,72.289465,0.007533,1.167290,0.695134,61.766008,63.781838,0.007658,1.190798,0.694591,1.00e-04
16,1.000,1.000,65.600867,67.784821,0.007586,1.224480,0.696516,57.848160,59.597957,0.007717,1.250572,0.694548,1.00e-04
17,1.000,1.000,62.868838,64.850665,0.007663,1.283055,0.690498,54.924928,56.463237,0.007760,1.308122,0.695305,1.00e-04
18,1.000,1.000,59.415825,61.161039,0.007722,1.337785,0.692131,52.650578,54.022906,0.007829,1.354290,0.696067,1.00e-04
