epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,115.576452,2297.920654,0.005273,0.210882,0.704850,12.693609,240.651733,0.004842,0.227527,0.683583,1.00e-04
2,1.000,1.000,45.783533,902.227121,0.004849,0.242919,0.694514,10.029151,187.358234,0.004631,0.260094,0.682108,1.00e-04
3,1.000,1.000,21.307095,412.683868,0.005117,0.276043,0.693519,8.566743,158.033211,0.005000,0.299509,0.684060,1.00e-04
4,1.000,1.000,15.622266,298.880520,0.005266,0.325800,0.696512,7.788276,142.430580,0.005198,0.359051,0.682668,1.00e-04
5,1.000,1.000,13.227606,250.793947,0.005250,0.392195,0.703196,7.158395,129.760899,0.005231,0.436855,0.682363,1.00e-04
6,1.000,1.000,12.077924,227.841354,0.005224,0.480259,0.696402,6.626832,119.021900,0.005236,0.531178,0.683069,1.00e-04
7,1.000,1.000,10.737391,201.022202,0.005224,0.580491,0.691574,6.087963,108.131910,0.005266,0.636612,0.683446,1.00e-04
8,1.000,1.000,9.541811,177.023377,0.005241,0.686302,0.690595,5.686702,99.998556,0.005268,0.740428,0.683673,1.00e-04
9,1.000,1.000,8.834890,162.748418,0.005258,0.793889,0.692117,5.310363,92.379807,0.005323,0.853696,0.682549,1.00e-04
10,1.000,1.000,8.287973,151.625152,0.005300,0.903217,0.696094,4.997244,86.021421,0.005336,0.965407,0.681722,1.00e-04
11,1.000,1.000,7.462442,135.119643,0.005295,1.010297,0.690190,4.708227,80.150023,0.005341,1.054548,0.681822,1.00e-04
12,1.000,1.000,7.222722,130.224382,0.005318,1.095388,0.691019,4.524716,76.400778,0.005379,1.137827,0.681597,1.00e-04
13,1.000,1.000,6.730942,120.298341,0.005352,1.172985,0.691693,4.279004,71.415085,0.005411,1.210008,0.681557,1.00e-04
14,1.000,1.000,6.686486,119.201439,0.005376,1.239965,0.699102,4.206539,69.887642,0.005424,1.278724,0.682052,1.00e-04
15,1.000,1.000,6.384741,113.226954,0.005400,1.297637,0.692885,4.015692,66.027971,0.005447,1.320605,0.682095,1.00e-04
16,1.000,1.000,6.004467,105.507710,0.005431,1.351006,0.696063,3.923160,64.114448,0.005490,1.378959,0.682331,1.00e-04
