epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1410.996288,1763.198283,0.000000,0.200687,1.385443,145.081980,180.792591,0.000000,0.212101,1.391116,1.00e-04
2,1.000,1.000,259.924388,324.339062,0.000000,0.220808,1.382445,72.791019,90.403559,0.000000,0.237149,1.392250,1.00e-04
3,1.000,1.000,118.730058,147.819845,0.000000,0.246819,1.383626,58.188357,72.120050,0.000000,0.267240,1.392628,1.00e-04
4,1.000,1.000,82.680709,102.724884,0.000000,0.279563,1.385753,53.464824,66.179079,0.000000,0.302544,1.397623,1.00e-04
5,1.000,1.000,66.896408,82.956536,0.000000,0.317365,1.386432,50.911404,62.947157,0.000000,0.343191,1.395614,1.00e-04
6,1.000,1.000,56.372611,69.760898,0.000000,0.359846,1.380070,47.430431,58.550402,0.000000,0.388504,1.396532,1.00e-04
7,1.000,1.000,53.988489,66.732187,0.000000,0.408633,1.379159,46.679708,57.560441,0.000000,0.440579,1.394464,1.00e-04
8,1.000,1.000,50.443799,62.242971,0.000000,0.465440,1.385348,44.211775,54.415849,0.000000,0.499989,1.395527,1.00e-04
9,1.000,1.000,47.735889,58.793674,0.000000,0.529091,1.388380,43.741085,53.763106,0.000000,0.564204,1.396178,1.00e-04
10,1.000,1.000,45.544482,55.985297,0.000000,0.598551,1.387014,42.406693,52.024831,0.000000,0.634648,1.395547,1.00e-04
11,1.000,1.000,44.194295,54.223783,0.000000,0.672718,1.385468,41.765191,51.148898,0.000000,0.708892,1.394790,1.00e-04
12,1.000,1.000,43.083568,52.755596,0.000000,0.753146,1.382872,41.664614,50.940237,0.000000,0.791608,1.395676,1.00e-04
13,1.000,1.000,42.114327,51.456383,0.000000,0.840156,1.385475,41.637228,50.826345,0.000000,0.871665,1.394090,1.00e-04
14,1.000,1.000,41.000769,49.984976,0.000000,0.919626,1.385431,40.753235,49.647909,0.000000,0.944681,1.395802,1.00e-04
15,1.000,1.000,40.394311,49.152976,0.000000,0.993163,1.386993,40.525201,49.295018,0.000000,1.012649,1.395329,1.00e-04
16,1.000,1.000,39.457912,47.912460,0.000000,1.063116,1.387254,40.058759,48.647532,0.000000,1.077463,1.393811,1.00e-04
17,1.000,1.000,38.835735,47.075149,0.000000,1.123442,1.384309,39.138129,47.441153,0.000000,1.132657,1.395406,1.00e-04
18,1.000,1.000,38.081422,46.076911,0.000000,1.179088,1.383110,39.057885,47.289427,0.000000,1.184332,1.394384,1.00e-04
19,1.000,1.000,37.215592,44.942500,0.000000,1.231379,1.382437,38.186745,46.154432,0.000000,1.230336,1.394649,1.00e-04
20,1.000,1.000,36.645725,44.185475,0.000000,1.276008,1.382692,37.518844,45.275449,0.000000,1.274660,1.393788,1.00e-04
21,1.000,1.000,35.760012,43.036333,0.000000,1.317557,1.384495,37.024215,44.618559,0.000000,1.313215,1.393973,1.00e-04
22,1.000,1.000,34.975927,42.020209,0.000000,1.354140,1.382234,36.553369,43.995995,0.000000,1.347239,1.393905,1.00e-04
23,1.000,1.000,34.371937,41.234081,0.000000,1.385053,1.383142,35.817497,43.044801,0.000000,1.378629,1.393763,1.00e-04
24,1.000,1.000,33.778823,40.460739,0.000000,1.416205,1.386333,35.194432,42.238045,0.000000,1.406621,1.393499,1.00e-04
25,1.000,1.000,33.116877,39.609308,0.000000,1.441387,1.381600,35.225212,42.254713,0.000000,1.428596,1.392820,1.00e-04
26,1.000,1.000,32.634879,38.986708,0.000000,1.460817,1.384293,35.062444,42.031710,0.000000,1.448025,1.393273,1.00e-04
27,1.000,1.000,32.069518,38.261912,0.000000,1.479406,1.382316,34.265681,41.014563,0.000000,1.469481,1.392228,1.00e-04
28,1.000,1.000,31.505292,37.537217,0.000000,1.498592,1.383223,33.954748,40.606053,0.000000,1.489443,1.391749,1.00e-04
29,1.000,1.000,30.942041,36.814627,0.000000,1.517095,1.383312,33.360579,39.844082,0.000000,1.508566,1.392300,1.00e-04
30,1.000,1.000,30.567695,36.329887,0.000000,1.534880,1.379404,32.857025,39.200827,0.000000,1.522699,1.391026,1.00e-04
31,1.000,1.000,30.081571,35.707888,0.000000,1.548843,1.380928,32.546147,38.798324,0.000000,1.537056,1.389212,1.00e-04
32,1.000,1.000,29.652552,35.158285,0.000000,1.562017,1.381547,32.319471,38.497151,0.000000,1.554906,1.389127,1.00e-04
33,1.000,1.000,29.234118,34.619740,0.000000,1.576623,1.385140,31.829636,37.870505,0.000000,1.569561,1.387908,1.00e-04
34,1.000,1.000,28.898135,34.190080,0.000000,1.587191,1.381590,30.913105,36.715864,0.000000,1.578421,1.388383,1.00e-04
35,1.000,1.000,28.468354,33.640770,0.000000,1.598722,1.383801,31.715111,37.704152,0.000000,1.592885,1.387405,1.00e-04
36,1.000,1.000,28.002172,33.045836,0.000000,1.611529,1.381397,31.214828,37.066959,0.000000,1.604961,1.386453,1.00e-04
37,1.000,1.000,27.699316,32.657118,0.000000,1.621639,1.381549,30.636357,36.332702,0.000000,1.616158,1.386340,1.00e-04
38,1.000,1.000,27.399868,32.272942,0.000000,1.631561,1.381329,30.796248,36.520381,0.000000,1.628413,1.386059,1.00e-04
39,1.000,1.000,27.197247,32.009056,0.000000,1.642485,1.380070,29.568705,34.976834,0.000000,1.637546,1.386002,1.00e-04
40,1.000,1.000,26.736039,31.424846,0.000000,1.650599,1.378412,29.212802,34.523701,0.000000,1.645737,1.386260,1.00e-04
41,1.000,1.000,26.349787,30.934119,0.000000,1.657456,1.382635,29.503806,34.879293,0.000000,1.654088,1.385506,1.00e-04
42,1.000,1.000,26.168916,30.700253,0.000000,1.665324,1.382269,29.430738,34.780781,0.000000,1.661226,1.385661,1.00e-04
43,1.000,1.000,25.944149,30.412917,0.000000,1.671898,1.381486,28.444224,33.540740,0.000000,1.668160,1.385519,1.00e-04
44,1.000,1.000,25.678292,30.074688,0.000000,1.677933,1.380974,28.182592,33.207431,0.000000,1.674448,1.385445,1.00e-04
45,1.000,1.000,25.426848,29.755711,0.000000,1.682883,1.379860,27.756688,32.667900,0.000000,1.681933,1.384109,1.00e-04
46,1.000,1.000,25.276368,29.560868,0.000000,1.689671,1.379680,27.852271,32.783955,0.000000,1.685218,1.384660,1.00e-04
47,1.000,1.000,24.820509,28.986567,0.000000,1.694097,1.379887,27.414838,32.228815,0.000000,1.693693,1.384161,1.00e-04
48,1.000,1.000,24.658151,28.777924,0.000000,1.699862,1.379612,26.850214,31.519234,0.000000,1.697702,1.383329,1.00e-04
49,1.000,1.000,24.382007,28.428037,0.000000,1.705108,1.377451,26.819993,31.474971,0.000000,1.704266,1.383015,1.00e-04
50,1.000,1.000,24.069119,28.031218,0.000000,1.710467,1.378852,26.453989,31.013059,0.000000,1.708634,1.383174,1.00e-04
51,1.000,1.000,23.941290,27.868259,0.000000,1.713879,1.377895,26.880645,31.542886,0.000000,1.712299,1.382485,1.00e-04
52,1.000,1.000,23.620875,27.464598,0.000000,1.716742,1.379011,26.343369,30.867338,0.000000,1.716090,1.383133,1.00e-04
