epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1070.447552,1337.583462,0.000000,0.207547,1.073555,110.088285,137.122200,0.000000,0.219864,1.073157,1.00e-04
2,1.000,1.000,240.317699,299.899745,0.000000,0.231655,1.062877,70.691210,87.846928,0.000000,0.249554,1.070101,1.00e-04
3,1.000,1.000,119.187886,148.456355,0.000000,0.260777,1.070891,62.236047,77.247322,0.000000,0.279844,1.071564,1.00e-04
4,1.000,1.000,85.443305,106.241750,0.000000,0.294086,1.073173,51.975396,64.383250,0.000000,0.316497,1.077992,1.00e-04
5,1.000,1.000,69.236323,85.942647,0.000000,0.333198,1.078221,48.209319,59.631268,0.000000,0.361761,1.074480,1.00e-04
6,1.000,1.000,61.489840,76.214532,0.000000,0.379436,1.073323,49.696414,61.438828,0.000000,0.412947,1.074957,1.00e-04
7,1.000,1.000,55.764385,69.006747,0.000000,0.431915,1.067277,48.187415,59.500357,0.000000,0.467555,1.065427,1.00e-04
8,1.000,1.000,52.166216,64.456019,0.000000,0.485779,1.063884,45.715248,56.354930,0.000000,0.522518,1.066448,1.00e-04
9,1.000,1.000,48.674576,60.032538,0.000000,0.544614,1.064267,44.838047,55.192964,0.000000,0.588634,1.063848,1.00e-04
10,1.000,1.000,47.215381,58.139105,0.000000,0.615233,1.059546,43.478663,53.415993,0.000000,0.667176,1.060642,1.00e-04
11,1.000,1.000,45.681041,56.142347,0.000000,0.694569,1.057540,43.918081,53.884047,0.000000,0.749167,1.057540,1.00e-04
12,1.000,1.000,44.069916,54.048555,0.000000,0.775435,1.053617,42.542207,52.082026,0.000000,0.831966,1.055065,1.00e-04
13,1.000,1.000,43.212074,52.892533,0.000000,0.858903,1.054620,41.892302,51.182799,0.000000,0.919108,1.053874,1.00e-04
14,1.000,1.000,42.175122,51.508310,0.000000,0.946648,1.055773,41.733170,50.900309,0.000000,1.002802,1.053401,1.00e-04
15,1.000,1.000,40.819767,49.733520,0.000000,1.028926,1.049041,40.561362,49.352260,0.000000,1.086384,1.052231,1.00e-04
16,1.000,1.000,39.672646,48.215721,0.000000,1.112402,1.050735,40.495462,49.186654,0.000000,1.170339,1.049333,1.00e-04
17,1.000,1.000,38.593883,46.789399,0.000000,1.190851,1.048410,39.601775,47.998828,0.000000,1.241047,1.049370,1.00e-04
18,1.000,1.000,37.713899,45.621222,0.000000,1.258850,1.049205,39.163359,47.390801,0.000000,1.301009,1.049551,1.00e-04
19,1.000,1.000,36.679565,44.269067,0.000000,1.318077,1.049243,38.450756,46.447212,0.000000,1.354009,1.048899,1.00e-04
20,1.000,1.000,36.000196,43.376252,0.000000,1.362300,1.046768,37.617458,45.365407,0.000000,1.394408,1.048023,1.00e-04
21,1.000,1.000,35.403327,42.590756,0.000000,1.400664,1.050949,36.719606,44.211242,0.000000,1.426240,1.048098,1.00e-04
22,1.000,1.000,34.354814,41.249407,0.000000,1.431600,1.050037,35.815844,43.052368,0.000000,1.455294,1.048574,1.00e-04
23,1.000,1.000,33.609000,40.287952,0.000000,1.461484,1.047251,35.778096,42.974133,0.000000,1.486674,1.047249,1.00e-04
24,1.000,1.000,32.804545,39.253285,0.000000,1.491186,1.044839,35.169228,42.188083,0.000000,1.511667,1.047137,1.00e-04
25,1.000,1.000,32.321273,38.623169,0.000000,1.516435,1.047948,34.379468,41.178598,0.000000,1.533886,1.047404,1.00e-04
26,1.000,1.000,31.968583,38.162659,0.000000,1.536051,1.048074,33.973033,40.649966,0.000000,1.554524,1.047206,1.00e-04
27,1.000,1.000,31.525555,37.591164,0.000000,1.554116,1.046650,33.074579,39.511469,0.000000,1.570272,1.045930,1.00e-04
28,1.000,1.000,30.665978,36.499868,0.000000,1.570625,1.047912,32.881623,39.253915,0.000000,1.586464,1.046606,1.00e-04
29,1.000,1.000,30.066750,35.734957,0.000000,1.586544,1.047741,31.909046,38.022137,0.000000,1.602583,1.046348,1.00e-04
30,1.000,1.000,29.628381,35.171103,0.000000,1.602979,1.045573,31.640140,37.669910,0.000000,1.618916,1.045394,1.00e-04
31,1.000,1.000,29.157112,34.569017,0.000000,1.616059,1.045251,31.177809,37.081068,0.000000,1.629782,1.045644,1.00e-04
32,1.000,1.000,28.825913,34.142769,0.000000,1.627901,1.046882,30.934096,36.765298,0.000000,1.640945,1.045509,1.00e-04
33,1.000,1.000,28.418048,33.623250,0.000000,1.638072,1.044952,30.449273,36.152229,0.000000,1.648196,1.044655,1.00e-04
34,1.000,1.000,27.873697,32.935531,0.000000,1.645283,1.045223,29.614403,35.099939,0.000000,1.656961,1.044410,1.00e-04
35,1.000,1.000,27.574574,32.552808,0.000000,1.653272,1.048551,29.492084,34.937851,0.000000,1.666213,1.044160,1.00e-04
36,1.000,1.000,27.239383,32.124654,0.000000,1.663162,1.045650,29.262039,34.643399,0.000000,1.673135,1.044059,1.00e-04
37,1.000,1.000,26.917133,31.716728,0.000000,1.668420,1.045074,29.215494,34.579807,0.000000,1.678453,1.044428,1.00e-04
38,1.000,1.000,26.549260,31.250149,0.000000,1.675427,1.043991,28.445138,33.611432,0.000000,1.683936,1.044212,1.00e-04
39,1.000,1.000,26.164018,30.762969,0.000000,1.680588,1.045861,27.988582,33.032367,0.000000,1.692291,1.044284,1.00e-04
40,1.000,1.000,25.899824,30.426333,0.000000,1.687195,1.045007,27.509390,32.429808,0.000000,1.695920,1.044032,1.00e-04
41,1.000,1.000,25.655703,30.117132,0.000000,1.691212,1.045137,27.497293,32.410680,0.000000,1.700099,1.043341,1.00e-04
42,1.000,1.000,25.203374,29.547872,0.000000,1.695192,1.044615,27.741686,32.712818,0.000000,1.703454,1.043344,1.00e-04
43,1.000,1.000,25.064680,29.370956,0.000000,1.699235,1.042634,27.188170,32.014740,0.000000,1.709630,1.043366,1.00e-04
44,1.000,1.000,24.749555,28.972175,0.000000,1.703872,1.043589,27.072369,31.867707,0.000000,1.711772,1.043927,1.00e-04
45,1.000,1.000,24.572226,28.747507,0.000000,1.706536,1.044953,26.716270,31.418149,0.000000,1.716311,1.043512,1.00e-04
46,1.000,1.000,24.344980,28.460004,0.000000,1.710712,1.042035,26.027897,30.554690,0.000000,1.719196,1.043936,1.00e-04
47,1.000,1.000,23.934231,27.942909,0.000000,1.714024,1.043419,25.768738,30.227899,0.000000,1.722126,1.043590,1.00e-04
48,1.000,1.000,23.724435,27.678643,0.000000,1.716001,1.043595,25.309835,29.652884,0.000000,1.723576,1.043334,1.00e-04
49,1.000,1.000,23.572682,27.487805,0.000000,1.717056,1.043966,25.731343,30.179286,0.000000,1.724043,1.043398,1.00e-04
50,1.000,1.000,23.287263,27.129687,0.000000,1.718711,1.042724,25.235319,29.557393,0.000000,1.725935,1.043277,1.00e-04
51,1.000,1.000,23.102798,26.896886,0.000000,1.720940,1.042681,24.647118,28.818903,0.000000,1.729204,1.043159,1.00e-04
52,1.000,1.000,22.793100,26.507971,0.000000,1.722838,1.042264,24.413106,28.526466,0.000000,1.729084,1.043329,1.00e-04
53,1.000,1.000,22.706600,26.399486,0.000000,1.722983,1.043122,24.022796,28.036994,0.000000,1.730706,1.043176,1.00e-04
54,1.000,1.000,22.446070,26.072508,0.000000,1.724380,1.042794,24.215541,28.276065,0.000000,1.732502,1.043434,1.00e-04
55,1.000,1.000,22.178301,25.735533,0.000000,1.726366,1.043909,23.641289,27.557727,0.000000,1.733024,1.043441,1.00e-04
56,1.000,1.000,22.045888,25.569268,0.000000,1.727283,1.043235,23.803370,27.759873,0.000000,1.733540,1.043197,1.00e-04
57,1.000,1.000,21.867013,25.345664,0.000000,1.727737,1.041459,23.356788,27.200498,0.000000,1.734671,1.043263,1.00e-04
58,1.000,1.000,21.699150,25.134139,0.000000,1.729204,1.042378,23.105996,26.886111,0.000000,1.735545,1.043348,1.00e-04
59,1.000,1.000,21.537570,24.932205,0.000000,1.728622,1.044536,22.813254,26.520490,0.000000,1.735277,1.043203,1.00e-04
60,1.000,1.000,21.353981,24.704357,0.000000,1.727535,1.042334,23.192034,26.996516,0.000000,1.732541,1.043937,1.00e-04
61,1.000,1.000,21.104753,24.394027,0.000000,1.726184,1.042917,23.208614,27.017809,0.000000,1.732129,1.043312,1.00e-04
62,1.000,1.000,21.058543,24.336351,0.000000,1.726354,1.041889,22.858846,26.579634,0.000000,1.733063,1.043440,1.00e-04
63,1.000,1.000,21.027207,24.297363,0.000000,1.726114,1.042124,22.285190,25.863584,0.000000,1.732112,1.043166,1.00e-04
64,1.000,1.000,20.701762,23.891503,0.000000,1.724947,1.043008,21.918152,25.403214,0.000000,1.733610,1.043464,1.00e-04
65,1.000,1.000,20.481822,23.614032,0.000000,1.727221,1.044095,21.941728,25.432343,0.000000,1.734077,1.042960,1.00e-04
66,1.000,1.000,20.297950,23.383519,0.000000,1.727655,1.045052,22.051614,25.568835,0.000000,1.734909,1.043095,1.00e-04
67,1.000,1.000,20.190946,23.249562,0.000000,1.728203,1.043666,21.402988,24.757727,0.000000,1.735287,1.042885,1.00e-04
68,1.000,1.000,20.001632,23.013618,0.000000,1.727190,1.044923,21.369869,24.720002,0.000000,1.731564,1.043083,1.00e-04
69,1.000,1.000,19.870280,22.852428,0.000000,1.724206,1.044864,21.258408,24.583131,0.000000,1.729083,1.043178,1.00e-04
70,1.000,1.000,19.622747,22.546905,0.000000,1.720458,1.044281,21.002175,24.266250,0.000000,1.725793,1.042703,1.00e-04
71,1.000,1.000,19.569092,22.482202,0.000000,1.718154,1.044034,20.941212,24.191499,0.000000,1.724310,1.042827,1.00e-04
72,1.000,1.000,19.364101,22.225332,0.000000,1.719154,1.042563,20.773077,23.978104,0.000000,1.727511,1.042924,1.00e-04
73,1.000,1.000,19.187853,22.003711,0.000000,1.721091,1.040056,20.588286,23.746088,0.000000,1.728590,1.042715,1.00e-04
74,1.000,1.000,19.094089,21.884459,0.000000,1.722193,1.043836,20.224289,23.289513,0.000000,1.730166,1.042727,1.00e-04
75,1.000,1.000,18.983106,21.743065,0.000000,1.725170,1.042593,20.612023,23.770891,0.000000,1.733369,1.043072,1.00e-04
76,1.000,1.000,18.874518,21.604557,0.000000,1.727829,1.043045,20.205142,23.260574,0.000000,1.735055,1.043187,1.00e-04
77,1.000,1.000,18.717578,21.408377,0.000000,1.728616,1.039918,20.053615,23.070986,0.000000,1.735222,1.043237,1.00e-04
78,1.000,1.000,18.566352,21.218779,0.000000,1.729114,1.040185,20.133831,23.170401,0.000000,1.736084,1.043211,1.00e-04
79,1.000,1.000,18.503583,21.138145,0.000000,1.730499,1.043337,19.745374,22.684373,0.000000,1.736579,1.043062,1.00e-04
80,1.000,1.000,18.351562,20.948936,0.000000,1.730328,1.040753,19.669662,22.589314,0.000000,1.737054,1.042840,1.00e-04
81,1.000,1.000,18.070013,20.597183,0.000000,1.729484,1.043393,19.513632,22.397690,0.000000,1.733746,1.042416,1.00e-04
82,1.000,1.000,17.978763,20.487691,0.000000,1.724893,1.043475,19.478867,22.357398,0.000000,1.730593,1.042371,1.00e-04
