epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,42870997.461538,85314983.384615,548.959690,426462.098537,0.787483,26345061.500000,50468988.000000,519.810837,2220615.812500,0.712587,1.00e-03
2,7823936.673077,10575945.500000,514.831667,5071412.437500,0.698812,4742759.875000,5820681.125000,516.026398,3664321.875000,0.694363,9.99e-04
3,3242498.072115,3259240.394231,511.579078,3225243.418269,0.702430,3162692.937500,4047932.500000,512.383965,2276940.312500,0.722508,9.98e-04
4,2571023.661058,2906273.531250,515.107083,2235257.939904,0.718989,2517307.937500,3254694.687500,539.845291,1779380.562500,0.719878,9.96e-04
5,2107976.444712,2553126.228365,545.097259,1662280.793269,0.717241,2306576.937500,3293435.312500,564.076370,1319153.781250,0.726261,9.94e-04
6,1883903.348558,2377812.463942,567.605816,1389425.862981,0.721453,1954110.656250,2703613.750000,621.343033,1203985.468750,0.718956,9.91e-04
7,1507287.944712,1879831.545673,632.619482,1134111.020433,0.711635,1884156.343750,2823361.437500,649.065125,944301.406250,0.706929,9.88e-04
8,1376265.418269,1809370.875000,675.506345,942483.805288,0.704307,2149890.750000,3516150.250000,755.976120,782874.515625,0.705244,9.84e-04
9,1246051.373798,1647468.812500,821.010173,843812.275240,0.704940,2401350.125000,4125361.625000,888.355377,676449.437500,0.701180,9.80e-04
10,1196281.828125,1658828.932692,1064.923798,732669.155048,0.696852,1487597.250000,2328980.750000,1095.028320,645118.187500,0.700613,9.76e-04
11,1026763.983173,1408303.389423,1170.961766,644052.917067,0.704794,1856577.093750,3185526.062500,1291.085510,526336.234375,0.711254,9.70e-04
12,971328.582933,1380463.099760,1491.796112,560701.576923,0.707395,855349.703125,1126624.250000,1683.528473,582390.890625,0.701872,9.65e-04
13,924070.013221,1326940.996394,2036.158490,519162.166466,0.698344,1213417.406250,1961183.000000,2253.212769,463397.960938,0.693574,9.59e-04
14,829517.667067,1192273.139423,2623.978511,464137.508413,0.695663,795024.375000,1150642.875000,3005.849121,436399.273438,0.699174,9.52e-04
15,812993.405649,1197545.987380,3595.829815,424844.269231,0.706025,1989577.218750,3633134.562500,3943.412354,342075.679688,0.727930,9.46e-04
